lista,votos,electores,cargos
Frente Justicialista Popular,3160004,7387108,77
Union Civica Radical,1832139,7387108,44
Alianza De Centro,427455,7387108,10
Blanco De Los Jubilados,288867,7387108,7
Confederacion Federalista Independiente,269019,7387108,6
Izquierda Unida,204154,7387108,0
Unidad Socialista,92876,7387108,0
Obrero,16465,7387108,0
Frente Humanista - Verde,12466,7387108,0
De La Independencia,4083,7387108,0
Accion Popular,3459,7387108,0
Votos En Blanco,82542,7387108,0
Votos Nulos,38119,7387108,0
