lista,votos,electores
Fernández De Kirchner - Cobos (Alianza Frente Para La Victoria),3283391,10055351
Carrió - Giustiniani (Alianza Confederacion Coalicion Civica),1862932,10055351
Lavagna - Morales (Alianza Concertacion Para Una Nacion Avanzada),978320,10055351
"Rodriguez Saá - Maya (Alianza Frente Justicia, Union Y Libertad)",455924,10055351
Solanas - Cadelli (Socialista Autentico),126009,10055351
López Murphy - Bullrich (Recrear Para El Crecimiento),109394,10055351
Sobisch - Asís,92389,10055351
Ripoll - Bidonde (Movimiento Socialista De Los Trabajadores),70260,10055351
Pitrola - Arroyos (Obrero),55901,10055351
Montes - Heberling (Alianza Frente P.t.s. - M.a.s. - Izquierda Socialista),41528,10055351
Ammann - Deleonardi (Alianza Frente Amplio Hacia La Unidad Latinoamericana),25137,10055351
Castells - Pelozo (Movimiento Independiente De Jubilados Y Desocupados),26398,10055351
Breide Obeid - Vergara (Popular De La Reconstruccion),15930,10055351
Mussa - Nespral (Confederacion Lealtad Popular),8014,10055351
Votos Blancos,721330,10055351
Votos Nulos,76273,10055351
