lista,votos,electores
Alianza Frente De Todos: Fernández - Fernández,4970252,12507200
Alianza Juntos Por El Cambio: Macri - Pichetto,2907050,12507200
Alianza Consenso Federal: Lavagna - Urtubey,750784,12507200
Alianza Frente De Izquierda Y De Trabajadores: Del Caño - Del Pla,337222,12507200
Unite Por La Libertad Y La Dignidad: Espert - Rosales,185439,12507200
Alianza Frente Nos: Gómez Centurión - Hotton,183138,12507200
Movimiento Al Socialismo: Castañeira - Mulhall,75868,12507200
Alianza Frente Patriota: Biondini - Venturino,22820,12507200
Partido Autonomista: Romero Feris - Sueldo,8868,12507200
Movimiento De Acción Vecinal: Albarracín - Pastore,5948,12507200
Votos En Blanco,332178,12507200
Votos Nulos,69744,12507200
