lista,votos,electores
Duhalde - Ortega (Alianza Concertacion Justicialista Para El Cambio),82590,172775
"De La Rua - Alvarez (Alianza Para El Trabajo, La Justicia Y La Educacion)",44381,172775
Cavallo - Caro Figueroa (Alianza Accion Por La Republica),6376,172775
Walsh - Leonardi (Alianza Izquierda Unida),1386,172775
Mussa - Herrera (Alianza Social Cristiana),902,172775
Méndez - Pompei (Humanista),698,172775
Altamira - Rieznik (Obrero),619,172775
Reyna - Moccia (Alianza Frente De La Resistencia),411,172775
Votos En Blanco,2367,172775
Votos Nulos,1493,172775
