lista,votos,electores
Alianza Frente De Todos: Fernández - Fernández,99224,288584
Alianza Juntos Por El Cambio: Macri - Pichetto,61925,288584
Alianza Consenso Federal: Lavagna - Urtubey,14276,288584
Alianza Frente Nos: Gómez Centurión - Hotton,4165,288584
Unite Por La Libertad Y La Dignidad: Espert - Rosales,3899,288584
Alianza Frente De Izquierda Y De Trabajadores: Del Caño - Del Pla,3794,288584
Movimiento Al Socialismo: Castañeira - Mulhall,1487,288584
Alianza Frente Patriota: Biondini - Venturino,518,288584
Movimiento De Acción Vecinal: Albarracín - Pastore,516,288584
Partido Autonomista: Romero Feris - Sueldo,358,288584
Votos En Blanco,6813,288584
Votos Nulos,3241,288584
