lista,votos,electores
Kirchner-Scioli (Alianza Frente Para La Victoria),92713,351657
Menem-Romero (Alianza Frente Por La Lealtad - Union De Centro Democratico),45916,351657
López Murphy-Gómez Diez (Alianza Movimiento Federal Para Recrear El Crecimiento),40488,351657
Carrió-Gutiérrez (Alianza Afirmacion Para Una Republica Igualitaria),39128,351657
Rodríguez Saa-Posse (Alianza Frente Movimiento Popular - Union Y Libertad),19234,351657
Moreau-Losada (Union Civica Radical),8706,351657
Walsh-Parrilli (Alianza Izquierda Unida),3181,351657
Bravo-Giustiniani (Socialista),2589,351657
Sullings-Ambrosio (Humanista),2407,351657
Altamira-Salas (Obrero),2155,351657
Venturino-Pinto Kramer (Confederacion Para Que Se Vayan Todos),1252,351657
Zaffore-Perié (Movimiento De Integracion Y Desarrollo),1069,351657
Herrera-Cuneo (Democrata Cristiano),1012,351657
Mussa-Suárez (Alianza Unidos O Dominados),878,351657
Breide Obeid-Vasena (Popular De La Reconstruccion),595,351657
Terán-Bonacci (Movimiento Por La Dignidad Y La Independencia),582,351657
Arcagni-Zenof (Alianza Tiempos De Cambio - Union Popular),39,351657
Mazzitelli-Camps (Socialista Autentico),5,351657
Votos Blancos,2369,351657
Votos Nulos,6738,351657
