lista,votos,electores
Alianza Frente De Todos: Fernández - Fernández,222078,556267
Alianza Juntos Por El Cambio: Macri - Pichetto,93311,556267
Alianza Consenso Federal: Lavagna - Urtubey,29620,556267
Alianza Frente Nos: Gómez Centurión - Hotton,18777,556267
Alianza Frente De Izquierda Y De Trabajadores: Del Caño - Del Pla,12122,556267
Unite Por La Libertad Y La Dignidad: Espert - Rosales,9242,556267
Movimiento Al Socialismo: Castañeira - Mulhall,3387,556267
Alianza Frente Patriota: Biondini - Venturino,1092,556267
Movimiento De Acción Vecinal: Albarracín - Pastore,988,556267
Partido Autonomista: Romero Feris - Sueldo,613,556267
Votos En Blanco,22580,556267
Votos Nulos,9061,556267
