lista,votos,electores
Urtubey - Zottos (Alianza Frente Para La Victoria - Renovador De Salta),236745,752322
Wayar - David (Alianza Frente Justicialista Para La Victoria),231268,752322
Velarde - Zenteño Nuñez (Propuesta Salteña),12611,752322
Espeche - De San Román (Alianza Concertación Salteña),10286,752322
Del Plá - Cerrano (Del Obrero),10184,752322
López - Gutiérrez (Nueva Generación),4364,752322
Juárez - Yazlle (Alianza Encuentro Popular Amplio),2010,752322
Pagano Fernández - Conesa (Movimiento Socialista De Los Trabajadores),1352,752322
Verchán - Chavarría (Movimiento Popular Salteño),1119,752322
Herrando - Vittar (Humanista),938,752322
Votos En Blanco,29364,752322
Votos Nulos,3166,752322
