lista,votos,electores
Fernández De Kirchner - Cobos (Alianza Frente Para La Victoria),379025,752812
Lavagna - Morales (Alianza Concertacion Para Una Nacion Avanzada),61040,752812
Carrió - Giustiniani (Alianza Confederacion Coalicion Civica),33393,752812
Pitrola - Arroyos (Obrero),7759,752812
"Rodriguez Saá - Maya (Alianza Frente Justicia, Union Y Libertad)",7244,752812
Sobisch - Asís,3359,752812
López Murphy - Bullrich (Recrear Para El Crecimiento),2651,752812
Ammann - Deleonardi (Alianza Frente Amplio Hacia La 		Unidad Latinoamericana),1453,752812
Ripoll - Bidonde (Movimiento Socialista De Los Trabajadores),1304,752812
Solanas - Cadelli (Socialista Autentico),1267,752812
Montes - Heberling (Alianza Frente P.t.s. - M.a.s. - Izquierda Socialista),807,752812
Castells - Pelozo (Movimiento Independiente De Jubilados Y Desocupados),577,752812
Breide Obeid - Vergara (Popular De La Reconstruccion),331,752812
Mussa - Nespral (Confederacion Lealtad Popular),20,752812
Votos Blancos,39013,752812
Votos Nulos,4401,752812
