lista,votos,electores
Alianza Frente Para La Victoria: Scioli - Zannini,273686,956439
Alianza Unidos Por Una Nueva Alternativa (Una),171946,956439
Alianza Cambiemos,125544,956439
Alianza Frente De Izquierda Y De Los Trabajadores,20332,956439
Alianza Progresistas: Stolbizer - Olaviaga,7225,956439
Alianza Compromiso Federal: Rodríguez Saa - Negre De Alonso,3590,956439
Alianza Frente Popular: De Gennaro - Codoni,3580,956439
Mst - Nueva Izquierda: Bodart - Ripoll,2570,956439
Movimiento Al Socialismo: Castañeira - Ayala,2263,956439
Partido Popular: Yattah - Moretta,2031,956439
Movimiento De Accion Vecinal: Albarracín - Dib,1080,956439
Votos En Blanco,22510,956439
Votos Nulos,6930,956439
