lista,votos,electores
"Rodriguez Saá - Maya (Alianza Frente Justicia, Union Y Libertad)",146371,288263
Fernández De Kirchner - Cobos (Alianza Frente Para La Victoria),24932,288263
Carrió - Giustiniani (Alianza Confederacion Coalicion Civica),24505,288263
Lavagna - Morales (Alianza Concertacion Para Una Nacion Avanzada),12527,288263
López Murphy - Bullrich (Recrear Para El Crecimiento),1349,288263
Solanas - Cadelli (Socialista Autentico),1154,288263
Sobisch - Asís,1069,288263
Ammann - Deleonardi (Alianza Frente Amplio Hacia La 		Unidad Latinoamericana),736,288263
Breide Obeid - Vergara (Popular De La Reconstruccion),713,288263
Ripoll - Bidonde (Movimiento Socialista De Los Trabajadores),622,288263
Pitrola - Arroyos (Obrero),521,288263
Montes - Heberling (Alianza Frente P.t.s. - M.a.s. - Izquierda Socialista),90,288263
Castells - Pelozo (Movimiento Independiente De Jubilados Y Desocupados),50,288263
Mussa - Nespral (Confederacion Lealtad Popular),22,288263
Votos Blancos,6331,288263
Votos Nulos,1383,288263
