lista,votos,electores
Alianza Compromiso Federal,117975,311931
Alianza Frente Para La Victoria,61816,311931
Alianza 	Unión Para El Desarrollo Social,24451,311931
Alianza Frente Amplio Progresista,6213,311931
Alianza Frente Popular,4498,311931
Coalición Cívica-Afirmación Para Una República Igualitaria,3578,311931
Alianza Alianza Frente De Izquierda 	Y De Los Trabajadores,1579,311931
Alianza Alianza Proyecto Sur,925,311931
Movimiento 	Acción Vecinal,148,311931
Del Campo Popular,21,311931
Votos En Blanco,25059,311931
Votos Nulos,3460,311931
