lista,votos,electores
Zamora - Rached (Frente Cívico Por Santiago),156301,522101
Figueroa - Salim (Justicialista),133874,522101
"""Chabay"" Ruiz - Dalale (Movimiento Viable)",32693,522101
Castillo - Bravo (Alianza Izquierda Unida - Movimiento Teresa Vive),3661,522101
Avila - Rovarini (Unión Por El Futuro),2539,522101
Ramos - Fornés (Memoria Y Participación),2202,522101
Ruiz - Brunet (Obrero),1808,522101
Rafael - Yocca (Frente Reformador Para El Cambio),1246,522101
Bravo - Soukop (Socialista Popular),1173,522101
Rodríguez - Carabajal (Progreso Social),765,522101
Votos En Blanco,3738,522101
Votos Nulos,1674,522101
Votos Recurridos,1430,522101
Votos Impugnados,624,522101
