lista,votos,electores
Alianza Frente Justicialista,202077,450027
Union Civica Radical,59179,450027
Alianza Frente Pais Solidario,31965,450027
Movimiento De Integracion Y Desarrollo,19175,450027
Movimiento Por La Dignidad Y La Independencia,1543,450027
Alianza Sur,396,450027
Movimiento Socialista De Los Trabajadores,356,450027
Corriente Patria Libre,177,450027
Alianza Movimiento Al Socialismo - De Los Trabajadores Socialistas - Obrero Y Socialista,166,450027
Humanista,117,450027
Alianza Frente Unidad Trabajadora - Obrero,113,450027
Movimiento Democratico Popular Antimperialista,10,450027
Votos En Blanco,3968,450027
Votos Nulos,1706,450027
