lista,votos,electores
Alianza Frente Para La Victoria: Scioli - Zannini,311640,699513
Alianza Unidos Por Una Nueva Alternativa (Una),70108,699513
Alianza Cambiemos,66393,699513
Alianza Frente De Izquierda Y De Los Trabajadores,5679,699513
Alianza Progresistas: Stolbizer - Olaviaga,4543,699513
Alianza Compromiso Federal: Rodríguez Saa - Negre De Alonso,2312,699513
Mst - Nueva Izquierda: Bodart - Ripoll,1787,699513
Partido Popular: Yattah - Moretta,1716,699513
Movimiento Al Socialismo: Castañeira - Ayala,1376,699513
Alianza Frente Popular: De Gennaro - Codoni,1295,699513
Movimiento De Accion Vecinal: Albarracín - Dib,725,699513
Votos En Blanco,12121,699513
Votos Nulos,2173,699513
