lista,votos,electores
Alianza Frente Para La Victoria,92414,199721
Alianza 	Unión Para El Desarrollo Social,20195,199721
Alianza Frente Popular,7409,199721
Alianza Frente Amplio Progresista,6775,199721
Alianza Frente De Izquierda Y De Los Trabajadores,4543,199721
Coalición Cívica-Afirmación Para Una República Igualitaria,4229,199721
Alianza Compromiso Federal,3706,199721
Alianza Proyecto Sur,969,199721
Movimiento 	Acción Vecinal,451,199721
Del Campo Popular,312,199721
Votos En Blanco,3449,199721
Votos Nulos,2963,199721
