lista,votos,electores
Union Pro Federal: Torres Del Sel - Boasso,536480,2573431
Frente Progresista Civico Y Social,533087,2573431
Frente Justicialista Para La Victoria: Perotti - Ramos,365239,2573431
Frente Renovador De La Esperanza,131313,2573431
Frente De Izquierda Y De Los Trabajadores: Crivaro - Escudero,39040,2573431
"Frente De La Cultura, La Educacion Y El Trabajo: Palma - Monzon",29353,2573431
Frente Social Y Popular: Parlante - Sellares,23821,2573431
"Movimiento Independiente, Justicia Y Dignidad: Castells - Cosentino",14395,2573431
Votos En Blanco,120325,2573431
Votos Nulos,72992,2573431
