lista,votos,electores,cargos
Frente Justicialista Popular,809082,1831446,24
Union Civica Radical,518941,1831446,16
Alianza De Centro,93652,1831446,2
Alianza Unidad Socialista,54395,1831446,0
Alianza Izquierda Unida,30952,1831446,0
Confederacion Federalista Independiente,25836,1831446,0
Blanco De Los Jubilados,12811,1831446,0
Obrero,4074,1831446,0
Frente Humanista - Verde,3293,1831446,0
Frente Renovador,1281,1831446,0
Tradicion Y Coherencia,1181,1831446,0
Movimiento Democratico Popular Antimperialista,916,1831446,0
De La Liberacion,890,1831446,0
Votos En Blanco,25612,1831446,0
Votos Nulos,6595,1831446,0
