lista,votos,electores
Menem-Romero (Alianza Frente Por La Lealtad - Union De Centro Democratico),425886,2235568
Carrió-Gutiérrez (Alianza Afirmacion Para Una Republica Igualitaria),424085,2235568
López Murphy-Gómez Diez (Alianza Movimiento Federal Para Recrear El Crecimiento),292124,2235568
Kirchner-Scioli (Alianza Frente Para La Victoria),271591,2235568
Rodríguez Saa-Posse (Alianza Frente Movimiento Popular - Union Y Libertad),144154,2235568
Moreau-Losada (Union Civica Radical),27074,2235568
Bravo-Giustiniani (Socialista),26894,2235568
Walsh-Parrilli (Alianza Izquierda Unida),24187,2235568
Altamira-Salas (Obrero),8984,2235568
Venturino-Pinto Kramer (Confederacion Para Que Se Vayan Todos),8100,2235568
Sullings-Ambrosio (Humanista),5669,2235568
Herrera-Cuneo (Democrata Cristiano),4774,2235568
Zaffore-Perié (Movimiento De Integracion Y Desarrollo),4755,2235568
Arcagni-Zenof (Alianza Tiempos De Cambio - Union Popular),4531,2235568
Mazzitelli-Camps (Socialista Autentico),3949,2235568
Breide Obeid-Vasena (Popular De La Reconstruccion),3844,2235568
Terán-Bonacci (Movimiento Por La Dignidad Y La Independencia),3453,2235568
Mussa-Suárez (Alianza Unidos O Dominados),1681,2235568
Votos Blancos,23613,2235568
Votos Nulos,31052,2235568
