lista,votos,electores
Alianza Frente Para La Victoria: Scioli - Zannini,550970,2687061
Alianza Cambiemos,533398,2687061
Alianza Unidos Por Una Nueva Alternativa (Una),368693,2687061
Alianza Progresistas: Stolbizer - Olaviaga,102997,2687061
Alianza Compromiso Federal: Rodríguez Saa - Negre De Alonso,47438,2687061
Alianza Frente De Izquierda Y De Los Trabajadores,37121,2687061
Alianza Frente Popular: De Gennaro - Codoni,8257,2687061
Movimiento Al Socialismo: Castañeira - Ayala,6324,2687061
Mst - Nueva Izquierda: Bodart - Ripoll,6220,2687061
Partido Popular: Yattah - Moretta,4468,2687061
Movimiento De Accion Vecinal: Albarracín - Dib,2364,2687061
Votos En Blanco,98878,2687061
Votos Nulos,38235,2687061
