lista,votos,electores
Fernández De Kirchner - Cobos (Alianza Frente Para La Victoria),178169,438705
Lavagna - Morales (Alianza Concertacion Para Una Nacion Avanzada),72188,438705
Carrió - Giustiniani (Alianza Confederacion Coalicion Civica),25789,438705
"Rodriguez Saá - Maya (Alianza Frente Justicia, Union Y Libertad)",21112,438705
López Murphy - Bullrich (Recrear Para El Crecimiento),2591,438705
Sobisch - Asís,1588,438705
Ripoll - Bidonde (Movimiento Socialista De Los Trabajadores),1062,438705
Solanas - Cadelli (Socialista Autentico),986,438705
Montes - Heberling (Alianza Frente P.t.s. - M.a.s. - Izquierda Socialista),858,438705
Pitrola - Arroyos (Obrero),670,438705
Ammann - Deleonardi (Alianza Frente Amplio Hacia La 		Unidad Latinoamericana),469,438705
Breide Obeid - Vergara (Popular De La Reconstruccion),433,438705
Castells - Pelozo (Movimiento Independiente De Jubilados Y Desocupados),0,438705
Mussa - Nespral (Confederacion Lealtad Popular),0,438705
Votos Blancos,8747,438705
Votos Nulos,4064,438705
