lista,votos,electores
Alianza Frente Para La Victoria: Scioli - Zannini,216245,536604
Alianza Unidos Por Una Nueva Alternativa (Una),87245,536604
Alianza Cambiemos,63564,536604
Alianza Compromiso Federal: Rodríguez Saa - Negre De Alonso,15283,536604
Alianza Progresistas: Stolbizer - Olaviaga,5709,536604
Alianza Frente De Izquierda Y De Los Trabajadores,2861,536604
Alianza Frente Popular: De Gennaro - Codoni,1978,536604
Mst - Nueva Izquierda: Bodart - Ripoll,1223,536604
Movimiento Al Socialismo: Castañeira - Ayala,716,536604
Partido Popular: Yattah - Moretta,449,536604
Movimiento De Accion Vecinal: Albarracín - Dib,384,536604
Votos En Blanco,31265,536604
Votos Nulos,3947,536604
