lista,votos,electores
Colazo - Cóccaro (Frente Unidad Provincial),13954,72340
Manfredotti - Gallo (Justicialista - Union De Centro Democratico),14986,72340
Garramuño - Chocrón (Movimiento Popular Fueguino),9172,72340
Ríos - De Antueno (Afirmacion Para Una Republica Igualitaria),5544,72340
Andino - Fadul (Federal Fueguino),2521,72340
Ferreyra - Cambas (Frente De Accion Fueguina),1003,72340
Rosboch - Contreras (De La Corriente),825,72340
Lataillade - Pelatay (Humanista),358,72340
Votos En Blanco,2756,72340
Votos Nulos,940,72340
