lista,votos,electores
Fernández De Kirchner - Cobos (Alianza Frente Para La Victoria),31829,87954
Carrió - Giustiniani (Alianza Confederacion Coalicion Civica),15408,87954
Lavagna - Morales (Alianza Concertacion Para Una Nacion Avanzada),6801,87954
"Rodriguez Saá - Maya (Alianza Frente Justicia, Union Y Libertad)",2126,87954
López Murphy - Bullrich (Recrear Para El Crecimiento),524,87954
Sobisch - Asís,491,87954
Ripoll - Bidonde (Movimiento Socialista De Los Trabajadores),288,87954
Ammann - Deleonardi (Alianza Frente Amplio Hacia La 		Unidad Latinoamericana),277,87954
Pitrola - Arroyos (Obrero),223,87954
Montes - Heberling (Alianza Frente P.t.s. - M.a.s. - Izquierda Socialista),200,87954
Breide Obeid - Vergara (Popular De La Reconstruccion),115,87954
Votos Blancos,2001,87954
Votos Nulos,1931,87954
