lista,votos,electores
Alianza Frente Para La Victoria,40393,99951
Alianza 	Unión Para El Desarrollo Social,6735,99951
Alianza Frente Popular,4832,99951
Alianza Frente Amplio Progresista,4616,99951
Alianza Alianza Compromiso Federal,4588,99951
Coalición Cívica-Afirmación Para Una República Igualitaria,2093,99951
Alianza Frente De Izquierda Y De Los Trabajadores,1286,99951
Alianza Proyecto Sur,430,99951
Movimiento De 	Acción Vecinal,371,99951
Del Campo Popular,162,99951
Votos En Blanco,4767,99951
Votos Nulos,2244,99951
