lista,votos,electores,cargos
Union Civica Radical,177591,664342,22
Justicialista,131256,664342,14
Frente Accion Provinciana,104745,664342,12
Defensa Provincial Bandera Blanca,98478,664342,12
Democrata Cristiano,4139,664342,0
Alianza De Centro,3483,664342,0
Alianza Unidad Socialista,2606,664342,0
Frente Amplio De Liberacion,2253,664342,0
Movimiento Al Socialismo,1458,664342,0
Federal,1105,664342,0
Obrero,1062,664342,0
Intransigente,625,664342,0
Movimiento Nacionalista,287,664342,0
Del Trabajo Y Del Pueblo,1,664342,0
Votos En Blanco,3525,664342,0
Votos Nulos,6371,664342,0
