lista,votos,electores
Manzur - Jaldo (Alianza Frente Justicialista Por Tucuman),512853,1225045
Elias De Pérez - Paz (Alianza Vamos Tucuman),201831,1225045
Bussi - Verón Guerra (Fuerza Republicana),136313,1225045
Alperovich - Mirkin (Alianza Hacemos Tucuman),114956,1225045
García - Pisarello Prado (Alianza Frente Evolucion Para La Democracia Social),10644,1225045
Osatinsky - Lizondo (Alianza Frente De Izquierda Y Los Trabajadores),9015,1225045
Alberstein - Barrera (Movimiento Socialista De Los Trabajadores),2199,1225045
Sosa - Villalba (Movimiento Izquierda Juventud Dignidad),985,1225045
Ruiz Vargas - Fernández (Nos Une El Cambio),103,1225045
Votos En Blanco,30954,1225045
Votos Nulos,15367,1225045
