lista,votos,electores,cargos
Justicialista,253522,612446,12
Union Civica Radical,203462,612446,10
Vanguardia Federal,12373,612446,0
Movimiento De Integracion Y Desarrollo,3378,612446,0
Democrata Cristiano,2800,612446,0
Intransigente,2756,612446,0
Union De Centro Democratico,1738,612446,0
Federal,1653,612446,0
De Centro,1592,612446,0
Alianza Democrata Socialista,1300,612446,0
Frente De Izquierda Popular,1161,612446,0
Movimiento Al Socialismo,961,612446,0
Union Popular,934,612446,0
Socialista Popular,739,612446,0
Obrero,630,612446,0
Movimiento Nacionalista,394,612446,0
Defensa Provincial,264,612446,0
Votos Blancos,3528,612446,0
Votos Nulos,6986,612446,0
