lista,votos,electores
"De La Rua - Alvarez (Alianza Para El Trabajo, La Justicia Y La Educacion)",283862,826570
Duhalde - Ortega (Alianza Concertacion Justicialista Para El Cambio),250211,826570
Cavallo - Caro Figueroa (Alianza Accion Por La Republica),49532,826570
Altamira - Rieznik (Obrero),3032,826570
Méndez - Pompei (Humanista),2402,826570
Walsh - Leonardi (Alianza Izquierda Unida),2086,826570
Reyna - Moccia (Frente De La Resistencia),1924,826570
Mussa - Herrera (Alianza Social Cristiana),1825,826570
Montes - Hernández (De Los Trabajadores Socialistas),1262,826570
Votos En Blanco,20731,826570
Votos Nulos,10673,826570
