lista,votos,electores
Alianza Frente Para La Victoria,519534,1018406
Alianza Union Para El Desarrollo Social,112860,1018406
Alianza Frente Popular,46081,1018406
Alianza Frente Amplio Progresista,45695,1018406
Alianza Compromiso Federal,34695,1018406
Alianza Frente De Izquierda Y De Los Trabajadores,15940,1018406
Coalicion Civica-Afirmación Para Una República Igualitaria,15179,1018406
Alianza Proyecto Sur,4329,1018406
Del Campo Popular,1684,1018406
Movimiento Accion Vecinal,1453,1018406
Votos En Blanco,27536,1018406
Votos Nulos,11912,1018406
