codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0023,0036,0302,0601,0603,0608,0616,0617,0622,0623,0625
01,Comuna 01,001,0001 ,0001,347,1,0,16,6,0,15,92,29,47,26,6,6,18
01,Comuna 01,001,0001 ,0002,345,7,2,8,1,0,14,80,33,41,16,5,15,20
01,Comuna 01,001,0001 ,0003,345,4,2,14,1,0,12,96,36,41,21,8,10,18
01,Comuna 01,001,0001 ,0004,345,8,5,9,4,0,13,95,41,41,20,4,12,17
01,Comuna 01,001,0001 ,0005,343,4,2,13,3,0,12,81,37,35,16,8,17,17
01,Comuna 01,001,0001 ,0006,344,7,2,22,3,0,12,81,38,40,18,7,14,18
01,Comuna 01,001,0001 ,0007,344,7,3,12,1,0,13,90,28,32,21,6,15,22
01,Comuna 01,001,0001 ,0008,345,0,8,16,2,0,17,96,38,42,16,2,8,18
01,Comuna 01,001,0001 ,0009,345,4,5,11,1,0,13,74,44,46,17,8,20,19
01,Comuna 01,001,0001 ,0010,347,4,1,13,0,0,9,84,34,45,37,3,13,7
01,Comuna 01,001,0001 ,0011,346,4,2,9,2,0,14,101,42,28,23,6,8,16
01,Comuna 01,001,0001 ,0012,345,1,1,15,5,0,16,85,49,32,19,4,15,12
01,Comuna 01,001,0001 ,0013,346,5,4,12,2,0,12,91,51,47,23,5,17,16
01,Comuna 01,001,0001 ,0014,347,6,4,19,3,0,20,88,48,28,15,5,14,14
01,Comuna 01,001,0001 ,0015,342,9,0,23,6,0,8,96,36,35,11,1,17,15
01,Comuna 01,001,0001 ,0016,343,5,0,14,3,0,8,89,41,28,16,4,17,13
01,Comuna 01,001,0001 ,0017,342,17,3,19,5,0,11,90,22,34,12,5,12,21
01,Comuna 01,001,0001 ,0018,343,6,0,10,2,0,9,92,43,30,17,4,8,18
01,Comuna 01,001,0001 ,0019,346,1,2,12,5,0,17,77,47,40,21,4,16,19
01,Comuna 01,001,0001 ,0020,344,2,2,17,3,0,11,87,33,41,25,3,12,14
01,Comuna 01,001,0001 ,0021,345,8,0,3,2,0,13,86,55,39,22,0,9,18
01,Comuna 01,001,0001 ,0022,345,3,2,21,6,0,20,74,38,37,14,3,14,19
01,Comuna 01,001,0001 ,0023,344,9,0,11,3,0,12,75,31,44,15,8,11,19
01,Comuna 01,001,0001 ,0024,342,3,3,18,4,0,14,80,34,40,16,7,9,22
