codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0187,0503,0515,0531,0576,0580
01,Comuna 01,001,0001 ,0001,340,0,4,13,20,9,26,72,111
01,Comuna 01,001,0001 ,0002,340,3,1,13,22,7,25,67,99
01,Comuna 01,001,0001 ,0003,340,2,7,16,21,9,24,64,101
01,Comuna 01,001,0001 ,0004,340,2,3,10,23,16,24,61,104
01,Comuna 01,001,0001 ,0005,340,1,1,9,16,12,30,66,97
01,Comuna 01,001,0001 ,0006,340,6,2,14,23,11,25,78,91
01,Comuna 01,001,0001 ,0007,340,5,4,16,23,13,25,65,98
01,Comuna 01,001,0001 ,0008,340,2,2,14,18,16,27,61,105
01,Comuna 01,001,0001 ,0009,339,1,4,18,16,8,25,67,102
01,Comuna 01,001,0001 ,0010,339,1,1,12,11,8,22,74,102
01,Comuna 01,001,0001 ,0011,339,2,1,9,19,15,29,80,102
01,Comuna 01,001,0001 ,0012,339,2,3,13,15,13,28,75,104
01,Comuna 01,001,0001 ,0013,339,3,4,9,19,13,27,52,117
01,Comuna 01,001,0001 ,0014,339,14,5,9,18,5,22,57,118
01,Comuna 01,001,0001 ,0015,339,2,4,6,20,12,28,70,96
01,Comuna 01,001,0001 ,0016,339,5,1,17,11,14,25,71,99
01,Comuna 01,001,0001 ,0017,339,2,0,12,23,13,22,66,104
01,Comuna 01,001,0001 ,0018,340,3,2,11,16,10,41,58,115
01,Comuna 01,001,0001 ,0019,339,0,5,8,20,9,31,65,104
01,Comuna 01,001,0001 ,0020,339,2,3,15,17,9,30,67,110
01,Comuna 01,001,0001 ,0021,339,1,1,15,15,8,38,61,103
01,Comuna 01,001,0001 ,0022,337,1,3,10,16,10,25,73,106
01,Comuna 01,001,0001 ,0023,339,1,1,11,22,18,23,80,94
01,Comuna 01,001,0001 ,0024,339,0,0,9,13,13,24,86,110
01,Comuna 01,001,0001 ,0025,339,2,4,8,26,11,21,66,98
01,Comuna 01,001,0001 ,0026,339,2,6,9,17,6,33,61,100
01,Comuna 01,001,0001 ,0027,339,3,3,11,18,9,25,69,124
01,Comuna 01,001,0001 ,0028,339,1,2,7,24,8,37,73,97
01,Comuna 01,001,0001 ,0029,339,2,3,13,21,7,34,71,90
01,Comuna 01,001,0001 ,0030,338,0,8,13,21,8,25,81,98
01,Comuna 01,001,0001 ,0031,339,1,1,14,16,17,22,87,97
01,Comuna 01,001,0002 ,0032,343,1,4,8,21,14,24,77,88
01,Comuna 01,001,0002 ,0033,343,2,5,9,24,17,20,63,94
01,Comuna 01,001,0002 ,0034,343,1,2,16,23,12,32,67,97
01,Comuna 01,001,0002 ,0035,343,2,4,12,10,13,10,101,87
01,Comuna 01,001,0002 ,0036,343,2,0,16,14,9,30,75,93
01,Comuna 01,001,0002 ,0037,343,3,4,13,19,16,25,82,80
01,Comuna 01,001,0002 ,0038,344,1,2,8,19,10,27,73,86
01,Comuna 01,001,0002 ,0039,343,2,1,8,6,10,20,81,111
01,Comuna 01,001,0002 ,0040,343,4,2,14,18,9,22,72,100
01,Comuna 01,001,0002 ,0041,343,3,2,18,15,11,20,89,81
01,Comuna 01,001,0002 ,0042,343,4,2,7,22,6,22,69,83
01,Comuna 01,001,0002 ,0043,343,1,5,11,23,10,30,65,84
01,Comuna 01,001,0002 ,0044,343,2,2,7,24,16,30,60,92
01,Comuna 01,001,0002 ,0045,344,0,0,15,28,7,27,81,97
01,Comuna 01,001,0002 ,0046,343,2,2,9,22,14,21,71,96
01,Comuna 01,001,0002 ,0047,343,2,4,6,24,13,33,60,101
01,Comuna 01,001,0002 ,0048,343,3,2,17,14,9,28,75,79
01,Comuna 01,001,0002 ,0049,343,4,4,12,17,11,27,54,105
01,Comuna 01,001,0002 ,0050,343,1,3,19,22,8,26,68,99
01,Comuna 01,001,0002 ,0051,343,3,0,17,19,10,29,65,96
01,Comuna 01,001,0002 ,0052,343,3,5,13,15,9,23,76,104
01,Comuna 01,001,0002 ,0053,343,0,2,15,15,5,24,64,105
01,Comuna 01,001,0002 ,0054,344,1,5,7,17,6,29,63,108
01,Comuna 01,001,0002 ,0055,343,5,3,11,15,12,23,72,90
01,Comuna 01,001,0002 ,0056,342,3,4,14,27,16,19,72,90
01,Comuna 01,001,0002 ,0057,343,2,4,8,11,10,19,71,111
01,Comuna 01,001,0002 ,0058,343,3,1,8,18,8,25,86,85
01,Comuna 01,001,0002 ,0059,343,0,6,14,22,10,35,53,104
01,Comuna 01,001,0002 ,0060,342,0,1,10,23,9,23,92,90
01,Comuna 01,001,0003 ,0061,315,3,0,4,1,2,23,24,169
01,Comuna 01,001,0003 ,0062,315,1,0,1,1,14,28,13,171
01,Comuna 01,001,0003 ,0063,314,7,0,0,5,5,23,22,168
01,Comuna 01,001,0003 ,0064,315,1,0,4,5,6,11,24,178
01,Comuna 01,001,0003 ,0065,315,2,0,4,1,8,26,14,177
01,Comuna 01,001,0003 ,0066,314,1,1,3,5,12,19,14,176
01,Comuna 01,001,0003 ,0067,315,0,1,4,0,4,21,20,182
01,Comuna 01,001,0004 ,0068,308,3,0,3,3,5,22,24,159
01,Comuna 01,001,0004 ,0069,309,1,0,7,0,9,21,12,187
01,Comuna 01,001,0004 ,0070,307,1,2,2,3,3,20,23,167
01,Comuna 01,001,0004 ,0071,308,5,2,1,1,8,16,15,179
01,Comuna 01,001,0004 ,0072,308,1,0,1,6,5,21,18,173
01,Comuna 01,001,0004 ,0073,307,4,0,9,2,10,21,17,156
01,Comuna 01,001,0004 ,0074,307,1,0,2,4,10,28,17,155
01,Comuna 01,001,0005 ,0075,348,0,5,5,15,12,21,84,72
