codprov,coddepto,depto,circuito,mesa,electores,blancos,nulos,00016,00036,00037,00050,00024,00108
01,001,Comuna 1,00001,000001,348,10,2,7,26,101,110,12,4
01,001,Comuna 1,00001,000010,347,4,1,5,20,116,107,9,1
01,001,Comuna 1,00001,000011,347,8,2,4,26,77,135,13,6
01,001,Comuna 1,00001,000012,367,10,2,2,20,104,118,10,4
01,001,Comuna 1,00001,000013,347,11,2,5,14,100,118,15,3
01,001,Comuna 1,00001,000014,346,6,2,4,20,105,103,16,5
01,001,Comuna 1,00001,000015,351,4,2,4,16,105,127,4,4
01,001,Comuna 1,00001,000016,349,7,2,3,19,109,104,12,3
01,001,Comuna 1,00001,000017,348,7,0,3,17,98,124,15,3
01,001,Comuna 1,00001,000018,347,8,3,1,17,98,127,13,4
01,001,Comuna 1,00001,000019,351,8,2,4,18,110,113,10,5
01,001,Comuna 1,00001,000002,351,5,1,5,18,96,113,7,5
01,001,Comuna 1,00001,000020,350,8,0,3,17,109,115,13,6
01,001,Comuna 1,00001,000021,349,7,4,4,17,110,121,5,5
01,001,Comuna 1,00001,000022,349,12,1,3,15,106,114,21,6
01,001,Comuna 1,00001,000023,347,10,1,3,14,121,100,17,8
01,001,Comuna 1,00001,000024,349,4,3,1,20,113,110,14,4
01,001,Comuna 1,00001,000025,348,0,0,5,23,109,116,11,3
01,001,Comuna 1,00001,000026,347,4,1,1,15,113,124,11,5
01,001,Comuna 1,00001,000027,349,14,0,4,33,96,120,16,2
01,001,Comuna 1,00001,000028,350,10,2,11,20,100,123,8,3
01,001,Comuna 1,00001,000029,349,15,2,5,24,121,93,11,2
01,001,Comuna 1,00001,000003,349,7,3,6,15,114,101,12,5
01,001,Comuna 1,00001,000030,350,13,0,3,14,125,100,16,3
01,001,Comuna 1,00001,000004,350,5,3,1,23,104,106,15,9
01,001,Comuna 1,00001,000005,355,10,1,4,22,105,107,18,2
01,001,Comuna 1,00001,000006,349,4,2,7,16,120,98,20,4
01,001,Comuna 1,00001,000007,350,7,1,8,27,103,102,6,5
01,001,Comuna 1,00001,000008,350,4,0,4,20,104,114,17,6
01,001,Comuna 1,00001,000009,349,6,1,3,19,105,120,9,3
