codprov,coddepto,depto,circuito,mesa,electores,blancos,nulos,00036,00037,00050,00024,00108
01,001,Comuna 1,00001,000001,348,15,2,22,104,113,12,4
01,001,Comuna 1,00001,000010,347,3,1,12,125,109,11,2
01,001,Comuna 1,00001,000011,347,10,2,17,89,135,12,6
01,001,Comuna 1,00001,000012,367,8,2,15,108,120,12,5
01,001,Comuna 1,00001,000013,347,12,2,10,106,118,16,4
01,001,Comuna 1,00001,000014,346,7,1,16,112,104,16,5
01,001,Comuna 1,00001,000015,351,7,2,7,111,130,5,4
01,001,Comuna 1,00001,000016,349,8,2,13,115,105,12,4
01,001,Comuna 1,00001,000017,348,8,0,16,96,129,14,4
01,001,Comuna 1,00001,000018,347,8,1,11,104,128,15,4
01,001,Comuna 1,00001,000019,351,11,2,11,117,114,11,4
01,001,Comuna 1,00001,000002,351,8,1,14,102,113,7,5
01,001,Comuna 1,00001,000020,350,11,0,10,115,116,13,6
01,001,Comuna 1,00001,000021,349,8,3,12,116,121,8,5
01,001,Comuna 1,00001,000022,349,10,1,12,113,115,21,6
01,001,Comuna 1,00001,000023,347,6,0,11,126,105,17,9
01,001,Comuna 1,00001,000024,349,5,3,11,124,110,12,4
01,001,Comuna 1,00001,000025,348,4,1,17,113,117,12,3
01,001,Comuna 1,00001,000026,347,4,0,11,115,127,12,5
01,001,Comuna 1,00001,000027,349,14,0,25,107,121,17,1
01,001,Comuna 1,00001,000028,350,12,2,14,106,129,10,4
01,001,Comuna 1,00001,000029,349,16,2,15,129,95,13,3
01,001,Comuna 1,00001,000003,349,8,3,12,116,105,15,4
01,001,Comuna 1,00001,000030,350,11,0,10,134,99,17,3
01,001,Comuna 1,00001,000004,350,8,1,13,111,109,15,9
01,001,Comuna 1,00001,000005,355,8,1,10,118,111,18,3
01,001,Comuna 1,00001,000006,349,5,0,9,129,100,21,7
01,001,Comuna 1,00001,000007,350,11,1,19,112,104,6,6
01,001,Comuna 1,00001,000008,350,5,0,13,112,116,17,6
01,001,Comuna 1,00001,000009,349,9,1,13,112,120,8,3
01,001,Comuna 1,00002,000031,344,7,2,11,130,85,10,5
01,001,Comuna 1,00002,000032,346,4,4,13,124,98,7,4
01,001,Comuna 1,00002,000033,346,16,2,21,104,114,8,2
01,001,Comuna 1,00002,000034,346,12,2,9,125,98,8,3
01,001,Comuna 1,00002,000035,344,7,0,10,113,106,7,5
01,001,Comuna 1,00002,000036,346,11,3,9,114,103,10,8
01,001,Comuna 1,00002,000037,346,8,2,16,109,91,12,7
01,001,Comuna 1,00002,000038,365,9,1,13,96,114,17,4
01,001,Comuna 1,00002,000039,342,11,0,7,111,108,11,4
01,001,Comuna 1,00002,000040,347,10,3,5,128,88,11,7
01,001,Comuna 1,00002,000041,346,6,4,18,105,84,16,7
01,001,Comuna 1,00002,000042,343,10,8,15,115,84,15,6
01,001,Comuna 1,00002,000043,347,9,2,7,116,96,13,6
01,001,Comuna 1,00002,000044,342,9,0,16,111,111,17,6
01,001,Comuna 1,00002,000045,347,8,4,18,104,109,12,7
01,001,Comuna 1,00002,000046,345,10,3,10,113,110,15,6
01,001,Comuna 1,00002,000047,368,5,4,9,104,113,7,7
01,001,Comuna 1,00002,000048,346,10,2,8,102,126,11,4
01,001,Comuna 1,00002,000049,345,6,2,17,101,102,17,1
01,001,Comuna 1,00002,000050,345,11,1,13,113,117,11,6
01,001,Comuna 1,00002,000051,345,9,1,18,97,117,8,4
01,001,Comuna 1,00002,000052,347,10,1,15,90,119,14,4
01,001,Comuna 1,00002,000053,365,7,7,13,115,88,10,3
01,001,Comuna 1,00002,000054,344,6,2,14,125,92,11,10
01,001,Comuna 1,00002,000055,346,14,1,8,117,97,13,4
01,001,Comuna 1,00002,000056,344,12,1,11,130,86,10,6
01,001,Comuna 1,00002,000057,345,5,5,16,101,111,8,4
01,001,Comuna 1,00002,000058,363,7,3,13,131,89,10,5
01,001,Comuna 1,00003,000059,345,6,0,6,53,201,5,4
01,001,Comuna 1,00003,000060,345,6,0,2,40,203,16,3
01,001,Comuna 1,00003,000061,345,6,1,3,41,209,14,3
01,001,Comuna 1,00003,000062,345,5,0,1,37,218,3,7
01,001,Comuna 1,00003,000063,343,4,0,1,46,206,7,5
01,001,Comuna 1,00003,000064,344,8,1,6,32,227,9,3
01,001,Comuna 1,00003,000065,363,1,0,5,44,194,10,4
01,001,Comuna 1,00004,000066,321,6,1,4,41,182,8,1
01,001,Comuna 1,00004,000067,322,6,0,1,26,225,2,3
01,001,Comuna 1,00004,000068,317,4,0,2,37,196,2,2
01,001,Comuna 1,00004,000069,321,3,0,3,30,197,9,3
01,001,Comuna 1,00004,000070,319,2,0,5,34,195,5,2
01,001,Comuna 1,00004,000071,319,3,0,3,45,191,3,7
01,001,Comuna 1,00004,000072,320,5,0,3,35,192,4,5
01,001,Comuna 1,00005,000073,338,26,0,6,128,62,4,5
01,001,Comuna 1,00005,000074,343,27,3,4,158,49,7,1
01,001,Comuna 1,00005,000075,341,21,1,5,141,47,5,1
01,001,Comuna 1,00005,000076,340,31,3,4,123,27,6,6
01,001,Comuna 1,00005,000077,342,26,6,6,124,59,9,2
01,001,Comuna 1,00005,000078,340,30,2,9,136,63,10,2
01,001,Comuna 1,00005,000079,343,19,7,9,162,49,5,2
01,001,Comuna 1,00005,000080,340,28,1,11,143,44,3,5
01,001,Comuna 1,00005,000081,342,14,3,3,137,53,6,5
01,001,Comuna 1,00005,000082,340,30,1,4,133,41,6,2
01,001,Comuna 1,00005,000083,339,27,0,3,142,38,5,2
01,001,Comuna 1,00005,000084,343,25,4,3,128,49,6,5
01,001,Comuna 1,00005,000085,338,19,6,4,148,61,7,2
01,001,Comuna 1,00005,000086,343,24,6,8,138,53,8,5
01,001,Comuna 1,00005,000087,343,29,1,13,144,56,7,4
01,001,Comuna 1,00005,000088,343,31,1,5,134,55,8,3
01,001,Comuna 1,00005,000089,339,34,0,4,137,44,9,4
01,001,Comuna 1,00005,000090,342,17,5,10,149,35,9,7
01,001,Comuna 1,00005,000091,344,23,2,5,141,33,4,4
01,001,Comuna 1,00005,000092,339,25,3,6,117,52,10,2
01,001,Comuna 1,00005,000093,337,22,0,5,120,66,5,4
01,001,Comuna 1,00005,000094,340,14,2,6,127,46,4,6
01,001,Comuna 1,00005,000095,341,21,7,5,128,53,1,0
01,001,Comuna 1,00005,000096,341,28,9,3,128,58,9,3
01,001,Comuna 1,00005,000097,343,32,3,5,133,64,7,3
01,001,Comuna 1,00005,000098,370,22,3,8,147,58,6,5
01,001,Comuna 1,00006,000100,350,5,0,3,31,225,8,4
01,001,Comuna 1,00006,000101,349,8,1,3,21,203,2,15
01,001,Comuna 1,00006,000102,347,2,1,2,34,225,5,2
01,001,Comuna 1,00006,000103,349,11,1,5,23,208,5,3
01,001,Comuna 1,00006,000104,347,7,2,1,15,218,5,9
01,001,Comuna 1,00006,000105,346,4,1,3,26,220,7,2
01,001,Comuna 1,00006,000106,348,2,0,4,29,212,7,5
01,001,Comuna 1,00006,000107,350,9,0,6,36,222,11,5
01,001,Comuna 1,00006,000108,351,1,1,6,32,207,5,7
01,001,Comuna 1,00006,000109,348,6,0,4,42,205,5,5
01,001,Comuna 1,00006,000110,348,1,0,3,35,212,8,6
01,001,Comuna 1,00006,000111,350,2,0,4,26,227,2,5
01,001,Comuna 1,00006,000112,346,8,0,5,22,217,8,9
01,001,Comuna 1,00006,000113,348,19,0,4,30,218,4,6
01,001,Comuna 1,00006,000114,350,4,0,2,33,204,10,6
01,001,Comuna 1,00006,000115,347,4,0,1,28,208,5,16
01,001,Comuna 1,00006,000116,360,8,2,2,20,218,6,6
01,001,Comuna 1,00006,000117,346,0,2,6,47,190,9,7
01,001,Comuna 1,00006,000118,349,4,0,3,18,255,1,6
01,001,Comuna 1,00006,000119,349,8,0,3,20,229,8,7
01,001,Comuna 1,00006,000120,348,5,0,6,30,199,4,5
01,001,Comuna 1,00006,000121,349,10,1,2,23,229,9,4
01,001,Comuna 1,00006,000122,350,9,2,2,29,205,3,8
01,001,Comuna 1,00006,000123,350,12,1,2,35,212,5,8
01,001,Comuna 1,00006,000124,349,3,1,2,29,215,6,6
01,001,Comuna 1,00006,000125,350,3,0,3,26,229,6,8
01,001,Comuna 1,00006,000126,346,4,0,1,26,215,10,5
01,001,Comuna 1,00006,000127,347,4,1,4,24,224,6,4
01,001,Comuna 1,00006,000128,349,2,2,4,30,224,3,5
01,001,Comuna 1,00006,000129,349,7,1,2,17,222,9,1
01,001,Comuna 1,00006,000130,348,7,1,1,25,222,13,6
01,001,Comuna 1,00006,000131,349,7,1,2,25,210,9,7
01,001,Comuna 1,00006,000132,353,7,0,3,24,208,3,11
01,001,Comuna 1,00006,000133,350,8,1,3,23,207,5,6
01,001,Comuna 1,00006,000134,366,11,0,5,34,207,3,7
01,001,Comuna 1,00006,000135,349,6,5,6,37,213,8,2
01,001,Comuna 1,00006,000136,347,5,1,4,26,214,7,4
01,001,Comuna 1,00006,000137,348,2,1,7,25,212,6,9
01,001,Comuna 1,00006,000138,349,6,0,6,31,207,7,7
01,001,Comuna 1,00006,000139,349,3,1,1,21,215,4,7
01,001,Comuna 1,00006,000140,349,5,2,5,35,199,15,2
01,001,Comuna 1,00006,000141,349,7,0,10,25,208,9,5
01,001,Comuna 1,00006,000142,349,2,1,2,31,216,7,6
01,001,Comuna 1,00006,000143,366,5,1,3,26,223,5,8
01,001,Comuna 1,00006,000099,350,3,0,7,39,218,9,0
01,001,Comuna 1,00007,000144,340,7,3,4,32,214,6,5
01,001,Comuna 1,00007,000145,337,6,1,1,38,199,5,5
01,001,Comuna 1,00007,000146,333,8,0,10,44,176,7,8
01,001,Comuna 1,00007,000147,349,8,1,13,41,187,14,9
01,001,Comuna 1,00007,000148,337,9,0,5,53,178,8,7
01,001,Comuna 1,00007,000149,336,8,2,6,42,181,7,7
01,001,Comuna 1,00007,000150,340,13,3,3,35,185,7,8
01,001,Comuna 1,00007,000151,336,6,1,9,38,189,8,5
01,001,Comuna 1,00007,000152,333,5,2,8,38,179,11,8
01,001,Comuna 1,00007,000153,335,1,0,5,43,189,6,7
01,001,Comuna 1,00007,000154,335,7,2,3,42,180,6,7
01,001,Comuna 1,00007,000155,337,7,1,4,48,165,9,7
01,001,Comuna 1,00007,000156,332,10,1,6,33,204,8,8
01,001,Comuna 1,00007,000157,337,11,1,3,40,189,8,2
01,001,Comuna 1,00007,000158,336,12,1,7,42,189,15,9
01,001,Comuna 1,00007,000159,334,1,2,3,44,193,8,6
01,001,Comuna 1,00007,000160,338,8,0,9,38,196,7,0
01,001,Comuna 1,00007,000161,337,5,1,3,38,194,8,4
01,001,Comuna 1,00007,000162,355,6,2,5,43,174,10,8
01,001,Comuna 1,00007,000163,335,9,1,5,51,173,11,6
01,001,Comuna 1,00007,000164,337,5,1,7,38,185,9,11
01,001,Comuna 1,00007,000165,337,3,1,2,39,183,12,8
01,001,Comuna 1,00007,000166,335,8,1,5,44,173,16,3
01,001,Comuna 1,00007,000167,347,13,1,6,42,172,10,8
01,001,Comuna 1,00008,000168,347,7,3,4,68,150,7,5
01,001,Comuna 1,00008,000169,350,16,0,9,58,140,12,6
01,001,Comuna 1,00008,000170,350,5,0,6,47,155,15,5
01,001,Comuna 1,00008,000171,348,6,1,5,60,165,8,4
01,001,Comuna 1,00008,000172,347,9,3,8,61,137,7,9
01,001,Comuna 1,00008,000173,347,7,0,9,60,161,7,4
01,001,Comuna 1,00008,000174,349,5,1,9,48,162,5,8
01,001,Comuna 1,00008,000175,349,8,3,5,41,163,14,3
01,001,Comuna 1,00008,000176,349,8,1,9,45,148,12,5
01,001,Comuna 1,00008,000177,350,10,0,6,48,161,5,6
01,001,Comuna 1,00008,000178,349,7,0,8,45,159,4,7
01,001,Comuna 1,00008,000179,347,7,0,7,50,158,13,8
01,001,Comuna 1,00008,000180,348,2,0,4,49,171,8,6
01,001,Comuna 1,00008,000181,349,13,1,9,47,162,11,10
01,001,Comuna 1,00008,000182,345,7,3,9,75,155,6,4
01,001,Comuna 1,00008,000183,362,11,1,6,45,160,7,11
01,001,Comuna 1,00008,000184,348,6,3,6,54,164,6,6
01,001,Comuna 1,00008,000185,348,5,0,9,45,167,7,7
01,001,Comuna 1,00008,000186,350,10,1,2,50,161,12,7
01,001,Comuna 1,00008,000187,348,6,5,10,48,167,7,5
01,001,Comuna 1,00008,000188,349,14,0,9,63,132,9,9
01,001,Comuna 1,00008,000189,348,6,4,7,50,154,5,7
01,001,Comuna 1,00008,000190,347,2,4,5,70,160,12,5
01,001,Comuna 1,00008,000191,348,7,2,8,63,140,8,8
01,001,Comuna 1,00008,000192,372,6,0,8,61,148,13,4
01,001,Comuna 1,00009,000193,347,6,2,7,69,137,14,6
01,001,Comuna 1,00009,000194,348,7,3,10,74,140,11,5
01,001,Comuna 1,00009,000195,346,9,1,11,63,136,13,3
01,001,Comuna 1,00009,000196,345,12,1,5,68,147,7,6
01,001,Comuna 1,00009,000197,343,8,7,2,48,144,9,5
01,001,Comuna 1,00009,000198,345,6,1,6,76,143,12,7
01,001,Comuna 1,00009,000199,346,4,0,4,63,153,10,4
01,001,Comuna 1,00009,000200,347,6,0,8,65,141,8,4
01,001,Comuna 1,00009,000201,348,13,0,4,58,146,6,6
01,001,Comuna 1,00009,000202,347,7,1,10,70,136,7,3
01,001,Comuna 1,00009,000203,346,4,0,5,64,126,14,9
01,001,Comuna 1,00009,000204,347,6,1,10,70,146,13,5
01,001,Comuna 1,00009,000205,348,8,5,2,58,138,7,8
