codprov,coddepto,depto,circuito,mesa,electores,blancos,nulos,00007,00055,00056,00008,00005,00009,00001,00002,00003,00057,00004,00006
01,001,Comuna 1,00001,000001,348,31,2,5,2,1,16,96,88,17,1,4,0,4,0
01,001,Comuna 1,00001,000010,347,9,4,3,0,0,9,104,92,14,1,2,0,4,1
01,001,Comuna 1,00001,000011,347,9,2,6,1,0,11,86,117,14,2,5,0,7,0
01,001,Comuna 1,00001,000012,367,13,3,9,1,0,13,106,112,10,1,1,0,5,0
01,001,Comuna 1,00001,000013,347,15,1,4,0,1,10,92,94,16,1,2,0,13,2
01,001,Comuna 1,00001,000014,346,12,2,4,2,1,16,104,89,13,3,0,1,4,1
01,001,Comuna 1,00001,000015,351,19,1,4,0,1,7,97,90,10,5,0,1,6,0
01,001,Comuna 1,00001,000016,349,11,2,4,0,1,10,109,89,13,7,0,0,6,1
01,001,Comuna 1,00001,000017,348,9,0,3,1,0,13,99,108,18,0,3,0,9,0
01,001,Comuna 1,00001,000018,347,13,1,3,0,0,13,91,107,20,0,2,0,8,0
01,001,Comuna 1,00001,000019,351,8,0,4,3,1,15,103,91,14,3,0,1,3,0
01,001,Comuna 1,00001,000002,351,13,1,4,1,0,10,98,91,10,5,1,0,9,0
01,001,Comuna 1,00001,000020,350,14,2,6,1,0,11,105,104,14,2,1,0,5,0
01,001,Comuna 1,00001,000021,349,0,2,4,1,0,12,119,104,6,5,0,0,7,1
01,001,Comuna 1,00001,000022,349,6,3,4,1,0,12,100,104,24,4,1,0,6,1
01,001,Comuna 1,00001,000023,347,3,2,5,0,0,13,113,93,20,1,1,0,10,0
01,001,Comuna 1,00001,000024,349,13,1,1,1,2,12,112,92,15,4,0,0,2,0
01,001,Comuna 1,00001,000025,348,14,3,3,0,0,13,99,97,14,4,0,0,5,0
01,001,Comuna 1,00001,000026,347,10,0,2,0,1,12,99,112,12,2,2,2,14,0
01,001,Comuna 1,00001,000027,349,6,1,2,1,0,22,92,108,16,4,2,0,10,0
01,001,Comuna 1,00001,000028,350,8,5,6,0,0,15,86,109,17,4,2,0,6,0
01,001,Comuna 1,00001,000029,349,12,1,5,0,1,16,114,82,17,6,2,0,6,0
01,001,Comuna 1,00001,000003,349,11,1,3,0,1,14,104,91,14,2,0,2,7,0
01,001,Comuna 1,00001,000030,350,15,0,2,0,0,14,117,89,16,1,3,0,4,0
01,001,Comuna 1,00001,000004,350,9,6,3,0,1,11,108,88,15,0,1,1,13,0
01,001,Comuna 1,00001,000005,355,13,3,2,0,0,12,105,94,17,4,0,0,10,1
01,001,Comuna 1,00001,000006,349,12,1,4,1,0,12,116,84,15,7,0,0,9,0
01,001,Comuna 1,00001,000007,350,11,1,5,0,1,18,95,91,18,3,2,0,6,0
01,001,Comuna 1,00001,000008,350,11,1,3,0,1,15,95,105,25,1,2,0,3,1
01,001,Comuna 1,00001,000009,349,11,0,7,3,0,14,108,92,13,2,2,0,4,1
01,001,Comuna 1,00002,000031,344,14,2,3,0,0,15,119,63,15,3,0,0,6,1
01,001,Comuna 1,00002,000032,346,16,4,3,1,2,19,99,77,7,2,3,0,5,1
01,001,Comuna 1,00002,000033,346,6,1,8,0,0,16,105,103,10,3,1,1,5,0
01,001,Comuna 1,00002,000034,346,9,0,3,0,0,7,119,74,22,3,2,0,6,0
01,001,Comuna 1,00002,000035,344,9,2,2,2,5,13,96,95,11,5,0,0,3,0
01,001,Comuna 1,00002,000036,346,11,4,3,1,1,9,112,82,16,3,2,0,11,0
01,001,Comuna 1,00002,000037,346,7,1,4,0,0,18,100,70,18,1,0,0,10,0
01,001,Comuna 1,00002,000038,365,9,5,1,1,0,10,89,101,16,2,3,0,5,0
01,001,Comuna 1,00002,000039,342,6,0,3,2,0,5,101,88,20,3,1,1,13,0
01,001,Comuna 1,00002,000040,347,2,1,2,1,0,13,125,75,19,1,5,0,5,0
01,001,Comuna 1,00002,000041,346,7,5,6,1,0,18,100,76,14,1,1,0,3,1
01,001,Comuna 1,00002,000042,343,14,7,7,0,1,14,106,78,17,3,2,0,4,0
01,001,Comuna 1,00002,000043,347,0,0,8,0,0,9,108,76,14,2,1,2,9,0
01,001,Comuna 1,00002,000044,342,11,0,6,0,0,16,97,98,17,1,0,1,10,0
01,001,Comuna 1,00002,000045,347,11,2,2,0,1,17,99,77,21,2,2,0,11,0
01,001,Comuna 1,00002,000046,345,9,2,2,2,2,16,103,88,23,1,1,0,6,0
01,001,Comuna 1,00002,000047,368,7,1,5,0,1,6,93,101,12,4,2,0,7,1
01,001,Comuna 1,00002,000048,346,15,2,7,0,0,10,84,106,16,1,3,1,5,0
01,001,Comuna 1,00002,000049,345,16,3,3,0,0,13,99,88,11,2,1,0,12,0
01,001,Comuna 1,00002,000050,345,9,6,5,0,1,15,105,85,18,2,0,1,11,0
01,001,Comuna 1,00002,000051,345,12,2,2,2,2,11,93,104,10,3,1,0,6,0
01,001,Comuna 1,00002,000052,347,16,2,2,1,2,16,86,92,13,1,2,0,9,0
01,001,Comuna 1,00002,000053,365,13,8,2,0,3,8,104,87,16,5,0,0,5,0
01,001,Comuna 1,00002,000054,344,6,2,10,1,0,15,98,84,12,0,4,1,6,2
01,001,Comuna 1,00002,000055,346,8,3,5,0,0,8,113,85,14,2,1,0,8,1
01,001,Comuna 1,00002,000056,344,10,1,2,2,1,15,123,72,9,3,2,0,9,0
01,001,Comuna 1,00002,000057,345,14,2,4,0,1,9,92,102,10,5,1,0,7,0
01,001,Comuna 1,00002,000058,363,8,3,1,1,1,13,117,72,15,2,0,0,7,1
01,001,Comuna 1,00003,000059,345,5,0,1,0,0,5,41,178,10,1,0,0,13,0
01,001,Comuna 1,00003,000060,345,7,1,0,1,0,3,32,170,17,0,4,0,12,0
01,001,Comuna 1,00003,000061,345,6,2,1,0,0,3,33,192,11,0,0,0,4,0
01,001,Comuna 1,00003,000062,345,8,1,1,0,1,1,36,182,9,1,1,1,7,0
01,001,Comuna 1,00003,000063,343,7,0,1,0,0,2,34,172,14,1,0,0,14,1
01,001,Comuna 1,00003,000064,344,5,0,1,0,0,9,29,190,14,1,5,0,11,0
01,001,Comuna 1,00003,000065,363,12,0,0,0,0,2,33,179,7,1,0,0,6,1
01,001,Comuna 1,00004,000066,321,5,1,0,0,0,1,35,161,12,1,1,0,6,0
01,001,Comuna 1,00004,000067,322,4,0,1,1,0,0,21,201,7,2,2,0,11,0
01,001,Comuna 1,00004,000068,317,7,0,1,0,0,1,34,173,9,0,0,0,4,0
01,001,Comuna 1,00004,000069,321,0,1,1,0,0,3,22,179,16,1,0,0,10,0
01,001,Comuna 1,00004,000070,319,2,2,0,0,0,5,32,180,9,1,1,0,6,0
01,001,Comuna 1,00004,000071,319,8,0,4,0,0,2,34,169,7,0,0,0,10,0
01,001,Comuna 1,00004,000072,320,3,1,0,0,0,1,26,171,7,0,0,0,11,0
01,001,Comuna 1,00005,000073,338,19,1,1,1,1,8,123,32,4,3,1,0,1,1
01,001,Comuna 1,00005,000074,343,21,3,0,1,0,4,159,36,3,0,1,0,0,0
01,001,Comuna 1,00005,000075,341,18,2,1,0,0,4,140,30,6,0,2,0,3,0
01,001,Comuna 1,00005,000076,340,25,4,0,0,1,7,119,20,8,1,1,0,2,0
01,001,Comuna 1,00005,000077,342,20,0,0,0,0,8,130,33,5,0,0,0,4,1
01,001,Comuna 1,00005,000078,340,19,2,0,1,1,14,132,43,17,0,0,1,0,0
01,001,Comuna 1,00005,000079,343,14,3,1,1,0,7,154,27,7,2,3,0,6,1
01,001,Comuna 1,00005,000080,340,12,2,1,1,0,10,141,33,4,0,2,1,2,0
01,001,Comuna 1,00005,000081,342,18,1,2,0,1,1,122,37,5,0,1,1,3,0
01,001,Comuna 1,00005,000082,340,18,2,2,2,1,10,122,27,5,0,0,2,4,2
01,001,Comuna 1,00005,000083,339,18,1,1,0,0,4,133,30,4,0,1,0,3,0
01,001,Comuna 1,00005,000084,343,13,0,1,0,1,8,121,33,9,1,3,0,6,0
01,001,Comuna 1,00005,000085,338,28,6,1,1,3,4,129,36,4,0,1,0,1,0
01,001,Comuna 1,00005,000086,343,16,4,1,2,0,10,125,44,7,0,0,0,3,0
01,001,Comuna 1,00005,000087,343,18,1,1,0,1,11,154,34,8,1,0,0,5,0
01,001,Comuna 1,00005,000088,343,16,0,2,2,0,2,141,40,2,2,4,0,4,0
01,001,Comuna 1,00005,000089,339,15,4,0,0,1,3,133,35,7,0,1,1,1,0
01,001,Comuna 1,00005,000090,342,23,1,0,1,1,9,122,26,9,0,6,0,3,0
01,001,Comuna 1,00005,000091,344,12,0,1,1,1,7,129,30,7,1,1,0,5,1
01,001,Comuna 1,00005,000092,339,21,3,1,2,1,7,120,31,5,0,1,2,2,0
01,001,Comuna 1,00005,000093,337,19,1,0,1,0,6,124,41,8,0,1,1,8,1
01,001,Comuna 1,00005,000094,340,8,4,1,0,0,6,123,35,8,0,1,1,5,0
01,001,Comuna 1,00005,000095,341,15,6,0,1,1,2,130,42,4,1,2,0,0,1
01,001,Comuna 1,00005,000096,341,18,1,0,0,3,9,137,35,7,0,1,0,5,0
01,001,Comuna 1,00005,000097,343,15,3,0,1,0,5,117,54,10,4,2,0,4,0
01,001,Comuna 1,00005,000098,370,26,3,1,1,2,7,133,41,5,0,1,1,7,1
01,001,Comuna 1,00006,000100,350,5,1,3,0,0,1,24,198,15,0,6,0,11,1
01,001,Comuna 1,00006,000101,349,21,1,0,1,0,5,17,161,6,2,22,0,4,0
01,001,Comuna 1,00006,000102,347,9,0,1,0,0,3,28,198,10,1,2,0,3,0
01,001,Comuna 1,00006,000103,349,12,1,1,2,1,4,22,172,3,0,14,0,9,0
01,001,Comuna 1,00006,000104,347,5,2,1,1,0,3,12,185,11,1,12,0,11,0
01,001,Comuna 1,00006,000105,346,8,2,1,0,0,4,21,187,7,0,6,0,5,0
01,001,Comuna 1,00006,000106,348,6,6,2,1,0,3,24,171,10,0,9,0,7,0
01,001,Comuna 1,00006,000107,350,10,0,1,1,0,4,32,183,9,4,15,0,7,0
01,001,Comuna 1,00006,000108,351,6,1,1,0,0,5,31,179,13,0,6,1,9,1
01,001,Comuna 1,00006,000109,348,10,2,1,0,0,4,39,178,8,0,9,0,2,0
01,001,Comuna 1,00006,000110,348,16,1,1,0,0,1,35,159,7,1,16,0,9,0
01,001,Comuna 1,00006,000111,350,7,0,0,0,0,6,21,169,7,1,23,0,5,0
01,001,Comuna 1,00006,000112,346,7,0,3,0,0,6,21,183,5,1,13,0,11,0
01,001,Comuna 1,00006,000113,348,8,0,1,1,0,5,22,189,8,3,7,0,10,0
01,001,Comuna 1,00006,000114,350,10,0,2,0,0,1,32,174,10,1,4,1,10,0
01,001,Comuna 1,00006,000115,347,8,0,0,1,0,4,22,175,5,2,10,0,10,0
01,001,Comuna 1,00006,000116,360,20,4,2,0,0,5,14,179,9,0,13,0,9,0
01,001,Comuna 1,00006,000117,346,9,1,0,3,0,3,45,151,11,2,11,0,13,0
01,001,Comuna 1,00006,000118,349,7,0,0,0,0,1,14,200,6,0,14,0,10,0
01,001,Comuna 1,00006,000119,349,14,1,1,1,1,2,16,189,6,0,5,0,12,1
01,001,Comuna 1,00006,000120,348,8,0,2,1,0,5,25,160,4,1,7,0,8,0
01,001,Comuna 1,00006,000121,349,9,1,1,1,1,1,20,201,5,0,14,0,8,0
01,001,Comuna 1,00006,000122,350,8,3,1,0,0,1,25,158,11,0,15,0,5,1
01,001,Comuna 1,00006,000123,350,7,4,1,0,1,4,28,182,6,0,14,1,4,0
01,001,Comuna 1,00006,000124,349,5,0,0,0,0,2,26,181,9,0,7,0,7,0
01,001,Comuna 1,00006,000125,350,7,0,2,0,0,7,23,189,7,0,15,0,15,0
01,001,Comuna 1,00006,000126,346,7,0,0,2,0,4,23,186,4,1,10,0,10,1
01,001,Comuna 1,00006,000127,347,8,2,2,2,0,2,18,176,10,0,15,0,3,0
01,001,Comuna 1,00006,000128,349,9,0,2,1,0,4,27,194,5,0,10,0,6,0
01,001,Comuna 1,00006,000129,349,10,2,4,1,0,2,17,175,11,0,17,0,3,0
01,001,Comuna 1,00006,000130,348,5,3,3,1,0,4,18,190,12,1,13,0,5,0
01,001,Comuna 1,00006,000131,349,10,0,1,0,0,5,25,166,7,1,22,0,6,0
01,001,Comuna 1,00006,000132,353,11,3,0,0,0,4,16,173,8,0,15,0,10,0
01,001,Comuna 1,00006,000133,350,8,1,3,0,1,2,13,170,9,0,13,1,7,0
01,001,Comuna 1,00006,000134,366,7,0,2,0,0,5,31,171,5,0,11,0,10,0
01,001,Comuna 1,00006,000135,349,5,2,2,0,0,6,34,183,12,0,10,1,5,1
01,001,Comuna 1,00006,000136,347,13,1,2,0,0,2,23,171,10,1,8,0,3,1
01,001,Comuna 1,00006,000137,348,8,0,1,0,0,4,21,175,10,2,16,0,11,0
01,001,Comuna 1,00006,000138,349,3,1,3,0,0,4,27,187,9,0,4,1,11,0
01,001,Comuna 1,00006,000139,349,0,0,1,0,0,1,20,191,6,0,9,0,8,0
01,001,Comuna 1,00006,000140,349,12,1,1,0,0,7,27,167,11,1,8,0,4,0
01,001,Comuna 1,00006,000141,349,4,0,1,0,0,7,25,172,15,1,10,0,5,0
01,001,Comuna 1,00006,000142,349,6,1,0,0,0,6,25,178,5,1,18,0,11,0
01,001,Comuna 1,00006,000143,366,13,0,0,3,0,1,22,186,5,0,10,0,6,0
01,001,Comuna 1,00006,000099,350,6,2,0,0,0,5,38,185,11,2,7,0,6,0
01,001,Comuna 1,00007,000144,340,12,0,1,1,0,3,33,176,12,2,11,1,8,0
01,001,Comuna 1,00007,000145,337,7,0,0,2,0,3,36,170,9,1,8,0,3,0
01,001,Comuna 1,00007,000146,333,9,0,1,0,0,9,36,155,7,4,13,0,4,0
01,001,Comuna 1,00007,000147,349,8,3,2,1,0,10,36,163,18,0,15,0,9,1
01,001,Comuna 1,00007,000148,337,8,1,1,0,0,7,47,152,9,1,8,0,9,0
01,001,Comuna 1,00007,000149,336,5,7,2,1,1,4,41,152,8,1,14,0,4,0
01,001,Comuna 1,00007,000150,340,11,3,0,0,0,4,32,153,8,1,13,2,14,0
01,001,Comuna 1,00007,000151,336,1,2,6,0,1,9,27,164,9,1,11,0,7,1
01,001,Comuna 1,00007,000152,333,5,4,2,1,0,9,37,149,13,0,17,0,5,0
01,001,Comuna 1,00007,000153,335,8,2,0,0,0,2,39,159,11,1,7,0,6,0
01,001,Comuna 1,00007,000154,335,5,1,4,1,2,6,35,148,9,1,7,0,14,1
01,001,Comuna 1,00007,000155,337,10,0,1,1,0,3,40,125,10,1,8,0,11,0
