codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0014,0036,0501,0504,0523,0537
03,Capital,001,0001 ,0001,740,23,11,38,20,84,30,188,56
03,Capital,001,0001 ,0002,740,31,6,46,20,82,28,252,58
03,Capital,001,0001 ,0003,740,23,12,66,14,100,16,196,52
03,Capital,001,0001 ,0004,739,11,5,34,16,96,16,244,50
03,Capital,001,0002 ,0005,827,7,11,40,14,144,22,210,118
03,Capital,001,0002 ,0006,827,0,0,30,10,130,24,210,116
03,Capital,001,0002 ,0007,827,14,15,50,20,166,18,216,106
03,Capital,001,0002 ,0008,827,20,12,46,14,130,30,206,94
03,Capital,001,0002 ,0009,827,5,2,58,22,128,22,226,104
03,Capital,001,0002 ,0010,827,19,12,34,20,132,22,222,124
03,Capital,001,0002 ,0011,826,11,2,32,14,142,14,194,126
03,Capital,001,0002 ,0012,826,13,7,40,10,132,34,194,104
03,Capital,001,0002 ,0013,825,17,12,60,16,108,42,234,92
03,Capital,001,0002 ,0014,413,5,5,18,5,57,11,103,50
03,Capital,001,0003 ,0014,435,7,5,19,4,75,6,73,54
03,Capital,001,0003 ,0015,858,7,0,44,16,154,20,210,162
03,Capital,001,0003 ,0016,858,17,14,48,16,128,24,214,140
03,Capital,001,0003 ,0017,858,18,0,42,10,146,16,226,152
03,Capital,001,0003 ,0018,858,7,7,32,20,148,14,204,146
03,Capital,001,0003 ,0019,858,2,6,30,18,174,16,204,160
03,Capital,001,0003 ,0020,858,20,3,34,10,160,12,198,162
03,Capital,001,0003 ,0021,858,16,18,40,8,140,14,206,144
03,Capital,001,0003 ,0022,858,3,6,38,10,154,20,236,166
03,Capital,001,0003 ,0023,858,3,9,42,8,130,22,196,142
03,Capital,001,0003 ,0024,858,5,7,40,20,204,22,170,146
03,Capital,001,0003 ,0025,858,10,3,36,16,132,16,218,130
03,Capital,001,0003 ,0026,858,11,15,20,14,136,18,188,138
03,Capital,001,0003 ,0027,858,11,4,30,10,134,16,216,160
03,Capital,001,0003 ,0028,858,0,0,48,8,142,22,208,150
03,Capital,001,0003 ,0029,857,4,8,40,12,142,16,192,168
03,Capital,001,0003 ,0030,857,4,6,34,10,144,22,222,136
03,Capital,001,0003 ,0031,857,19,14,32,10,184,14,228,162
03,Capital,001,0003 ,0032,857,23,9,42,10,150,20,206,154
03,Capital,001,0003 ,0033,857,10,11,32,16,138,18,214,132
03,Capital,001,0003 ,0034,857,8,12,40,8,134,14,220,158
03,Capital,001,0003 ,0035,857,6,5,38,6,174,12,214,160
03,Capital,001,0003 ,0036,857,5,8,16,12,174,20,186,166
03,Capital,001,0003 ,0037,856,2,6,30,16,160,16,180,156
03,Capital,001,0003 ,0038,856,12,9,42,14,122,20,200,138
03,Capital,001,0003 ,0039,856,3,5,34,20,162,22,166,166
03,Capital,001,0003 ,0040,856,0,0,32,10,164,18,200,148
03,Capital,001,0003 ,0041,856,20,9,34,14,140,22,216,132
03,Capital,001,0003 ,0042,856,10,11,26,12,130,18,218,150
03,Capital,001,0003 ,0043,856,7,6,28,6,148,10,216,146
03,Capital,001,0003 ,0044,422,7,6,17,7,73,11,99,68
03,Capital,001,0003 ,0045,422,16,0,10,4,99,11,81,69
03,Capital,001,0003 ,0046,422,3,8,9,5,74,9,87,58
03,Capital,001,0003 ,0047,422,6,9,21,3,74,5,96,72
03,Capital,001,0004 ,0044,373,7,3,17,4,47,6,98,49
03,Capital,001,0004 ,0045,373,8,7,17,4,36,4,112,32
03,Capital,001,0004 ,0046,373,6,5,16,10,43,11,92,38
03,Capital,001,0004 ,0047,373,8,3,11,6,38,8,98,47
03,Capital,001,0004 ,0048,799,7,11,38,16,100,22,250,104
03,Capital,001,0004 ,0049,799,18,11,46,12,102,24,266,88
03,Capital,001,0004 ,0050,799,26,7,38,14,120,14,228,80
03,Capital,001,0004 ,0051,425,8,6,17,8,51,4,122,57
03,Capital,001,0004 ,0052,425,10,2,21,11,53,7,109,40
03,Capital,001,0004 ,0053,425,12,2,22,7,44,14,117,43
03,Capital,001,0004 ,0054,425,7,2,13,4,51,15,126,50
03,Capital,001,0005 ,0051,415,4,4,16,3,54,5,100,64
03,Capital,001,0005 ,0052,415,9,9,14,8,66,7,81,56
03,Capital,001,0005 ,0053,415,4,5,13,4,54,7,109,63
03,Capital,001,0005 ,0054,415,0,0,17,3,55,12,91,63
03,Capital,001,0005 ,0055,819,5,11,32,14,142,20,196,138
03,Capital,001,0005 ,0056,819,16,25,32,10,136,12,180,152
03,Capital,001,0005 ,0057,819,6,5,24,10,148,34,174,130
03,Capital,001,0005 ,0058,819,6,1,16,8,128,16,174,174
03,Capital,001,0005 ,0059,819,13,0,26,4,142,18,178,138
03,Capital,001,0005 ,0060,819,0,0,36,6,156,20,162,160
03,Capital,001,0005 ,0061,819,19,7,42,10,140,20,172,142
03,Capital,001,0005 ,0062,818,4,2,16,8,142,12,184,166
03,Capital,001,0005 ,0063,404,0,0,9,5,78,9,76,80
03,Capital,001,0005 ,0064,404,7,7,11,1,68,8,82,73
03,Capital,001,0005 ,0065,403,0,7,12,6,69,8,87,68
03,Capital,001,0005 ,0066,403,5,7,8,3,93,8,84,60
03,Capital,001,0005 ,0067,403,1,6,15,4,79,10,78,64
03,Capital,001,0006 ,0063,429,11,3,20,7,49,5,108,61
03,Capital,001,0006 ,0064,429,13,5,16,8,64,13,112,63
03,Capital,001,0006 ,0065,429,6,6,18,2,51,13,105,51
03,Capital,001,0006 ,0066,429,0,0,19,7,58,4,100,57
03,Capital,001,0006 ,0067,429,4,4,22,10,67,9,103,55
03,Capital,001,0006 ,0068,862,36,6,34,12,130,22,224,124
03,Capital,001,0006 ,0069,433,6,5,26,7,61,9,121,52
03,Capital,001,0006 ,0070,433,3,7,29,4,53,16,125,44
03,Capital,001,0006 ,0071,433,7,10,11,7,55,6,114,47
03,Capital,001,0006 ,0072,433,6,4,20,9,50,12,119,41
03,Capital,001,0006 ,0073,433,7,8,20,4,53,6,113,66
03,Capital,001,0006 ,0074,433,16,4,23,6,49,10,119,62
03,Capital,001,0007 ,0069,432,12,11,14,6,68,11,110,59
03,Capital,001,0007 ,0070,432,14,4,15,8,59,11,102,52
03,Capital,001,0007 ,0071,432,5,5,24,5,71,13,94,62
03,Capital,001,0007 ,0072,432,0,0,12,3,58,5,98,57
03,Capital,001,0007 ,0073,432,17,7,22,7,47,9,119,48
03,Capital,001,0007 ,0074,432,9,4,23,3,51,6,102,55
03,Capital,001,0007 ,0075,865,6,6,48,10,126,12,218,110
03,Capital,001,0007 ,0076,865,15,18,46,14,130,28,222,118
03,Capital,001,0007 ,0077,865,11,7,42,16,154,26,252,116
03,Capital,001,0007 ,0078,865,16,16,66,14,130,24,250,86
03,Capital,001,0007 ,0079,865,10,5,46,14,114,26,256,114
03,Capital,001,0007 ,0080,865,12,16,48,8,120,20,268,104
03,Capital,001,0007 ,0081,865,25,4,62,12,114,26,202,112
03,Capital,001,0007 ,0082,865,13,11,60,14,128,30,234,112
03,Capital,001,0007 ,0083,865,9,0,62,12,126,26,218,126
03,Capital,001,0007 ,0084,865,19,18,38,12,130,18,244,100
03,Capital,001,0007 ,0085,865,23,10,52,14,118,208,186,116
03,Capital,001,0007 ,0086,865,14,18,46,24,158,18,212,90
03,Capital,001,0007 ,0087,865,10,8,52,14,134,20,228,92
03,Capital,001,0007 ,0088,865,28,15,48,22,124,22,230,112
03,Capital,001,0007 ,0089,864,18,16,40,12,162,18,216,104
03,Capital,001,0007 ,0090,863,8,2,50,20,152,24,226,126
03,Capital,001,0007 ,0091,863,15,14,62,18,140,30,246,122
03,Capital,001,0007 ,0092,863,6,3,60,12,136,26,228,96
03,Capital,001,0007 ,0093,863,1,6,34,18,148,20,218,132
03,Capital,001,0007 ,0094,863,15,13,54,16,120,34,242,104
03,Capital,001,0007 ,0095,863,13,14,48,16,100,22,220,88
03,Capital,001,0007 ,0096,863,9,19,40,12,126,26,244,98
03,Capital,001,0007 ,0097,863,14,16,28,18,126,24,222,104
03,Capital,001,0007 ,0098,863,7,10,46,12,132,30,210,90
03,Capital,001,0007 ,0099,863,27,21,48,10,128,16,228,118
03,Capital,001,0007 ,0100,432,4,11,22,7,68,6,105,54
03,Capital,001,0007 ,0101,432,0,0,21,9,67,12,105,64
03,Capital,001,0007 ,0102,432,11,0,15,6,73,13,98,51
03,Capital,001,0007 ,0103,432,6,6,18,7,82,14,120,42
03,Capital,001,0007 ,0104,432,9,5,24,6,61,11,112,35
03,Capital,001,0007 ,0105,432,9,12,16,8,70,15,98,45
03,Capital,001,0007 ,0106,432,8,3,14,7,65,8,98,60
03,Capital,001,0007 ,0107,432,0,0,24,5,57,11,115,42
03,Capital,001,0007 ,0108,432,5,5,21,10,54,11,108,42
03,Capital,001,0007 ,0109,432,2,6,18,11,70,10,115,61
03,Capital,001,0007 ,0110,432,4,4,25,7,66,9,100,49
03,Capital,001,0008 ,0100,427,8,5,28,3,77,16,85,59
03,Capital,001,0008 ,0101,427,9,0,31,2,70,11,82,49
03,Capital,001,0008 ,0102,427,10,9,17,4,58,4,121,61
03,Capital,001,0008 ,0103,427,8,6,20,9,54,6,113,70
