codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0005,0047,0603,0608,0611
03,Capital,001,0001 ,0001,312,25,0,2,21,103,19,48
03,Capital,001,0001 ,0002,315,18,0,4,23,102,23,45
03,Capital,001,0001 ,0003,316,20,2,2,19,105,22,52
03,Capital,001,0001 ,0004,311,24,0,7,20,80,27,65
03,Capital,001,0001 ,0005,312,18,5,7,21,98,24,47
03,Capital,001,0001 ,0006,312,29,2,6,16,94,16,53
03,Capital,001,0001 ,0007,315,28,2,8,21,111,15,44
03,Capital,001,0001 ,0008,314,18,1,4,22,100,16,62
03,Capital,001,0001 ,0009,317,24,0,6,28,107,16,42
03,Capital,001,0002 ,0010,334,3,0,10,22,175,15,42
03,Capital,001,0002 ,0011,337,0,0,12,13,158,8,41
03,Capital,001,0002 ,0012,334,21,4,16,13,151,11,43
03,Capital,001,0002 ,0013,336,23,0,12,17,150,20,35
03,Capital,001,0002 ,0014,333,19,3,7,18,133,12,30
03,Capital,001,0002 ,0015,335,28,0,4,8,159,11,52
03,Capital,001,0002 ,0016,334,0,0,7,20,138,10,58
03,Capital,001,0002 ,0017,333,0,0,8,19,131,14,44
03,Capital,001,0002 ,0018,334,24,1,5,15,143,17,47
03,Capital,001,0002 ,0019,331,2,3,4,18,148,12,43
03,Capital,001,0002 ,0020,332,23,3,7,12,149,11,61
03,Capital,001,0002 ,0021,332,1,0,5,0,115,17,49
03,Capital,001,0002 ,0022,332,36,0,6,11,151,17,39
03,Capital,001,0002 ,0023,336,13,0,13,14,152,14,44
03,Capital,001,0002 ,0024,336,31,1,9,0,160,13,35
03,Capital,001,0002 ,0025,333,19,0,5,10,180,5,41
03,Capital,001,0002 ,0026,332,16,0,4,10,164,4,34
03,Capital,001,0002 ,0027,338,17,2,6,14,154,13,55
03,Capital,001,0002 ,0028,336,26,1,6,17,160,10,40
03,Capital,001,0002 ,0029,333,32,2,12,10,142,8,46
03,Capital,001,0002 ,0030,334,0,1,9,14,140,9,42
03,Capital,001,0002 ,0031,334,29,4,10,15,144,8,43
03,Capital,001,0002 ,0032,331,32,2,8,10,154,13,34
03,Capital,001,0002 ,0033,333,25,0,7,13,153,11,46
03,Capital,001,0003 ,0034,344,21,1,3,4,183,7,35
03,Capital,001,0003 ,0035,343,28,1,6,7,188,3,42
03,Capital,001,0003 ,0036,342,0,1,6,9,164,9,39
03,Capital,001,0003 ,0037,342,1,2,5,0,171,8,33
03,Capital,001,0003 ,0038,343,1,0,4,5,171,10,40
03,Capital,001,0003 ,0039,340,0,0,8,108,182,6,34
03,Capital,001,0003 ,0040,340,22,0,4,4,185,1,31
03,Capital,001,0003 ,0041,341,0,0,6,10,203,1,37
03,Capital,001,0003 ,0042,343,2,2,5,4,178,3,52
03,Capital,001,0003 ,0043,341,3,0,0,4,175,9,38
03,Capital,001,0003 ,0044,341,18,2,2,6,190,4,36
03,Capital,001,0003 ,0045,340,2,9,7,12,169,3,40
03,Capital,001,0003 ,0046,340,3,4,5,9,190,6,35
03,Capital,001,0003 ,0047,343,0,0,9,0,188,5,36
03,Capital,001,0003 ,0048,344,30,3,5,5,157,11,40
03,Capital,001,0003 ,0049,341,3,7,3,5,173,6,42
03,Capital,001,0003 ,0050,342,24,2,2,4,174,10,45
03,Capital,001,0003 ,0051,341,0,0,6,5,177,9,37
03,Capital,001,0003 ,0052,341,0,3,4,4,173,11,39
03,Capital,001,0003 ,0053,344,0,0,3,0,183,6,24
03,Capital,001,0003 ,0054,340,0,0,2,0,204,4,32
03,Capital,001,0003 ,0055,342,3,4,5,10,170,8,38
03,Capital,001,0003 ,0056,343,0,8,1,2,178,4,45
03,Capital,001,0003 ,0057,345,36,0,5,7,178,2,44
03,Capital,001,0003 ,0058,341,0,0,5,9,185,6,42
03,Capital,001,0003 ,0059,344,32,1,3,3,181,9,32
03,Capital,001,0003 ,0060,339,34,2,6,5,159,12,40
03,Capital,001,0003 ,0061,344,27,5,10,6,180,2,42
03,Capital,001,0003 ,0062,341,25,0,6,6,196,11,23
03,Capital,001,0003 ,0063,342,29,1,6,8,157,7,27
03,Capital,001,0003 ,0064,343,24,1,6,7,186,8,43
03,Capital,001,0003 ,0065,341,0,0,10,8,163,12,42
03,Capital,001,0003 ,0066,341,0,0,4,9,179,8,38
03,Capital,001,0003 ,0067,342,13,6,4,9,168,11,44
03,Capital,001,0003 ,0068,339,24,1,6,7,168,5,42
03,Capital,001,0003 ,0069,343,32,0,2,5,158,9,39
03,Capital,001,0003 ,0070,342,23,6,0,13,171,9,47
03,Capital,001,0003 ,0071,342,0,0,6,0,173,5,28
03,Capital,001,0003 ,0072,341,13,0,6,10,173,7,50
03,Capital,001,0003 ,0073,343,17,0,4,13,178,8,45
03,Capital,001,0003 ,0074,343,0,0,7,8,158,9,65
03,Capital,001,0003 ,0075,342,28,1,7,9,157,10,43
03,Capital,001,0003 ,0076,339,0,0,6,7,194,7,23
03,Capital,001,0003 ,0077,343,17,7,8,3,198,6,33
03,Capital,001,0003 ,0078,340,31,0,9,0,178,2,41
03,Capital,001,0003 ,0079,340,29,2,6,6,179,11,36
03,Capital,001,0003 ,0080,341,15,0,5,6,179,8,42
03,Capital,001,0003 ,0081,341,0,0,11,5,194,3,48
03,Capital,001,0003 ,0082,342,21,0,5,5,167,6,52
03,Capital,001,0003 ,0083,343,0,0,6,10,166,7,37
03,Capital,001,0003 ,0084,343,31,5,0,12,0,5,0
03,Capital,001,0003 ,0085,341,19,0,3,5,187,4,44
03,Capital,001,0003 ,0086,341,18,0,4,8,210,9,35
03,Capital,001,0003 ,0087,342,22,5,8,7,181,4,31
03,Capital,001,0003 ,0088,342,4,3,5,5,171,5,38
03,Capital,001,0003 ,0089,340,29,4,5,4,190,4,33
03,Capital,001,0003 ,0090,343,25,4,7,6,187,5,36
03,Capital,001,0003 ,0091,342,19,0,0,6,192,6,28
03,Capital,001,0003 ,0092,339,13,4,1,13,179,2,40
03,Capital,001,0003 ,0093,343,0,3,6,0,199,12,39
03,Capital,001,0003 ,0094,340,0,0,0,4,185,8,38
03,Capital,001,0003 ,0095,345,3,0,0,0,178,11,39
03,Capital,001,0003 ,0096,343,27,2,0,7,202,5,27
03,Capital,001,0003 ,0097,344,0,0,5,2,200,2,31
03,Capital,001,0003 ,0098,341,32,0,6,8,178,6,33
03,Capital,001,0003 ,0099,341,0,0,6,7,214,5,33
03,Capital,001,0003 ,0100,340,26,0,3,4,187,6,33
03,Capital,001,0003 ,0101,342,0,0,8,0,191,6,35
03,Capital,001,0003 ,0102,346,0,0,10,8,176,7,31
03,Capital,001,0003 ,0103,341,18,0,5,8,185,5,44
03,Capital,001,0003 ,0104,341,0,0,8,0,179,6,37
03,Capital,001,0003 ,0105,342,23,3,5,6,198,2,46
03,Capital,001,0003 ,0106,342,2,0,4,6,186,6,37
03,Capital,001,0003 ,0107,342,0,0,4,13,179,4,34
03,Capital,001,0003 ,0108,342,0,0,9,5,181,10,34
03,Capital,001,0003 ,0109,342,24,0,6,5,194,6,43
03,Capital,001,0003 ,0110,343,22,4,5,12,178,7,32
03,Capital,001,0003 ,0111,342,0,0,0,0,0,0,0
03,Capital,001,0003 ,0112,342,0,4,4,9,180,8,44
03,Capital,001,0003 ,0113,344,26,1,10,10,161,3,37
03,Capital,001,0003 ,0114,345,22,0,5,9,181,6,27
03,Capital,001,0003 ,0115,343,1,5,4,6,181,3,36
03,Capital,001,0003 ,0116,340,22,1,3,7,165,7,45
03,Capital,001,0003 ,0117,344,21,1,2,12,190,8,30
03,Capital,001,0004 ,0118,340,24,3,10,3,129,19,65
03,Capital,001,0004 ,0119,342,18,0,1,11,141,9,63
03,Capital,001,0004 ,0120,340,31,5,7,19,128,26,43
03,Capital,001,0004 ,0121,342,20,1,7,12,112,18,79
03,Capital,001,0004 ,0122,341,1,3,9,17,95,22,59
03,Capital,001,0004 ,0123,341,28,1,13,0,128,18,54
03,Capital,001,0004 ,0124,344,18,1,10,10,125,22,61
03,Capital,001,0004 ,0125,340,21,3,7,9,127,12,63
03,Capital,001,0004 ,0126,339,21,1,7,15,129,15,60
03,Capital,001,0004 ,0127,338,26,0,10,9,144,11,62
03,Capital,001,0004 ,0128,341,16,2,10,11,130,22,67
03,Capital,001,0004 ,0129,338,34,0,6,11,126,15,56
03,Capital,001,0004 ,0130,338,0,0,13,12,132,17,48
03,Capital,001,0004 ,0131,342,2,0,10,15,133,7,71
03,Capital,001,0004 ,0132,342,1,6,4,8,147,16,55
03,Capital,001,0004 ,0133,339,14,0,5,15,131,12,65
03,Capital,001,0005 ,0134,336,0,0,0,9,160,9,39
03,Capital,001,0005 ,0135,337,3,0,11,6,187,8,34
03,Capital,001,0005 ,0136,338,15,2,8,10,172,6,37
03,Capital,001,0005 ,0137,335,1,3,1,7,192,3,36
03,Capital,001,0005 ,0138,336,8,3,4,7,148,10,44
03,Capital,001,0005 ,0139,337,0,0,0,8,164,3,37
03,Capital,001,0005 ,0140,336,4,0,5,6,188,4,30
03,Capital,001,0005 ,0141,336,21,0,4,4,173,6,42
03,Capital,001,0005 ,0142,336,0,2,6,8,185,4,37
03,Capital,001,0005 ,0143,335,3,0,5,10,163,10,28
03,Capital,001,0005 ,0144,337,1,0,7,0,173,12,47
03,Capital,001,0005 ,0145,338,0,0,3,7,184,3,32
03,Capital,001,0005 ,0146,339,17,0,2,9,167,12,39
03,Capital,001,0005 ,0147,338,14,1,7,4,198,1,32
03,Capital,001,0005 ,0148,340,8,5,7,3,195,9,23
03,Capital,001,0005 ,0149,337,0,0,11,7,181,7,31
03,Capital,001,0005 ,0150,338,4,3,5,18,160,2,32
03,Capital,001,0005 ,0151,337,20,1,7,15,168,7,31
03,Capital,001,0005 ,0152,336,10,2,2,13,180,8,31
03,Capital,001,0005 ,0153,337,21,3,12,8,179,8,35
03,Capital,001,0005 ,0154,336,4,2,8,3,158,10,41
03,Capital,001,0005 ,0155,337,13,1,6,10,173,6,39
03,Capital,001,0005 ,0156,336,0,0,0,0,0,0,0
03,Capital,001,0005 ,0157,336,4,6,6,6,200,11,34
03,Capital,001,0005 ,0158,337,13,4,3,0,188,4,32
03,Capital,001,0005 ,0159,333,18,1,5,3,175,9,33
03,Capital,001,0005 ,0160,333,22,2,7,8,175,3,26
03,Capital,001,0005 ,0161,336,17,2,6,11,164,12,35
03,Capital,001,0005 ,0162,333,15,3,0,11,199,9,25
03,Capital,001,0005 ,0163,335,6,0,5,2,217,3,31
03,Capital,001,0005 ,0164,340,11,3,3,14,178,9,38
03,Capital,001,0006 ,0165,342,14,2,13,17,138,11,53
03,Capital,001,0006 ,0166,343,20,3,13,12,149,13,53
03,Capital,001,0006 ,0167,340,28,1,11,0,122,15,53
03,Capital,001,0006 ,0168,344,22,1,9,10,151,10,45
03,Capital,001,0006 ,0169,344,28,0,5,9,158,21,48
03,Capital,001,0006 ,0170,341,0,0,8,8,155,10,57
03,Capital,001,0006 ,0171,340,1,3,10,13,132,16,47
03,Capital,001,0006 ,0172,341,29,0,7,10,128,13,43
03,Capital,001,0006 ,0173,344,21,3,6,11,142,11,55
03,Capital,001,0006 ,0174,342,24,0,10,9,141,16,44
03,Capital,001,0006 ,0175,342,25,2,18,10,143,10,43
03,Capital,001,0006 ,0176,342,17,3,9,12,142,18,55
03,Capital,001,0006 ,0177,342,23,2,0,13,157,13,48
03,Capital,001,0006 ,0178,342,18,2,6,12,152,16,62
03,Capital,001,0006 ,0179,342,16,2,9,8,48,13,48
03,Capital,001,0006 ,0180,339,16,4,16,10,152,8,48
03,Capital,001,0007 ,0181,346,1,1,6,14,186,12,47
03,Capital,001,0007 ,0182,347,45,5,9,14,148,4,46
03,Capital,001,0007 ,0183,344,10,4,5,7,186,16,33
03,Capital,001,0007 ,0184,346,21,2,5,9,144,23,53
03,Capital,001,0007 ,0185,348,0,0,0,0,165,14,36
03,Capital,001,0007 ,0186,349,19,2,6,16,142,21,47
03,Capital,001,0007 ,0187,346,1,1,10,17,160,13,42
03,Capital,001,0007 ,0188,344,17,3,9,7,172,12,33
03,Capital,001,0007 ,0189,347,36,2,6,18,139,12,48
03,Capital,001,0007 ,0190,347,0,0,7,12,167,10,38
03,Capital,001,0007 ,0191,344,2,2,10,3,164,13,42
03,Capital,001,0007 ,0192,343,1,0,11,6,165,15,56
03,Capital,001,0007 ,0193,346,25,0,10,12,164,8,45
03,Capital,001,0007 ,0194,347,37,3,7,17,106,20,62
03,Capital,001,0007 ,0195,344,21,3,12,16,136,22,44
03,Capital,001,0007 ,0196,345,16,2,9,0,177,14,34
03,Capital,001,0007 ,0197,345,27,2,4,11,165,18,47
03,Capital,001,0007 ,0198,345,0,0,9,21,139,18,38
03,Capital,001,0007 ,0199,344,26,0,4,5,172,25,42
03,Capital,001,0007 ,0200,346,28,0,5,6,162,10,42
03,Capital,001,0007 ,0201,346,23,3,6,11,169,12,38
03,Capital,001,0007 ,0202,347,29,4,10,13,171,17,42
03,Capital,001,0007 ,0203,346,21,2,8,8,170,11,43
03,Capital,001,0007 ,0204,346,31,6,5,23,12,17,54
03,Capital,001,0007 ,0205,344,1,1,6,0,148,17,48
03,Capital,001,0007 ,0206,343,0,0,5,9,167,10,40
03,Capital,001,0007 ,0207,346,21,4,8,8,161,17,34
03,Capital,001,0007 ,0208,343,30,2,13,21,117,19,44
03,Capital,001,0007 ,0209,347,29,2,7,11,147,18,52
03,Capital,001,0007 ,0210,347,1,1,10,12,145,15,54
03,Capital,001,0007 ,0211,343,20,4,10,13,145,12,53
03,Capital,001,0007 ,0212,347,0,0,0,14,127,52,0
03,Capital,001,0007 ,0213,343,0,0,6,2,141,22,48
03,Capital,001,0007 ,0214,345,25,3,14,11,142,22,49
03,Capital,001,0007 ,0215,343,17,2,10,14,151,16,46
03,Capital,001,0007 ,0216,343,0,0,0,0,128,0,53
03,Capital,001,0007 ,0217,346,17,2,10,7,171,14,41
03,Capital,001,0007 ,0218,344,23,1,7,17,145,18,40
03,Capital,001,0007 ,0219,344,12,2,10,17,161,13,52
03,Capital,001,0007 ,0220,346,2,5,6,5,169,7,53
03,Capital,001,0007 ,0221,344,26,0,8,7,157,12,50
03,Capital,001,0007 ,0222,343,2,6,5,8,169,19,45
03,Capital,001,0007 ,0223,345,15,4,9,25,115,22,61
03,Capital,001,0007 ,0224,347,21,2,5,13,157,21,46
03,Capital,001,0007 ,0225,343,30,1,11,21,148,17,48
03,Capital,001,0007 ,0226,342,31,3,9,11,144,18,49
03,Capital,001,0007 ,0227,346,14,1,5,17,167,20,43
03,Capital,001,0007 ,0228,346,6,4,8,13,149,16,58
03,Capital,001,0007 ,0229,344,27,2,4,25,147,17,39
03,Capital,001,0007 ,0230,345,30,4,5,16,137,14,60
03,Capital,001,0007 ,0231,344,28,7,11,12,145,18,51
03,Capital,001,0007 ,0232,345,23,2,7,20,146,21,48
03,Capital,001,0007 ,0233,341,34,3,5,15,123,16,44
03,Capital,001,0007 ,0234,345,23,1,6,12,127,15,48
03,Capital,001,0007 ,0235,342,25,5,5,0,152,8,45
03,Capital,001,0007 ,0236,343,33,2,6,14,161,18,49
03,Capital,001,0007 ,0237,343,26,3,6,15,154,9,49
03,Capital,001,0007 ,0238,346,20,2,8,12,154,14,43
03,Capital,001,0007 ,0239,343,0,0,5,12,165,14,40
03,Capital,001,0007 ,0240,342,23,2,4,16,143,11,39
03,Capital,001,0007 ,0241,345,0,0,9,12,148,12,54
03,Capital,001,0007 ,0242,347,31,0,6,6,163,14,50
03,Capital,001,0007 ,0243,344,34,4,11,22,129,14,47
03,Capital,001,0007 ,0244,344,23,2,8,13,141,18,47
03,Capital,001,0007 ,0245,346,21,4,12,18,150,16,41
03,Capital,001,0007 ,0246,344,0,0,4,12,146,16,53
03,Capital,001,0007 ,0247,344,32,2,15,13,168,9,36
03,Capital,001,0007 ,0248,342,19,4,4,10,174,13,35
03,Capital,001,0007 ,0249,342,23,4,8,11,157,16,42
03,Capital,001,0007 ,0250,344,0,4,10,16,155,11,47
03,Capital,001,0007 ,0251,346,6,0,5,10,174,11,36
03,Capital,001,0007 ,0252,344,0,0,9,16,169,14,47
03,Capital,001,0007 ,0253,344,29,1,6,14,163,7,45
03,Capital,001,0007 ,0254,344,2,6,9,16,141,13,52
03,Capital,001,0007 ,0255,347,35,3,5,11,127,23,51
03,Capital,001,0007 ,0256,343,35,4,2,16,141,13,55
03,Capital,001,0007 ,0257,344,0,0,8,20,146,19,39
03,Capital,001,0007 ,0258,345,0,0,7,17,143,12,47
03,Capital,001,0007 ,0259,344,22,3,6,12,155,15,35
03,Capital,001,0007 ,0260,342,29,3,2,15,153,11,44
03,Capital,001,0007 ,0261,344,33,0,4,12,158,8,51
03,Capital,001,0007 ,0262,346,2,1,3,12,167,0,10
03,Capital,001,0007 ,0263,343,0,0,8,0,149,11,49
