codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0131,0524,0528
03,Capital,001,0001 ,0001,336,62,0,69,90,35
03,Capital,001,0001 ,0002,336,47,2,70,108,17
03,Capital,001,0001 ,0003,336,49,0,70,99,36
03,Capital,001,0001 ,0004,336,59,2,66,110,32
03,Capital,001,0001 ,0005,336,60,0,77,83,37
03,Capital,001,0001 ,0006,336,52,0,80,87,29
03,Capital,001,0001 ,0007,336,57,0,79,96,22
03,Capital,001,0001 ,0008,335,57,0,72,93,28
03,Capital,001,0002 ,0009,344,51,5,104,88,44
03,Capital,001,0002 ,0010,343,45,4,113,85,34
03,Capital,001,0002 ,0011,344,50,1,92,82,46
03,Capital,001,0002 ,0012,345,49,0,98,101,29
03,Capital,001,0002 ,0013,344,50,2,96,87,42
03,Capital,001,0002 ,0014,342,53,0,118,66,29
03,Capital,001,0002 ,0015,344,0,0,87,104,33
03,Capital,001,0002 ,0016,344,51,4,93,87,37
03,Capital,001,0002 ,0017,343,50,1,101,89,39
03,Capital,001,0002 ,0018,344,40,0,101,95,32
03,Capital,001,0002 ,0019,344,52,0,82,115,33
03,Capital,001,0002 ,0020,344,60,0,111,80,26
03,Capital,001,0002 ,0021,344,0,0,97,87,39
03,Capital,001,0002 ,0022,344,0,0,0,0,0
03,Capital,001,0002 ,0023,344,0,0,0,0,0
03,Capital,001,0002 ,0024,344,49,0,100,95,41
03,Capital,001,0002 ,0025,343,0,0,0,0,0
03,Capital,001,0002 ,0026,344,0,0,90,84,42
03,Capital,001,0002 ,0027,344,0,8,97,100,26
03,Capital,001,0002 ,0028,344,44,0,113,84,33
03,Capital,001,0002 ,0029,344,51,1,93,94,30
03,Capital,001,0002 ,0030,344,55,0,86,83,48
03,Capital,001,0002 ,0031,343,57,0,94,83,41
03,Capital,001,0002 ,0032,344,47,0,104,82,42
03,Capital,001,0002 ,0033,343,43,0,0,107,39
03,Capital,001,0003 ,0034,345,0,0,100,68,34
03,Capital,001,0003 ,0035,345,0,0,92,90,35
03,Capital,001,0003 ,0036,345,0,0,85,81,33
03,Capital,001,0003 ,0037,345,0,6,88,84,28
03,Capital,001,0003 ,0038,345,55,3,96,69,32
03,Capital,001,0003 ,0039,345,43,1,131,77,23
03,Capital,001,0003 ,0040,345,55,1,98,96,25
03,Capital,001,0003 ,0041,345,2,0,111,91,21
03,Capital,001,0003 ,0042,346,2,3,106,75,27
03,Capital,001,0003 ,0043,346,47,1,109,97,22
03,Capital,001,0003 ,0044,345,0,0,84,76,31
03,Capital,001,0003 ,0045,345,0,3,110,76,29
03,Capital,001,0003 ,0046,344,46,3,113,77,31
03,Capital,001,0003 ,0047,345,48,7,108,83,26
03,Capital,001,0003 ,0048,345,0,7,116,67,22
03,Capital,001,0003 ,0049,346,0,0,109,88,30
03,Capital,001,0003 ,0050,345,0,1,114,79,19
03,Capital,001,0003 ,0051,345,0,0,0,91,26
03,Capital,001,0003 ,0052,345,35,1,99,86,35
03,Capital,001,0003 ,0053,344,46,0,108,89,20
03,Capital,001,0003 ,0054,344,55,2,125,68,31
03,Capital,001,0003 ,0055,344,1,2,99,99,26
03,Capital,001,0003 ,0056,344,163,1,77,15,6
03,Capital,001,0003 ,0057,344,3,2,121,72,28
03,Capital,001,0003 ,0058,344,57,4,109,74,25
03,Capital,001,0003 ,0059,344,3,0,98,72,32
03,Capital,001,0003 ,0060,344,1,0,91,95,29
03,Capital,001,0003 ,0061,344,1,0,116,69,34
03,Capital,001,0003 ,0062,344,0,0,101,81,19
03,Capital,001,0003 ,0063,344,58,3,104,58,35
03,Capital,001,0003 ,0064,343,0,0,86,86,40
03,Capital,001,0003 ,0065,344,2,7,109,78,28
03,Capital,001,0003 ,0066,344,1,0,100,95,25
03,Capital,001,0003 ,0067,344,0,0,112,77,28
03,Capital,001,0003 ,0068,344,0,0,103,74,21
03,Capital,001,0003 ,0069,344,2,0,96,72,26
03,Capital,001,0003 ,0070,343,0,0,114,62,43
03,Capital,001,0003 ,0071,344,0,0,95,95,26
03,Capital,001,0003 ,0072,344,0,0,29,81,29
03,Capital,001,0003 ,0073,344,0,0,109,76,24
03,Capital,001,0003 ,0074,345,0,8,96,77,35
03,Capital,001,0003 ,0075,344,0,0,96,83,34
03,Capital,001,0003 ,0076,344,0,0,109,83,27
03,Capital,001,0003 ,0077,344,48,3,94,92,25
03,Capital,001,0003 ,0078,344,4,2,105,70,33
03,Capital,001,0003 ,0079,344,36,3,98,0,36
03,Capital,001,0003 ,0080,344,50,2,92,78,31
03,Capital,001,0003 ,0081,344,0,0,90,87,32
03,Capital,001,0003 ,0082,344,71,3,95,79,23
03,Capital,001,0003 ,0083,344,0,0,103,74,41
03,Capital,001,0003 ,0084,344,0,0,135,73,32
03,Capital,001,0003 ,0085,344,0,0,90,85,35
03,Capital,001,0003 ,0086,344,0,0,109,74,29
03,Capital,001,0003 ,0087,344,51,0,89,90,29
03,Capital,001,0003 ,0088,345,6,0,119,66,24
03,Capital,001,0003 ,0089,344,5,4,84,74,28
03,Capital,001,0003 ,0090,344,53,0,84,100,26
03,Capital,001,0003 ,0091,344,50,2,103,74,29
03,Capital,001,0003 ,0092,344,0,0,101,85,24
03,Capital,001,0003 ,0093,344,0,0,96,85,28
03,Capital,001,0003 ,0094,344,65,0,100,88,25
03,Capital,001,0003 ,0095,344,3,2,114,65,37
03,Capital,001,0003 ,0096,345,0,0,91,97,31
03,Capital,001,0003 ,0097,344,7,5,89,75,38
03,Capital,001,0003 ,0098,344,51,5,96,81,41
03,Capital,001,0003 ,0099,344,63,0,98,83,21
03,Capital,001,0003 ,0100,344,0,0,102,81,22
03,Capital,001,0003 ,0101,344,44,0,119,77,28
03,Capital,001,0003 ,0102,344,5,5,109,61,40
