codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0194,0542,0544,0547
03,Capital,001,0001 ,0001,343,21,2,12,115,9,70
03,Capital,001,0001 ,0002,343,19,1,13,120,9,50
03,Capital,001,0001 ,0003,343,0,0,0,0,0,0
03,Capital,001,0001 ,0004,342,18,3,16,110,22,67
03,Capital,001,0001 ,0005,342,18,0,14,100,15,65
03,Capital,001,0001 ,0006,340,11,2,15,111,14,63
03,Capital,001,0001 ,0007,342,24,2,16,96,11,71
03,Capital,001,0002 ,0008,334,13,3,8,94,12,104
03,Capital,001,0002 ,0009,335,13,4,15,89,17,87
03,Capital,001,0002 ,0010,335,0,0,0,0,0,0
03,Capital,001,0002 ,0011,335,8,3,13,89,9,93
03,Capital,001,0002 ,0012,335,2,0,21,99,18,86
03,Capital,001,0002 ,0013,336,16,5,11,86,11,95
03,Capital,001,0002 ,0014,333,21,2,16,69,12,101
03,Capital,001,0002 ,0015,334,3,2,0,0,0,0
03,Capital,001,0002 ,0016,334,20,7,20,101,13,78
03,Capital,001,0002 ,0017,334,19,2,17,105,17,66
03,Capital,001,0002 ,0018,334,2,1,19,102,13,82
03,Capital,001,0002 ,0019,334,21,1,18,93,7,87
03,Capital,001,0002 ,0020,334,17,1,9,86,9,92
03,Capital,001,0002 ,0021,335,17,0,14,93,16,87
03,Capital,001,0002 ,0022,333,15,6,17,94,10,78
03,Capital,001,0002 ,0023,334,20,3,17,81,16,96
03,Capital,001,0002 ,0024,334,0,0,15,97,16,70
03,Capital,001,0002 ,0025,334,16,0,11,77,20,102
03,Capital,001,0002 ,0026,333,2,3,9,83,9,104
03,Capital,001,0002 ,0027,334,18,1,11,102,16,92
03,Capital,001,0002 ,0028,336,20,1,19,92,13,78
03,Capital,001,0002 ,0029,334,5,2,13,80,10,100
03,Capital,001,0002 ,0030,334,0,0,17,120,11,70
03,Capital,001,0002 ,0031,334,23,2,10,88,17,86
03,Capital,001,0002 ,0032,334,16,2,11,96,17,79
03,Capital,001,0002 ,0033,334,16,3,18,80,13,92
03,Capital,001,0002 ,0034,334,10,5,15,86,10,80
03,Capital,001,0003 ,0035,343,4,3,14,89,13,94
03,Capital,001,0003 ,0036,343,4,7,12,82,17,96
03,Capital,001,0003 ,0037,343,11,3,12,100,17,86
03,Capital,001,0003 ,0038,343,6,6,16,80,13,89
03,Capital,001,0003 ,0039,343,12,3,16,92,11,98
03,Capital,001,0003 ,0040,343,20,4,11,66,10,113
03,Capital,001,0003 ,0041,344,16,4,18,89,6,92
03,Capital,001,0003 ,0042,343,14,2,14,94,19,94
03,Capital,001,0003 ,0043,343,6,0,15,64,17,100
03,Capital,001,0003 ,0044,343,4,3,8,73,26,102
03,Capital,001,0003 ,0045,343,17,0,6,76,16,105
03,Capital,001,0003 ,0046,344,3,5,7,80,12,103
03,Capital,001,0003 ,0047,343,12,4,17,77,9,101
