codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0005,0014,0038,0047,0501,0502,0535,0537
03,Capital,001,0001 ,0001,312,18,1,16,1,2,17,84,67,4,3
03,Capital,001,0001 ,0002,315,22,1,10,8,1,15,81,54,11,9
03,Capital,001,0001 ,0003,316,3,0,8,6,15,28,86,59,6,8
03,Capital,001,0001 ,0004,311,18,3,19,5,0,15,74,64,11,9
03,Capital,001,0001 ,0005,312,0,6,17,7,0,15,80,60,6,17
03,Capital,001,0001 ,0006,312,25,1,13,7,2,10,77,72,3,8
03,Capital,001,0001 ,0007,314,17,0,12,9,2,10,80,56,11,18
03,Capital,001,0001 ,0008,313,3,2,15,7,0,11,88,65,4,5
03,Capital,001,0001 ,0009,316,23,1,17,6,0,19,91,63,5,9
03,Capital,001,0002 ,0010,334,20,4,18,3,2,10,159,49,4,3
03,Capital,001,0002 ,0011,337,1,1,24,2,1,9,126,58,2,9
03,Capital,001,0002 ,0012,333,20,4,18,3,2,8,138,54,4,5
03,Capital,001,0002 ,0013,335,27,0,20,2,0,10,135,51,4,6
03,Capital,001,0002 ,0014,334,1,2,7,4,0,17,113,45,10,6
03,Capital,001,0002 ,0015,335,21,3,12,7,1,3,136,51,4,4
03,Capital,001,0002 ,0016,334,4,3,11,3,2,8,105,71,3,3
03,Capital,001,0002 ,0017,333,37,0,9,6,0,10,118,53,3,5
03,Capital,001,0002 ,0018,334,23,3,13,4,0,13,127,54,2,13
03,Capital,001,0002 ,0019,331,2,3,12,9,1,13,134,50,6,4
03,Capital,001,0002 ,0020,332,27,6,20,6,1,5,118,69,2,5
03,Capital,001,0002 ,0021,332,1,6,17,6,0,5,109,50,2,9
03,Capital,001,0002 ,0022,333,23,4,15,1,0,8,126,63,8,7
03,Capital,001,0002 ,0023,335,30,0,14,9,0,11,137,38,6,6
03,Capital,001,0002 ,0024,336,40,0,14,4,0,4,126,59,1,5
03,Capital,001,0002 ,0025,333,33,6,0,7,1,3,150,43,5,3
03,Capital,001,0002 ,0026,333,21,0,11,1,1,4,144,31,6,5
03,Capital,001,0002 ,0027,336,22,2,13,10,0,7,120,63,12,4
03,Capital,001,0002 ,0028,334,0,0,16,1,3,11,140,50,3,5
03,Capital,001,0002 ,0029,334,23,1,16,5,0,12,121,58,3,5
03,Capital,001,0002 ,0030,334,16,0,21,4,2,10,113,51,5,3
03,Capital,001,0002 ,0031,333,23,4,9,6,0,7,113,60,2,4
03,Capital,001,0002 ,0032,332,36,2,18,7,0,7,124,43,4,0
03,Capital,001,0002 ,0033,333,0,0,14,7,1,0,127,58,1,0
03,Capital,001,0003 ,0034,344,1,6,11,5,3,4,165,38,1,7
03,Capital,001,0003 ,0035,341,0,0,16,2,2,5,164,46,3,1
03,Capital,001,0003 ,0036,342,0,4,10,3,0,7,152,39,1,2
03,Capital,001,0003 ,0037,342,1,4,11,4,2,8,143,43,1,5
03,Capital,001,0003 ,0038,343,0,0,20,8,1,7,142,53,3,2
03,Capital,001,0003 ,0039,343,31,0,6,5,3,5,161,42,0,2
03,Capital,001,0003 ,0040,342,14,6,12,1,0,0,159,49,1,0
03,Capital,001,0003 ,0041,341,0,0,11,3,0,6,186,41,0,0
03,Capital,001,0003 ,0042,343,0,0,28,1,0,0,156,35,3,1
03,Capital,001,0003 ,0043,341,17,4,9,4,1,7,167,48,2,1
03,Capital,001,0003 ,0044,341,31,2,9,4,0,1,154,47,3,2
03,Capital,001,0003 ,0045,341,0,0,0,4,0,0,151,44,3,4
03,Capital,001,0003 ,0046,341,3,10,11,7,0,5,162,42,2,5
03,Capital,001,0003 ,0047,343,3,4,9,2,3,9,170,39,1,3
03,Capital,001,0003 ,0048,342,33,1,14,2,0,2,137,49,2,5
03,Capital,001,0003 ,0049,340,23,7,6,6,0,4,129,58,4,2
03,Capital,001,0003 ,0050,343,0,0,6,0,5,3,149,49,2,8
03,Capital,001,0003 ,0051,343,0,0,12,0,0,4,163,47,1,4
03,Capital,001,0003 ,0052,342,1,2,10,4,1,5,150,53,1,3
03,Capital,001,0003 ,0053,343,1,3,15,0,1,8,14,44,0,2
03,Capital,001,0003 ,0054,340,0,0,11,2,0,12,159,37,4,3
03,Capital,001,0003 ,0055,340,0,0,7,2,2,8,160,41,2,4
03,Capital,001,0003 ,0056,342,2,2,8,7,0,6,148,58,2,0
03,Capital,001,0003 ,0057,344,26,4,12,4,1,3,171,43,4,2
03,Capital,001,0003 ,0058,342,0,0,6,7,1,5,150,45,4,6
03,Capital,001,0003 ,0059,343,0,8,15,7,0,3,127,37,2,0
03,Capital,001,0003 ,0060,339,22,0,16,6,1,3,133,56,3,5
03,Capital,001,0003 ,0061,344,6,3,11,3,1,0,165,58,1,0
03,Capital,001,0003 ,0062,342,21,3,10,6,1,6,158,54,2,2
03,Capital,001,0003 ,0063,341,31,0,9,2,1,3,143,36,1,2
03,Capital,001,0003 ,0064,342,16,0,13,5,1,3,153,49,3,4
03,Capital,001,0003 ,0065,341,20,0,17,4,1,9,141,57,0,4
03,Capital,001,0003 ,0066,340,0,0,9,4,1,6,160,40,3,5
03,Capital,001,0003 ,0067,343,26,7,7,7,2,6,149,48,1,6
03,Capital,001,0003 ,0068,342,27,2,15,2,1,5,147,49,2,1
03,Capital,001,0003 ,0069,342,30,0,7,5,3,8,140,55,2,7
03,Capital,001,0003 ,0070,342,0,0,9,0,1,9,156,58,2,1
03,Capital,001,0003 ,0071,343,3,0,10,5,0,5,139,40,3,2
03,Capital,001,0003 ,0072,342,0,0,9,6,1,6,151,58,2,1
03,Capital,001,0003 ,0073,343,0,0,9,3,0,13,138,55,3,4
03,Capital,001,0003 ,0074,341,10,0,23,4,0,2,130,76,2,4
03,Capital,001,0003 ,0075,342,0,0,7,7,1,10,135,55,3,8
03,Capital,001,0003 ,0076,341,0,0,0,0,0,0,0,0,0,0
03,Capital,001,0003 ,0077,343,0,0,13,6,0,6,154,36,1,1
03,Capital,001,0003 ,0078,339,4,2,10,1,0,5,161,41,0,0
03,Capital,001,0003 ,0079,341,32,5,8,4,3,5,146,55,2,1
03,Capital,001,0003 ,0080,341,0,2,18,7,1,7,137,38,5,0
03,Capital,001,0003 ,0081,341,5,1,13,5,0,3,154,43,3,2
03,Capital,001,0003 ,0082,342,16,4,5,6,2,6,140,63,5,4
03,Capital,001,0003 ,0083,342,0,0,10,2,2,10,132,47,5,5
03,Capital,001,0003 ,0084,342,0,0,10,4,1,10,126,58,1,1
03,Capital,001,0003 ,0085,341,29,7,9,2,1,3,156,45,2,2
03,Capital,001,0003 ,0086,342,0,3,14,5,1,9,178,60,2,4
03,Capital,001,0003 ,0087,342,0,0,17,3,0,6,145,50,0,2
03,Capital,001,0003 ,0088,342,7,5,7,3,1,11,138,46,4,3
03,Capital,001,0003 ,0089,340,31,4,9,4,0,5,145,40,4,2
03,Capital,001,0003 ,0090,343,3,0,15,3,0,2,156,50,3,2
03,Capital,001,0003 ,0091,341,23,0,9,4,0,4,168,37,0,0
03,Capital,001,0003 ,0092,341,27,4,14,0,0,4,138,54,5,1
03,Capital,001,0003 ,0093,342,11,4,12,5,0,3,158,46,1,0
03,Capital,001,0003 ,0094,341,0,0,6,3,0,2,157,55,1,6
03,Capital,001,0003 ,0095,344,0,0,6,4,0,5,152,53,2,5
03,Capital,001,0003 ,0096,342,16,1,6,4,2,7,188,29,1,3
03,Capital,001,0003 ,0097,342,0,0,7,4,2,5,168,36,9,2
03,Capital,001,0003 ,0098,342,25,0,19,5,0,6,169,44,1,0
03,Capital,001,0003 ,0099,341,0,0,9,6,1,5,174,48,1,3
03,Capital,001,0003 ,0100,340,0,0,6,0,0,4,159,50,3,2
03,Capital,001,0003 ,0101,342,3,1,7,4,1,7,149,44,3,5
03,Capital,001,0003 ,0102,345,33,1,19,6,0,11,142,50,1,3
03,Capital,001,0003 ,0103,341,3,3,20,3,0,5,141,52,5,4
03,Capital,001,0003 ,0104,341,27,2,15,4,1,8,145,52,1,4
03,Capital,001,0003 ,0105,342,23,8,9,5,0,5,147,58,4,4
03,Capital,001,0003 ,0106,342,0,0,10,5,0,0,148,33,0,3
03,Capital,001,0003 ,0107,341,0,0,6,8,2,9,148,34,2,4
03,Capital,001,0003 ,0108,343,29,0,13,2,0,7,153,48,0,5
03,Capital,001,0003 ,0109,342,2,0,4,1,0,9,158,55,1,0
03,Capital,001,0003 ,0110,343,0,0,14,6,0,7,141,41,3,3
03,Capital,001,0003 ,0111,341,9,4,9,1,2,4,132,66,0,4
03,Capital,001,0003 ,0112,341,0,0,10,4,1,9,169,37,3,7
03,Capital,001,0003 ,0113,343,24,2,15,4,1,7,150,39,0,4
03,Capital,001,0003 ,0114,343,1,2,10,0,1,8,164,26,4,3
03,Capital,001,0003 ,0115,342,0,0,11,2,0,4,136,47,5,7
03,Capital,001,0003 ,0116,342,0,0,17,2,0,4,130,43,6,6
03,Capital,001,0003 ,0117,343,0,0,12,6,2,6,151,46,5,2
03,Capital,001,0004 ,0118,341,21,1,20,4,3,11,118,66,6,0
03,Capital,001,0004 ,0119,343,3,1,5,6,0,6,119,78,5,2
03,Capital,001,0004 ,0120,340,38,4,19,4,4,14,102,59,1,4
03,Capital,001,0004 ,0121,340,20,4,21,4,1,8,83,90,8,9
03,Capital,001,0004 ,0122,341,2,3,15,5,1,13,87,76,5,8
03,Capital,001,0004 ,0123,341,21,1,18,6,0,16,106,62,7,7
03,Capital,001,0004 ,0124,343,2,2,17,3,1,6,103,77,5,9
03,Capital,001,0004 ,0125,341,28,4,14,5,0,7,95,67,2,8
03,Capital,001,0004 ,0126,339,7,3,15,3,0,10,106,72,5,9
03,Capital,001,0004 ,0127,339,13,2,12,5,0,10,114,82,4,4
03,Capital,001,0004 ,0128,342,29,4,22,7,0,6,112,75,5,5
03,Capital,001,0004 ,0129,338,0,0,13,8,1,5,104,63,5,8
03,Capital,001,0004 ,0130,340,3,2,20,6,0,4,114,58,3,5
03,Capital,001,0004 ,0131,341,18,0,16,8,0,12,109,68,3,3
03,Capital,001,0004 ,0132,341,1,6,12,7,0,6,128,75,3,4
03,Capital,001,0004 ,0133,339,5,5,12,6,0,9,92,77,1,11
03,Capital,001,0005 ,0134,336,24,0,23,7,0,6,122,52,1,0
03,Capital,001,0005 ,0135,337,6,0,9,1,0,6,148,37,2,2
03,Capital,001,0005 ,0136,337,17,1,13,1,0,5,137,46,8,6
03,Capital,001,0005 ,0137,335,0,0,11,0,2,4,161,41,1,4
03,Capital,001,0005 ,0138,336,0,0,12,7,1,5,126,51,1,0
03,Capital,001,0005 ,0139,337,0,0,0,0,0,14,144,53,1,0
03,Capital,001,0005 ,0140,335,2,2,15,2,1,4,154,36,3,2
03,Capital,001,0005 ,0141,336,20,0,13,3,1,4,148,53,0,3
03,Capital,001,0005 ,0142,335,0,0,13,5,2,10,139,46,1,2
03,Capital,001,0005 ,0143,335,0,0,13,7,0,6,143,37,3,6
03,Capital,001,0005 ,0144,338,33,0,7,0,1,0,161,50,3,3
03,Capital,001,0005 ,0145,338,3,1,10,7,1,47,140,34,3,2
03,Capital,001,0005 ,0146,338,28,1,11,3,0,10,134,49,3,1
03,Capital,001,0005 ,0147,338,1,1,12,2,0,6,173,32,0,0
03,Capital,001,0005 ,0148,339,0,0,15,6,2,5,152,45,5,3
03,Capital,001,0005 ,0149,338,0,0,18,6,0,0,144,49,2,2
03,Capital,001,0005 ,0150,338,4,0,11,2,1,12,145,37,4,6
03,Capital,001,0005 ,0151,336,2,2,10,1,1,10,136,40,7,3
03,Capital,001,0005 ,0152,336,15,7,13,3,1,6,150,52,2,0
03,Capital,001,0005 ,0153,337,0,0,0,0,0,0,0,0,0,0
03,Capital,001,0005 ,0154,336,3,4,0,0,0,9,134,44,5,5
03,Capital,001,0005 ,0155,337,0,0,0,0,0,0,142,44,0,0
03,Capital,001,0005 ,0156,336,1,3,4,1,1,10,162,35,1,5
03,Capital,001,0005 ,0157,337,5,0,20,5,0,3,159,36,3,3
03,Capital,001,0005 ,0158,336,2,4,11,4,1,2,161,31,4,3
03,Capital,001,0005 ,0159,333,18,2,12,3,1,3,132,51,2,5
03,Capital,001,0005 ,0160,336,4,4,28,6,0,9,139,35,2,5
03,Capital,001,0005 ,0161,336,30,4,19,5,1,10,136,43,0,2
03,Capital,001,0005 ,0162,334,0,3,15,4,0,8,151,36,4,0
03,Capital,001,0005 ,0163,335,0,0,6,1,0,9,182,46,0,3
03,Capital,001,0005 ,0164,338,15,5,15,4,0,7,153,49,0,6
03,Capital,001,0006 ,0165,342,11,12,22,6,2,7,124,55,0,4
03,Capital,001,0006 ,0166,343,1,4,22,5,0,11,127,68,2,6
03,Capital,001,0006 ,0167,341,28,1,13,4,3,19,96,68,7,13
03,Capital,001,0006 ,0168,343,23,4,14,6,1,6,113,57,3,3
03,Capital,001,0006 ,0169,343,20,2,16,8,2,11,149,55,2,9
03,Capital,001,0006 ,0170,341,0,0,0,0,0,0,0,0,0,0
03,Capital,001,0006 ,0171,341,3,5,24,3,0,10,103,60,9,8
03,Capital,001,0006 ,0172,342,17,6,17,6,3,5,102,60,4,5
03,Capital,001,0006 ,0173,343,21,1,11,6,5,8,109,63,7,11
03,Capital,001,0006 ,0174,342,0,0,21,1,0,7,122,47,2,11
03,Capital,001,0006 ,0175,341,0,0,23,7,1,6,125,54,1,4
03,Capital,001,0006 ,0176,342,0,3,15,7,1,6,114,72,3,3
03,Capital,001,0006 ,0177,341,24,3,20,7,1,9,124,59,0,6
03,Capital,001,0006 ,0178,341,4,1,17,7,0,6,132,73,3,6
03,Capital,001,0006 ,0179,342,34,4,30,6,3,7,118,57,3,4
03,Capital,001,0006 ,0180,339,0,32,19,4,4,7,126,57,1,4
03,Capital,001,0007 ,0181,345,1,2,15,4,1,15,138,54,3,4
03,Capital,001,0007 ,0182,346,29,5,19,3,2,9,111,73,3,12
03,Capital,001,0007 ,0183,344,1,5,16,5,1,8,152,34,5,6
03,Capital,001,0007 ,0184,345,12,0,15,3,0,0,131,59,2,0
03,Capital,001,0007 ,0185,347,0,0,20,3,0,12,144,50,5,7
03,Capital,001,0007 ,0186,347,0,0,34,6,1,18,105,49,7,6
03,Capital,001,0007 ,0187,345,2,0,19,11,0,11,131,60,3,4
03,Capital,001,0007 ,0188,343,22,3,10,3,1,9,152,43,5,4
03,Capital,001,0007 ,0189,344,0,1,16,4,0,9,129,56,3,2
03,Capital,001,0007 ,0190,347,0,0,0,0,0,0,0,0,0,0
03,Capital,001,0007 ,0191,345,2,7,18,1,4,5,136,50,1,4
03,Capital,001,0007 ,0192,344,2,1,21,8,3,3,114,75,4,5
03,Capital,001,0007 ,0193,345,29,2,16,1,1,15,119,61,4,2
03,Capital,001,0007 ,0194,345,30,0,19,7,3,8,84,82,11,13
03,Capital,001,0007 ,0195,344,27,2,24,5,1,11,128,51,4,4
03,Capital,001,0007 ,0196,345,25,0,14,3,0,9,150,52,2,8
03,Capital,001,0007 ,0197,344,0,2,13,7,3,9,137,47,4,8
03,Capital,001,0007 ,0198,344,0,0,0,0,0,0,0,0,0,0
03,Capital,001,0007 ,0199,345,0,0,14,2,0,4,133,61,3,15
03,Capital,001,0007 ,0200,345,0,0,0,0,0,0,0,0,0,0
03,Capital,001,0007 ,0201,345,1,2,14,9,2,5,144,46,1,10
03,Capital,001,0007 ,0202,347,14,5,9,3,2,9,144,59,2,7
03,Capital,001,0007 ,0203,345,23,3,14,7,0,10,148,53,3,3
03,Capital,001,0007 ,0204,344,28,6,17,3,1,15,105,66,1,4
03,Capital,001,0007 ,0205,344,1,4,11,8,3,9,126,71,2,6
03,Capital,001,0007 ,0206,342,0,0,0,0,0,0,0,0,0,0
03,Capital,001,0007 ,0207,344,5,3,14,8,4,11,141,36,1,9
03,Capital,001,0007 ,0208,343,25,2,19,7,2,10,105,51,11,1
03,Capital,001,0007 ,0209,345,28,0,13,11,5,10,123,59,3,8
03,Capital,001,0007 ,0210,345,0,0,0,0,0,0,0,0,0,0
03,Capital,001,0007 ,0211,343,3,2,14,8,1,13,124,60,4,5
03,Capital,001,0007 ,0212,343,13,1,21,6,1,9,119,67,6,10
03,Capital,001,0007 ,0213,343,0,0,10,5,2,6,125,61,3,8
03,Capital,001,0007 ,0214,344,32,6,31,7,1,7,107,50,10,11
03,Capital,001,0007 ,0215,343,33,4,17,6,1,7,115,60,3,0
03,Capital,001,0007 ,0216,343,3,5,0,4,0,9,113,66,2,8
03,Capital,001,0007 ,0217,346,26,0,20,4,0,8,154,50,5,0
03,Capital,001,0007 ,0218,344,30,1,16,7,3,14,132,41,6,4
03,Capital,001,0007 ,0219,343,1,1,14,4,2,6,138,61,5,7
03,Capital,001,0007 ,0220,344,3,6,14,4,1,6,129,57,2,4
03,Capital,001,0007 ,0221,345,0,0,21,5,3,4,122,61,4,7
03,Capital,001,0007 ,0222,343,21,5,6,2,3,7,161,52,2,0
03,Capital,001,0007 ,0223,344,3,4,16,3,0,9,98,77,0,10
03,Capital,001,0007 ,0224,346,1,2,19,5,1,2,134,52,4,4
03,Capital,001,0007 ,0225,343,2,1,20,11,1,10,131,46,5,9
03,Capital,001,0007 ,0226,342,4,2,12,7,3,10,126,60,6,5
03,Capital,001,0007 ,0227,347,23,0,18,5,1,9,124,52,2,9
03,Capital,001,0007 ,0228,344,22,11,27,5,0,7,124,49,3,8
03,Capital,001,0007 ,0229,343,0,0,17,5,3,18,122,63,7,8
03,Capital,001,0007 ,0230,342,6,7,16,5,2,12,124,57,4,8
03,Capital,001,0007 ,0231,344,32,8,18,2,1,11,123,63,3,9
03,Capital,001,0007 ,0232,344,35,1,28,9,1,11,116,50,1,8
03,Capital,001,0007 ,0233,341,24,3,19,8,0,8,121,46,3,8
03,Capital,001,0007 ,0234,343,17,0,16,9,0,10,108,58,5,4
03,Capital,001,0007 ,0235,342,22,16,11,2,0,13,124,55,6,5
03,Capital,001,0007 ,0236,344,54,6,0,2,2,11,160,48,0,1
03,Capital,001,0007 ,0237,343,4,2,21,3,1,13,115,54,6,4
03,Capital,001,0007 ,0238,345,20,1,9,2,3,7,134,62,5,5
03,Capital,001,0007 ,0239,342,24,2,14,3,2,8,140,48,1,2
03,Capital,001,0007 ,0240,343,27,2,13,4,3,8,134,56,1,6
03,Capital,001,0007 ,0241,345,1,5,13,11,0,7,124,66,3,1
03,Capital,001,0007 ,0242,344,2,4,18,12,1,6,140,47,1,6
03,Capital,001,0007 ,0243,343,28,5,28,7,2,10,110,58,3,6
03,Capital,001,0007 ,0244,343,14,0,15,2,0,13,121,57,10,11
03,Capital,001,0007 ,0245,344,4,5,23,9,0,7,128,57,1,3
03,Capital,001,0007 ,0246,344,0,0,12,0,1,4,139,60,2,5
03,Capital,001,0007 ,0247,344,40,0,16,6,2,8,142,49,4,1
03,Capital,001,0007 ,0248,343,27,6,13,5,1,10,142,45,1,4
03,Capital,001,0007 ,0249,344,0,8,11,3,1,10,126,60,1,6
03,Capital,001,0007 ,0250,344,0,0,0,0,0,0,0,0,0,0
03,Capital,001,0007 ,0251,344,25,0,14,5,2,4,152,49,4,13
03,Capital,001,0007 ,0252,342,2,6,15,1,1,8,158,51,7,1
03,Capital,001,0007 ,0253,344,3,5,17,12,1,4,133,50,5,6
03,Capital,001,0007 ,0254,345,2,4,13,8,0,9,123,64,2,9
03,Capital,001,0007 ,0255,345,2,5,15,5,0,9,119,60,3,15
03,Capital,001,0007 ,0256,343,20,5,14,4,3,7,128,68,4,5
03,Capital,001,0007 ,0257,344,4,2,12,10,3,8,123,58,2,9
03,Capital,001,0007 ,0258,346,14,5,15,6,1,16,114,58,5,15
03,Capital,001,0007 ,0259,344,21,2,12,6,3,6,128,44,4,8
03,Capital,001,0007 ,0260,344,2,6,9,3,1,0,133,67,1,4
03,Capital,001,0007 ,0261,342,30,0,14,5,1,11,129,61,1,4
03,Capital,001,0007 ,0262,345,0,0,16,4,3,4,144,68,5,3
03,Capital,001,0007 ,0263,343,0,0,21,0,0,0,99,59,5,6
03,Capital,001,0007 ,0264,343,31,0,12,0,0,12,115,57,1,6
03,Capital,001,0007 ,0265,346,25,7,10,5,3,12,133,45,4,8
03,Capital,001,0007 ,0266,344,2,2,22,8,0,6,130,56,3,0
03,Capital,001,0007 ,0267,343,0,0,0,4,0,7,125,63,3,3
03,Capital,001,0007 ,0268,341,26,4,11,5,2,7,112,60,5,8
03,Capital,001,0007 ,0269,347,0,0,23,9,5,10,114,67,3,5
03,Capital,001,0007 ,0270,344,29,1,11,7,0,17,125,44,2,12
03,Capital,001,0007 ,0271,344,26,2,23,9,5,10,114,67,3,5
03,Capital,001,0008 ,0272,339,34,3,7,5,3,8,137,55,2,4
03,Capital,001,0008 ,0273,341,3,4,21,9,0,6,132,58,0,6
03,Capital,001,0008 ,0274,343,23,5,22,4,0,11,132,53,4,11
03,Capital,001,0008 ,0275,340,0,0,10,9,2,0,127,66,0,4
03,Capital,001,0008 ,0276,341,26,5,4,2,0,11,142,51,4,3
03,Capital,001,0008 ,0277,339,33,0,18,4,2,4,131,58,5,8
03,Capital,001,0008 ,0278,341,0,0,9,4,0,7,123,48,0,6
03,Capital,001,0008 ,0279,343,5,5,0,4,1,11,147,56,0,0
03,Capital,001,0008 ,0280,340,4,8,19,2,5,7,148,52,3,11
03,Capital,001,0008 ,0281,341,2,7,8,1,0,4,156,52,2,7
03,Capital,001,0008 ,0282,339,0,0,7,0,0,8,127,46,3,0
03,Capital,001,0008 ,0283,338,4,5,14,5,0,8,116,59,3,9
03,Capital,001,0008 ,0284,340,0,0,6,2,0,4,144,44,2,3
03,Capital,001,0008 ,0285,341,27,2,4,4,1,8,135,49,1,12
03,Capital,001,0008 ,0286,341,0,0,4,6,0,5,129,61,6,4
03,Capital,001,0008 ,0287,339,27,7,13,6,3,7,144,49,3,14
03,Capital,001,0008 ,0288,341,3,2,11,8,0,7,150,68,0,4
03,Capital,001,0008 ,0289,343,23,6,18,5,1,5,135,55,3,7
03,Capital,001,0008 ,0290,338,10,0,7,7,1,4,133,54,3,9
03,Capital,001,0008 ,0291,340,0,0,12,5,1,5,120,55,2,5
03,Capital,001,0008 ,0292,340,4,6,15,6,0,8,118,50,5,9
03,Capital,001,0008 ,0293,339,22,0,15,8,1,10,120,65,2,11
03,Capital,001,0008 ,0294,340,29,5,11,4,2,8,127,51,6,2
03,Capital,001,0008 ,0295,341,8,6,9,6,1,8,133,53,3,2
03,Capital,001,0008 ,0296,341,24,3,10,5,1,7,117,77,5,6
03,Capital,001,0008 ,0297,341,40,0,0,5,0,10,123,55,5,9
03,Capital,001,0008 ,0298,339,3,1,21,4,1,6,133,65,1,9
03,Capital,001,0008 ,0299,340,4,4,17,6,1,11,131,49,1,4
03,Capital,001,0008 ,0300,340,2,0,10,6,0,4,159,52,5,7
03,Capital,001,0008 ,0301,341,4,5,10,5,1,9,132,49,2,4
