codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0014,0038,0501,0508,0509
03,Capital,001,0001 ,0001,311,4,2,6,8,68,86,50
03,Capital,001,0001 ,0002,311,1,2,4,5,61,101,46
03,Capital,001,0001 ,0003,311,4,2,12,1,41,117,37
03,Capital,001,0001 ,0004,312,0,3,9,2,65,98,43
03,Capital,001,0001 ,0005,311,3,6,9,4,58,97,51
03,Capital,001,0001 ,0006,311,1,3,3,5,68,106,43
03,Capital,001,0001 ,0007,311,0,2,10,7,56,112,38
03,Capital,001,0001 ,0008,310,3,0,7,5,55,99,47
03,Capital,001,0001 ,0009,310,4,1,11,2,65,91,50
03,Capital,001,0002 ,0010,336,2,4,6,4,69,109,75
03,Capital,001,0002 ,0011,336,1,1,3,4,76,97,72
03,Capital,001,0002 ,0012,335,5,3,11,0,55,94,73
03,Capital,001,0002 ,0013,336,4,3,8,3,60,119,56
03,Capital,001,0002 ,0014,336,6,6,6,6,67,92,61
03,Capital,001,0002 ,0015,336,5,1,5,5,69,88,71
03,Capital,001,0002 ,0016,336,6,6,8,3,53,103,63
03,Capital,001,0002 ,0017,336,5,4,11,2,61,99,66
03,Capital,001,0002 ,0018,336,1,4,9,5,70,85,59
03,Capital,001,0002 ,0019,336,2,0,5,5,60,107,73
03,Capital,001,0002 ,0020,336,5,5,5,3,61,114,66
03,Capital,001,0002 ,0021,336,1,0,5,5,88,98,49
03,Capital,001,0002 ,0022,336,0,3,11,2,69,111,53
03,Capital,001,0002 ,0023,336,5,8,12,0,63,92,63
03,Capital,001,0002 ,0024,336,3,1,14,3,72,87,67
03,Capital,001,0002 ,0025,336,1,2,10,3,72,98,71
03,Capital,001,0002 ,0026,335,3,6,5,5,76,87,71
03,Capital,001,0002 ,0027,336,1,3,7,2,81,99,57
03,Capital,001,0002 ,0028,334,2,6,6,5,68,101,58
03,Capital,001,0002 ,0029,335,3,2,6,2,85,82,69
03,Capital,001,0002 ,0030,335,2,3,7,1,48,100,85
03,Capital,001,0002 ,0031,335,2,3,2,5,59,105,72
03,Capital,001,0002 ,0032,335,2,1,7,1,61,86,84
03,Capital,001,0002 ,0033,335,5,0,6,3,56,95,85
03,Capital,001,0002 ,0034,335,3,3,9,3,58,97,72
03,Capital,001,0003 ,0035,343,3,3,7,6,73,101,57
03,Capital,001,0003 ,0036,343,4,5,5,3,74,103,57
03,Capital,001,0003 ,0037,343,3,4,7,0,65,110,63
03,Capital,001,0003 ,0038,343,5,6,11,3,59,119,60
03,Capital,001,0003 ,0039,343,0,7,7,1,109,94,44
03,Capital,001,0003 ,0040,343,2,4,5,4,76,108,59
03,Capital,001,0003 ,0041,343,4,2,9,2,68,107,67
03,Capital,001,0003 ,0042,343,1,2,8,3,96,92,52
03,Capital,001,0003 ,0043,343,0,4,4,4,86,97,64
03,Capital,001,0003 ,0044,343,7,2,5,4,83,109,48
03,Capital,001,0003 ,0045,343,3,1,8,2,71,98,73
03,Capital,001,0003 ,0046,343,1,5,6,1,56,107,53
03,Capital,001,0003 ,0047,343,2,8,10,3,84,115,36
03,Capital,001,0003 ,0048,343,6,9,7,4,89,96,48
03,Capital,001,0003 ,0049,343,3,3,5,6,72,116,57
03,Capital,001,0003 ,0050,343,4,4,7,6,80,94,48
03,Capital,001,0003 ,0051,343,6,8,6,0,71,107,47
03,Capital,001,0003 ,0052,342,1,6,6,3,63,116,58
03,Capital,001,0003 ,0053,343,2,4,7,5,105,82,52
03,Capital,001,0003 ,0054,343,2,2,6,1,79,101,54
03,Capital,001,0003 ,0055,343,2,6,11,3,70,108,55
03,Capital,001,0003 ,0056,343,3,7,11,3,77,92,65
03,Capital,001,0003 ,0057,343,2,9,7,4,75,96,57
03,Capital,001,0003 ,0058,343,3,4,9,2,75,93,54
03,Capital,001,0003 ,0059,343,3,4,10,3,85,114,46
03,Capital,001,0003 ,0060,343,1,7,7,3,76,91,68
03,Capital,001,0003 ,0061,343,3,2,6,3,71,92,72
03,Capital,001,0003 ,0062,343,5,7,19,1,80,84,49
03,Capital,001,0003 ,0063,343,3,2,8,2,65,110,61
03,Capital,001,0003 ,0064,343,7,7,9,3,72,104,52
03,Capital,001,0003 ,0065,343,4,11,11,4,67,100,66
03,Capital,001,0003 ,0066,343,3,6,10,2,73,91,68
03,Capital,001,0003 ,0067,343,0,2,3,1,76,102,58
03,Capital,001,0003 ,0068,343,1,2,14,3,78,108,59
03,Capital,001,0003 ,0069,343,6,5,9,2,70,107,54
03,Capital,001,0003 ,0070,343,4,5,7,4,63,99,59
03,Capital,001,0003 ,0071,343,1,12,10,4,75,102,53
03,Capital,001,0003 ,0072,343,2,6,10,3,70,109,51
03,Capital,001,0003 ,0073,343,5,9,2,2,71,127,34
03,Capital,001,0003 ,0074,343,2,5,7,3,80,106,54
03,Capital,001,0003 ,0075,343,3,7,11,5,75,105,56
03,Capital,001,0003 ,0076,342,1,0,8,1,87,104,51
03,Capital,001,0003 ,0077,342,5,8,12,2,73,104,50
03,Capital,001,0003 ,0078,342,0,5,8,4,82,98,53
03,Capital,001,0003 ,0079,342,4,6,5,1,77,118,46
03,Capital,001,0003 ,0080,342,7,4,9,4,70,98,60
03,Capital,001,0003 ,0081,342,1,6,9,2,88,91,66
03,Capital,001,0003 ,0082,342,3,13,6,1,75,105,48
03,Capital,001,0003 ,0083,342,4,8,7,7,76,97,41
03,Capital,001,0003 ,0084,342,4,5,6,6,79,106,57
03,Capital,001,0003 ,0085,342,0,3,14,2,81,92,66
03,Capital,001,0003 ,0086,342,4,6,8,2,70,120,49
03,Capital,001,0003 ,0087,342,6,2,10,5,84,111,33
03,Capital,001,0003 ,0088,342,3,9,5,5,58,100,62
03,Capital,001,0003 ,0089,342,3,4,11,3,76,85,60
03,Capital,001,0003 ,0090,342,1,6,14,2,85,105,47
03,Capital,001,0003 ,0091,342,3,4,5,5,73,104,65
03,Capital,001,0003 ,0092,342,1,5,5,0,83,94,63
03,Capital,001,0003 ,0093,342,2,7,9,2,79,85,69
03,Capital,001,0003 ,0094,342,4,6,12,3,70,91,62
03,Capital,001,0003 ,0095,342,5,10,5,6,67,97,48
03,Capital,001,0003 ,0096,341,7,5,10,1,69,112,54
03,Capital,001,0003 ,0097,342,1,4,7,0,119,81,45
03,Capital,001,0003 ,0098,342,8,5,9,3,84,80,59
03,Capital,001,0003 ,0099,342,1,5,3,3,84,110,52
03,Capital,001,0003 ,0100,342,6,1,8,3,86,106,65
03,Capital,001,0003 ,0101,342,5,7,5,4,91,90,48
03,Capital,001,0003 ,0102,342,1,3,7,3,90,92,52
03,Capital,001,0003 ,0103,342,2,1,7,3,84,106,58
03,Capital,001,0003 ,0104,342,1,3,6,2,82,94,63
03,Capital,001,0003 ,0105,342,3,5,8,4,77,86,72
03,Capital,001,0003 ,0106,342,1,5,10,6,88,117,44
03,Capital,001,0003 ,0107,342,3,4,5,5,69,112,61
03,Capital,001,0003 ,0108,342,6,3,7,3,92,86,61
03,Capital,001,0003 ,0109,342,3,5,5,2,87,105,62
03,Capital,001,0003 ,0110,342,4,7,12,1,82,97,50
03,Capital,001,0003 ,0111,342,2,2,10,4,67,105,50
03,Capital,001,0003 ,0112,342,4,3,6,4,80,97,60
03,Capital,001,0003 ,0113,342,4,4,2,1,63,134,66
03,Capital,001,0003 ,0114,342,1,3,4,1,80,82,75
03,Capital,001,0003 ,0115,342,4,5,14,5,83,91,43
03,Capital,001,0003 ,0116,342,5,4,6,2,86,98,64
03,Capital,001,0003 ,0117,342,4,7,5,5,68,123,47
03,Capital,001,0003 ,0118,342,5,3,6,0,66,84,68
03,Capital,001,0003 ,0119,342,2,2,9,3,81,111,40
03,Capital,001,0003 ,0120,342,3,10,6,2,85,98,53
03,Capital,001,0003 ,0121,342,5,3,13,9,76,79,64
03,Capital,001,0003 ,0122,342,0,5,6,0,87,89,60
03,Capital,001,0003 ,0123,342,6,2,8,4,77,89,58
03,Capital,001,0003 ,0124,342,1,5,7,1,49,110,60
03,Capital,001,0003 ,0125,342,1,6,7,5,56,110,49
03,Capital,001,0003 ,0126,341,2,5,10,3,95,85,63
03,Capital,001,0004 ,0127,341,4,2,9,8,68,124,39
03,Capital,001,0004 ,0128,341,2,2,5,3,68,96,53
03,Capital,001,0004 ,0129,341,5,8,14,2,64,108,53
03,Capital,001,0004 ,0130,341,2,6,3,5,57,124,54
03,Capital,001,0004 ,0131,341,3,3,2,8,56,116,54
03,Capital,001,0004 ,0132,340,4,3,17,3,69,114,54
03,Capital,001,0004 ,0133,341,3,1,9,4,45,106,68
03,Capital,001,0004 ,0134,341,1,4,7,11,60,111,61
03,Capital,001,0004 ,0135,341,2,6,14,2,69,112,50
03,Capital,001,0004 ,0136,341,2,1,7,6,72,112,52
03,Capital,001,0004 ,0137,340,4,4,5,4,71,111,58
03,Capital,001,0004 ,0138,340,2,4,14,4,67,104,40
03,Capital,001,0004 ,0139,340,3,1,13,7,75,104,49
03,Capital,001,0004 ,0140,340,2,7,7,4,63,119,39
03,Capital,001,0004 ,0141,340,1,6,8,4,66,96,66
03,Capital,001,0004 ,0142,340,3,0,6,0,65,105,48
