codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0038,0131,0161,0521,0524,0528
03,Capital,001,0001 ,0001,336,62,0,0,78,4,4,79,18
03,Capital,001,0001 ,0002,336,22,1,0,58,3,2,100,15
03,Capital,001,0001 ,0003,336,0,0,0,0,0,0,0,0
03,Capital,001,0001 ,0004,336,0,0,0,0,0,0,0,0
03,Capital,001,0001 ,0005,336,0,0,0,62,0,0,0,0
03,Capital,001,0001 ,0006,336,58,0,0,65,7,3,89,14
03,Capital,001,0001 ,0007,336,0,0,28,0,2,0,61,0
03,Capital,001,0001 ,0008,335,3,4,0,0,0,3,92,9
03,Capital,001,0002 ,0009,344,68,0,0,87,5,3,68,27
03,Capital,001,0002 ,0010,343,0,4,0,106,1,2,73,25
03,Capital,001,0002 ,0011,344,73,0,0,91,0,56,21,1
03,Capital,001,0002 ,0012,345,47,2,0,76,2,0,82,0
03,Capital,001,0002 ,0013,344,2,7,0,78,0,1,71,32
03,Capital,001,0002 ,0014,342,36,0,0,115,2,3,69,13
03,Capital,001,0002 ,0015,344,0,0,0,80,0,0,0,0
03,Capital,001,0002 ,0016,344,0,0,1,85,3,7,91,19
03,Capital,001,0002 ,0017,343,0,0,0,93,0,2,87,0
03,Capital,001,0002 ,0018,344,0,0,0,92,5,3,82,23
03,Capital,001,0002 ,0019,344,0,0,2,82,1,2,83,0
03,Capital,001,0002 ,0020,344,48,2,3,102,2,2,74,19
03,Capital,001,0002 ,0021,344,0,0,0,96,3,1,85,16
03,Capital,001,0002 ,0022,344,0,0,0,0,0,0,0,0
03,Capital,001,0002 ,0023,344,0,0,2,6,3,17,67,17
03,Capital,001,0002 ,0024,344,2,2,1,81,5,3,39,0
03,Capital,001,0002 ,0025,343,0,0,0,86,5,1,79,35
03,Capital,001,0002 ,0026,344,0,0,1,94,3,1,89,26
03,Capital,001,0002 ,0027,344,0,6,0,94,0,0,96,12
03,Capital,001,0002 ,0028,344,2,0,0,109,1,0,75,19
03,Capital,001,0002 ,0029,344,0,0,0,92,0,0,78,20
03,Capital,001,0002 ,0030,344,0,0,0,88,4,0,79,0
03,Capital,001,0002 ,0031,343,0,0,0,84,3,0,58,28
03,Capital,001,0002 ,0032,344,0,0,16,110,2,0,48,25
03,Capital,001,0002 ,0033,343,2,1,2,74,4,2,82,25
03,Capital,001,0003 ,0034,345,0,0,0,83,0,0,0,24
03,Capital,001,0003 ,0035,345,0,0,0,101,2,0,87,0
03,Capital,001,0003 ,0036,345,0,0,2,0,0,0,79,24
03,Capital,001,0003 ,0037,345,0,0,0,90,3,0,66,0
03,Capital,001,0003 ,0038,345,0,0,0,11,0,2,61,17
03,Capital,001,0003 ,0039,345,0,0,0,124,0,0,0,0
03,Capital,001,0003 ,0040,345,0,0,2,94,4,2,18,17
03,Capital,001,0003 ,0041,345,0,0,0,0,0,0,0,0
03,Capital,001,0003 ,0042,346,0,7,0,115,4,1,53,19
03,Capital,001,0003 ,0043,346,0,0,0,116,2,0,82,18
03,Capital,001,0003 ,0044,345,0,1,0,97,0,0,69,13
03,Capital,001,0003 ,0045,345,138,6,2,98,1,0,0,0
03,Capital,001,0003 ,0046,344,37,2,2,107,0,1,85,20
03,Capital,001,0003 ,0047,345,65,8,4,81,5,3,85,14
03,Capital,001,0003 ,0048,345,0,0,0,103,2,0,70,17
03,Capital,001,0003 ,0049,346,0,0,0,0,0,0,0,0
03,Capital,001,0003 ,0050,345,1,0,0,102,0,2,70,0
03,Capital,001,0003 ,0051,345,0,0,1,80,0,0,75,17
03,Capital,001,0003 ,0052,345,5,38,0,86,0,5,92,17
03,Capital,001,0003 ,0053,344,0,0,0,0,0,0,0,0
03,Capital,001,0003 ,0054,344,0,0,0,105,1,2,62,30
03,Capital,001,0003 ,0055,344,0,0,0,0,0,0,0,0
03,Capital,001,0003 ,0056,344,55,0,1,96,4,0,63,15
03,Capital,001,0003 ,0057,344,3,14,0,116,0,1,72,23
03,Capital,001,0003 ,0058,344,49,3,1,104,2,3,63,17
03,Capital,001,0003 ,0059,344,54,0,2,103,5,1,67,18
