codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0033,0194,0215,0216,0542,0544,0547
03,Capital,001,0001 ,0001,343,15,3,0,9,2,6,107,10,71
03,Capital,001,0001 ,0002,343,10,1,1,14,2,1,124,6,50
03,Capital,001,0001 ,0003,343,0,0,0,0,0,0,0,0,0
03,Capital,001,0001 ,0004,342,13,5,3,13,0,3,123,12,69
03,Capital,001,0001 ,0005,342,19,0,1,9,0,2,99,11,63
03,Capital,001,0001 ,0006,340,13,2,3,10,3,4,110,14,63
03,Capital,001,0001 ,0007,342,0,0,0,0,0,0,0,0,0
03,Capital,001,0002 ,0008,334,17,5,2,7,3,1,89,8,102
03,Capital,001,0002 ,0009,335,13,3,6,9,1,8,78,9,81
03,Capital,001,0002 ,0010,335,3,2,3,12,3,0,78,13,104
03,Capital,001,0002 ,0011,335,11,4,3,7,2,0,82,8,95
03,Capital,001,0002 ,0012,335,9,7,1,16,2,4,94,8,78
03,Capital,001,0002 ,0013,336,19,9,2,7,1,4,73,12,99
03,Capital,001,0002 ,0014,333,15,3,1,6,2,2,80,10,101
03,Capital,001,0002 ,0015,334,14,0,1,12,3,3,82,11,85
03,Capital,001,0002 ,0016,334,7,6,2,15,1,1,90,5,71
03,Capital,001,0002 ,0017,334,12,6,1,12,1,4,95,11,61
03,Capital,001,0002 ,0018,334,0,0,4,6,6,4,95,7,84
03,Capital,001,0002 ,0019,334,17,3,4,12,4,2,91,7,75
03,Capital,001,0002 ,0020,334,0,0,1,12,0,2,84,8,100
03,Capital,001,0002 ,0021,335,2,4,1,9,0,1,98,7,85
03,Capital,001,0002 ,0022,333,15,5,1,15,3,4,89,9,83
03,Capital,001,0002 ,0023,334,11,2,2,12,3,3,90,6,100
03,Capital,001,0002 ,0024,334,7,3,1,6,5,4,90,9,64
03,Capital,001,0002 ,0025,334,8,3,0,9,2,5,81,7,101
03,Capital,001,0002 ,0026,333,4,2,3,9,2,4,79,7,101
03,Capital,001,0002 ,0027,334,11,4,2,14,0,3,98,5,92
03,Capital,001,0002 ,0028,336,3,5,0,13,2,2,82,12,89
03,Capital,001,0002 ,0029,334,8,1,0,10,3,3,77,8,105
03,Capital,001,0002 ,0030,334,8,5,2,12,3,1,95,3,91
03,Capital,001,0002 ,0031,334,29,1,0,7,2,5,77,7,85
03,Capital,001,0002 ,0032,334,13,5,2,10,1,3,93,12,77
03,Capital,001,0002 ,0033,334,19,6,1,11,1,2,69,10,97
03,Capital,001,0002 ,0034,334,4,5,4,15,2,2,94,6,81
03,Capital,001,0003 ,0035,343,7,11,0,10,7,2,76,5,101
03,Capital,001,0003 ,0036,343,0,0,0,0,0,0,0,0,0
03,Capital,001,0003 ,0037,343,14,2,1,11,1,3,80,4,103
03,Capital,001,0003 ,0038,343,11,8,2,11,6,3,72,7,90
03,Capital,001,0003 ,0039,343,4,2,5,14,4,3,68,8,118
03,Capital,001,0003 ,0040,343,17,7,1,7,6,4,64,6,129
03,Capital,001,0003 ,0041,344,0,0,0,0,0,0,0,0,0
03,Capital,001,0003 ,0042,343,16,2,2,11,4,3,75,6,106
03,Capital,001,0003 ,0043,343,4,0,5,8,3,1,67,7,115
03,Capital,001,0003 ,0044,343,5,1,5,14,1,4,71,15,121
03,Capital,001,0003 ,0045,343,18,3,0,5,5,1,64,6,122
03,Capital,001,0003 ,0046,344,5,2,2,8,3,7,83,7,105
03,Capital,001,0003 ,0047,343,14,2,1,16,5,2,76,6,99
03,Capital,001,0003 ,0048,343,2,6,1,6,2,0,65,15,113
03,Capital,001,0003 ,0049,343,7,5,3,9,0,2,70,17,0
03,Capital,001,0003 ,0050,343,7,5,4,8,5,4,69,7,108
03,Capital,001,0003 ,0051,343,8,3,1,3,5,2,94,6,101
03,Capital,001,0003 ,0052,345,10,3,1,10,3,2,63,7,121
03,Capital,001,0003 ,0053,344,0,0,0,0,0,0,0,0,0
03,Capital,001,0003 ,0054,343,0,0,0,0,0,0,0,0,0
03,Capital,001,0003 ,0055,343,3,9,2,11,2,4,77,4,111
03,Capital,001,0003 ,0056,343,9,3,2,12,7,3,80,11,101
03,Capital,001,0003 ,0057,343,0,0,0,5,3,4,56,11,0
03,Capital,001,0003 ,0058,343,7,3,1,4,3,2,73,9,116
03,Capital,001,0003 ,0059,343,0,0,0,0,0,0,0,0,0
03,Capital,001,0003 ,0060,344,6,1,1,7,4,6,69,7,118
03,Capital,001,0003 ,0061,343,4,7,2,12,1,2,64,6,105
03,Capital,001,0003 ,0062,342,23,2,2,9,6,6,52,8,107
03,Capital,001,0003 ,0063,343,10,4,0,0,0,0,0,0,0
03,Capital,001,0003 ,0064,343,0,0,2,20,0,4,78,6,110
03,Capital,001,0003 ,0065,343,5,7,1,1,3,4,72,7,123
03,Capital,001,0003 ,0066,342,3,3,3,6,1,6,75,4,120
03,Capital,001,0003 ,0067,343,15,4,7,12,2,4,53,2,114
03,Capital,001,0003 ,0068,342,11,0,1,10,4,5,81,10,108
03,Capital,001,0003 ,0069,342,5,2,1,10,6,3,84,4,102
03,Capital,001,0003 ,0070,342,0,0,1,18,3,11,66,7,0
03,Capital,001,0003 ,0071,342,4,4,0,13,1,5,91,9,102
03,Capital,001,0003 ,0072,342,6,2,2,12,4,5,64,8,108
03,Capital,001,0003 ,0073,342,4,3,1,9,1,0,71,5,114
03,Capital,001,0003 ,0074,342,0,0,2,13,8,4,84,10,78
03,Capital,001,0003 ,0075,342,0,0,3,9,1,1,67,11,109
03,Capital,001,0003 ,0076,342,1,4,1,11,1,1,83,11,88
03,Capital,001,0003 ,0077,342,4,5,1,12,1,2,74,4,107
03,Capital,001,0003 ,0078,342,4,10,2,13,3,2,75,13,84
03,Capital,001,0003 ,0079,342,16,8,1,17,0,1,70,5,105
03,Capital,001,0003 ,0080,342,5,4,1,12,3,4,76,7,0
03,Capital,001,0003 ,0081,342,0,0,0,0,0,0,0,0,0
03,Capital,001,0003 ,0082,342,13,8,3,8,2,5,89,6,98
03,Capital,001,0003 ,0083,342,0,0,3,10,5,6,75,5,91
03,Capital,001,0003 ,0084,341,3,3,3,8,3,1,57,7,127
03,Capital,001,0003 ,0085,342,2,5,2,3,4,0,72,9,118
03,Capital,001,0003 ,0086,342,7,8,4,5,3,0,71,10,87
03,Capital,001,0003 ,0087,342,6,5,2,3,5,3,83,5,102
03,Capital,001,0003 ,0088,342,15,2,1,3,1,3,81,7,2
03,Capital,001,0003 ,0089,342,0,0,0,0,0,0,0,0,0
03,Capital,001,0003 ,0090,342,0,6,1,13,1,6,65,7,122
03,Capital,001,0003 ,0091,342,0,0,4,6,4,4,55,7,122
03,Capital,001,0003 ,0092,342,0,0,0,0,0,0,0,0,0
03,Capital,001,0003 ,0093,343,3,4,3,9,4,6,67,13,0
03,Capital,001,0003 ,0094,342,0,0,0,0,0,0,0,0,0
03,Capital,001,0003 ,0095,342,0,0,0,0,0,0,0,0,0
03,Capital,001,0003 ,0096,343,16,0,1,10,5,1,68,5,123
03,Capital,001,0003 ,0097,342,6,1,2,19,3,3,69,8,91
03,Capital,001,0003 ,0098,342,7,3,3,9,7,4,77,6,95
03,Capital,001,0003 ,0099,342,3,6,1,7,5,3,66,9,95
03,Capital,001,0003 ,0100,342,2,3,5,11,3,3,73,6,101
03,Capital,001,0003 ,0101,342,23,3,1,11,6,1,75,12,114
03,Capital,001,0003 ,0102,343,0,0,2,9,4,2,62,4,0
03,Capital,001,0003 ,0103,342,5,0,1,16,3,1,63,3,122
03,Capital,001,0003 ,0104,342,10,3,0,3,6,3,71,4,124
03,Capital,001,0003 ,0105,342,8,11,2,7,5,5,79,13,93
03,Capital,001,0003 ,0106,343,0,0,1,13,3,1,71,5,0
03,Capital,001,0003 ,0107,342,12,7,3,10,2,2,71,11,91
03,Capital,001,0003 ,0108,342,19,5,3,9,5,7,65,11,99
