codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00001,00008,00005,00052,00054,00009,00061,00060
03,001,CAPITAL,01260,044626,0,0,4,14,6,87,0,0,81,0,0
03,001,CAPITAL,01260,044627,0,0,0,20,4,58,1,2,89,0,1
03,001,CAPITAL,01260,044628,0,0,0,14,5,84,0,1,92,0,0
03,001,CAPITAL,01260,044629,0,0,36,15,6,85,1,0,89,1,0
03,001,CAPITAL,01260,044630,0,0,41,10,0,86,1,0,77,0,0
03,001,CAPITAL,01260,044631,0,0,39,16,9,74,2,0,85,1,0
03,001,CAPITAL,01260,044632,0,0,20,20,7,91,1,1,81,0,0
03,001,CAPITAL,01261,044633,0,0,180,7,5,0,2,1,64,0,0
03,001,CAPITAL,01261,044634,0,0,36,15,8,117,0,0,64,0,0
03,001,CAPITAL,01261,044635,0,0,32,23,9,106,2,0,67,1,0
03,001,CAPITAL,01261,044636,0,0,35,26,3,112,4,0,54,1,2
03,001,CAPITAL,01261,044637,0,0,43,13,14,0,1,0,75,0,0
03,001,CAPITAL,01261,044638,0,0,1,11,2,130,0,1,57,1,0
03,001,CAPITAL,01261,044639,0,0,0,0,0,0,0,0,0,0,0
03,001,CAPITAL,01261,044640,0,0,30,0,0,0,4,2,53,1,0
03,001,CAPITAL,01261,044641,0,0,0,21,9,104,3,0,68,1,0
03,001,CAPITAL,01261,044642,0,0,32,20,6,107,1,2,77,0,0
03,001,CAPITAL,01261,044643,0,0,0,14,10,118,1,1,54,0,1
03,001,CAPITAL,01261,044644,0,0,0,0,0,0,0,0,0,0,0
03,001,CAPITAL,01261,044645,0,0,25,7,6,129,3,0,55,2,0
03,001,CAPITAL,01261,044646,0,0,2,0,6,128,1,0,50,0,0
03,001,CAPITAL,01261,044647,0,0,40,21,0,116,0,1,67,2,0
03,001,CAPITAL,01261,044648,0,0,36,13,7,115,2,2,66,0,0
03,001,CAPITAL,01261,044649,0,0,36,23,5,113,0,0,55,1,0
03,001,CAPITAL,01261,044650,0,0,23,19,3,132,0,0,43,2,1
03,001,CAPITAL,01261,044651,0,0,30,13,6,138,1,1,54,0,1
03,001,CAPITAL,01261,044652,0,0,35,24,0,0,1,0,50,1,0
03,001,CAPITAL,01261,044653,0,0,1,14,1,114,0,1,51,0,0
03,001,CAPITAL,01261,044654,0,0,0,20,4,143,1,0,50,0,0
03,001,CAPITAL,01261,044655,0,0,35,24,0,101,3,0,0,0,0
03,001,CAPITAL,01261,044656,0,0,1,16,1,122,1,0,55,0,2
03,001,CAPITAL,01261,044657,0,0,0,16,6,113,0,0,56,1,0
03,001,CAPITAL,01261,044658,0,0,3,22,12,121,0,2,47,4,0
03,001,CAPITAL,01261,044659,0,0,34,18,7,111,0,0,65,0,2
03,001,CAPITAL,01262,044660,0,0,0,12,4,152,1,1,35,1,0
03,001,CAPITAL,01262,044661,0,0,3,14,6,152,3,0,35,2,0
03,001,CAPITAL,01262,044662,0,0,30,24,0,146,3,0,44,5,0
03,001,CAPITAL,01262,044663,0,0,36,15,4,129,0,0,53,0,0
03,001,CAPITAL,01262,044664,0,0,23,12,7,156,0,1,51,1,1
03,001,CAPITAL,01262,044665,0,0,4,11,8,157,0,1,43,0,0
03,001,CAPITAL,01262,044666,0,0,46,18,9,129,1,0,41,0,0
03,001,CAPITAL,01262,044667,0,0,0,19,6,147,1,0,42,0,0
03,001,CAPITAL,01262,044668,0,0,3,12,3,147,1,3,37,0,0
03,001,CAPITAL,01262,044669,0,0,27,0,0,0,0,1,0,0,0
03,001,CAPITAL,01262,044670,0,0,0,0,3,154,0,2,48,4,3
03,001,CAPITAL,01262,044671,0,0,0,16,6,127,0,2,46,3,1
03,001,CAPITAL,01262,044672,0,0,30,11,6,136,1,1,38,2,0
03,001,CAPITAL,01262,044673,0,0,0,13,5,156,0,1,40,0,0
03,001,CAPITAL,01262,044674,0,0,39,17,6,146,0,0,47,0,0
03,001,CAPITAL,01262,044675,0,0,0,12,9,125,1,2,54,2,0
03,001,CAPITAL,01262,044676,0,0,0,0,0,0,0,0,0,0,0
03,001,CAPITAL,01262,044677,0,0,24,18,3,155,0,1,28,1,1
03,001,CAPITAL,01262,044678,0,0,0,18,2,147,1,0,45,2,1
03,001,CAPITAL,01262,044679,0,0,13,14,4,135,1,1,46,1,0
03,001,CAPITAL,01262,044680,0,0,0,20,10,130,1,0,49,2,2
03,001,CAPITAL,01262,044681,0,0,0,10,6,115,0,1,44,0,0
03,001,CAPITAL,01262,044682,0,0,0,16,1,150,2,2,43,0,2
03,001,CAPITAL,01262,044683,0,0,0,9,6,151,1,1,44,1,2
03,001,CAPITAL,01262,044684,0,0,0,10,2,141,1,2,65,1,1
03,001,CAPITAL,01262,044685,0,0,6,18,0,165,1,0,34,2,0
03,001,CAPITAL,01262,044686,0,0,10,19,2,125,0,0,34,0,0
03,001,CAPITAL,01262,044687,0,0,3,16,6,146,1,1,35,0,1
03,001,CAPITAL,01262,044688,0,0,29,13,4,172,2,0,36,0,0
03,001,CAPITAL,01262,044689,0,0,0,28,6,135,2,6,56,0,0
03,001,CAPITAL,01262,044690,0,0,0,15,2,148,1,1,37,2,1
03,001,CAPITAL,01262,044691,0,0,1,13,0,152,0,4,27,0,4
03,001,CAPITAL,01262,044692,0,0,0,0,0,0,2,1,0,1,0
03,001,CAPITAL,01262,044693,0,0,0,0,0,0,0,0,0,0,0
03,001,CAPITAL,01262,044694,0,0,36,0,0,0,0,0,0,2,2
03,001,CAPITAL,01262,044695,0,0,2,6,0,158,1,1,51,0,0
03,001,CAPITAL,01262,044696,0,0,2,15,0,1,0,0,48,1,0
03,001,CAPITAL,01262,044697,0,0,0,0,0,0,0,0,0,0,0
03,001,CAPITAL,01262,044698,0,0,1,18,4,124,5,2,59,4,0
03,001,CAPITAL,01262,044699,0,0,1,4,0,129,46,0,0,0,1
03,001,CAPITAL,01262,044700,0,0,0,0,0,0,0,0,0,0,0
03,001,CAPITAL,01262,044701,0,0,0,0,0,0,0,0,0,0,0
03,001,CAPITAL,01262,044702,0,0,0,0,0,0,0,0,0,0,0
03,001,CAPITAL,01262,044703,0,0,33,15,4,122,1,2,47,2,1
03,001,CAPITAL,01262,044704,0,0,0,11,5,136,2,2,55,2,3
03,001,CAPITAL,01262,044705,0,0,33,21,0,140,0,0,42,1,0
