codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0014,0036,0501,0504,0523,0537
03,Capital,001,0001 ,0001,740,25,10,38,18,84,20,192,56
03,Capital,001,0001 ,0002,740,22,6,46,18,90,28,256,62
03,Capital,001,0001 ,0003,740,16,12,70,14,98,18,198,50
03,Capital,001,0001 ,0004,739,21,10,36,22,94,18,236,56
03,Capital,001,0002 ,0005,827,8,10,40,14,144,20,206,124
03,Capital,001,0002 ,0006,827,8,16,36,12,134,20,208,110
03,Capital,001,0002 ,0007,827,13,15,50,16,168,18,216,106
03,Capital,001,0002 ,0008,827,18,12,46,18,124,28,214,96
03,Capital,001,0002 ,0009,827,8,8,56,22,128,24,228,108
03,Capital,001,0002 ,0010,827,18,12,38,18,134,22,226,128
03,Capital,001,0002 ,0011,826,23,7,30,16,142,12,186,128
03,Capital,001,0002 ,0012,826,11,7,40,12,134,32,194,110
03,Capital,001,0002 ,0013,825,17,12,52,18,102,34,230,94
03,Capital,001,0002 ,0014,413,5,5,16,6,59,12,104,47
03,Capital,001,0003 ,0014,435,3,5,19,4,76,6,74,56
03,Capital,001,0003 ,0015,858,8,4,44,16,162,16,206,160
03,Capital,001,0003 ,0016,858,14,14,48,16,128,22,210,150
03,Capital,001,0003 ,0017,858,15,6,40,10,146,16,228,156
03,Capital,001,0003 ,0018,858,14,12,32,18,146,14,204,146
03,Capital,001,0003 ,0019,858,4,11,32,18,172,18,206,162
03,Capital,001,0003 ,0020,858,20,9,32,12,168,16,202,170
03,Capital,001,0003 ,0021,858,15,18,40,8,144,10,216,140
03,Capital,001,0003 ,0022,858,10,11,38,12,154,20,236,166
03,Capital,001,0003 ,0023,858,6,19,42,8,134,22,192,150
03,Capital,001,0003 ,0024,858,7,15,40,20,206,22,166,148
03,Capital,001,0003 ,0025,858,12,10,32,14,138,20,212,132
03,Capital,001,0003 ,0026,858,11,15,20,16,136,16,186,142
03,Capital,001,0003 ,0027,858,11,4,30,14,136,18,210,164
03,Capital,001,0003 ,0028,858,13,11,48,8,142,22,208,156
03,Capital,001,0003 ,0029,857,10,17,40,10,144,18,188,166
03,Capital,001,0003 ,0030,857,11,16,32,10,144,20,220,132
03,Capital,001,0003 ,0031,857,13,15,34,10,184,12,224,166
03,Capital,001,0003 ,0032,857,7,4,38,10,154,16,214,150
03,Capital,001,0003 ,0033,857,14,11,32,16,144,16,206,130
03,Capital,001,0003 ,0034,857,4,12,40,10,142,16,216,160
03,Capital,001,0003 ,0035,857,9,5,34,6,168,10,210,158
03,Capital,001,0003 ,0036,857,11,8,16,14,182,20,188,160
03,Capital,001,0003 ,0037,856,9,19,30,16,162,16,180,150
03,Capital,001,0003 ,0038,856,12,9,42,12,126,18,196,142
03,Capital,001,0003 ,0039,856,9,5,32,20,166,22,166,166
03,Capital,001,0003 ,0040,856,9,12,34,10,166,16,196,164
