codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0131,0524,0528
03,Capital,001,0001 ,0001,336,49,0,80,87,40
03,Capital,001,0001 ,0002,336,43,2,71,110,18
03,Capital,001,0001 ,0003,336,47,0,72,99,36
03,Capital,001,0001 ,0004,336,60,2,70,104,33
03,Capital,001,0001 ,0005,336,70,0,72,78,37
03,Capital,001,0001 ,0006,336,52,0,84,82,30
03,Capital,001,0001 ,0007,336,54,0,81,97,22
03,Capital,001,0001 ,0008,335,56,0,75,90,29
03,Capital,001,0002 ,0009,344,62,5,105,76,44
03,Capital,001,0002 ,0010,343,46,4,110,84,37
03,Capital,001,0002 ,0011,344,56,1,95,76,44
03,Capital,001,0002 ,0012,345,48,0,99,101,29
03,Capital,001,0002 ,0013,344,52,2,98,85,40
03,Capital,001,0002 ,0014,342,56,0,117,63,29
03,Capital,001,0002 ,0015,344,0,0,89,99,37
03,Capital,001,0002 ,0016,344,56,4,94,82,36
03,Capital,001,0002 ,0017,343,48,1,105,88,38
03,Capital,001,0002 ,0018,344,47,0,100,93,32
03,Capital,001,0002 ,0019,344,56,0,84,110,32
03,Capital,001,0002 ,0020,344,61,0,110,79,27
03,Capital,001,0002 ,0021,344,0,0,96,85,40
03,Capital,001,0002 ,0022,344,0,0,0,0,0
03,Capital,001,0002 ,0023,344,0,0,0,0,0
03,Capital,001,0002 ,0024,344,51,0,101,92,41
03,Capital,001,0002 ,0025,343,0,0,0,0,0
03,Capital,001,0002 ,0026,344,0,1,94,82,43
03,Capital,001,0002 ,0027,344,0,8,99,103,28
03,Capital,001,0002 ,0028,344,44,0,114,84,32
03,Capital,001,0002 ,0029,344,53,1,95,90,30
03,Capital,001,0002 ,0030,344,0,51,88,85,48
03,Capital,001,0002 ,0031,343,57,0,95,81,42
03,Capital,001,0002 ,0032,344,44,0,107,81,43
03,Capital,001,0002 ,0033,343,42,0,82,108,37
03,Capital,001,0003 ,0034,345,0,0,101,67,34
03,Capital,001,0003 ,0035,345,0,0,93,91,34
03,Capital,001,0003 ,0036,345,0,0,92,78,33
03,Capital,001,0003 ,0037,345,0,6,87,84,28
03,Capital,001,0003 ,0038,345,56,3,97,67,32
03,Capital,001,0003 ,0039,345,42,1,132,78,22
03,Capital,001,0003 ,0040,345,55,1,99,95,25
03,Capital,001,0003 ,0041,345,2,0,105,85,24
03,Capital,001,0003 ,0042,346,2,3,108,75,22
03,Capital,001,0003 ,0043,346,48,1,109,96,22
03,Capital,001,0003 ,0044,345,0,0,84,77,31
03,Capital,001,0003 ,0045,345,0,3,109,76,24
03,Capital,001,0003 ,0046,344,46,3,114,76,31
03,Capital,001,0003 ,0047,345,49,7,107,83,26
03,Capital,001,0003 ,0048,345,0,7,115,67,22
03,Capital,001,0003 ,0049,346,0,0,110,86,30
03,Capital,001,0003 ,0050,345,0,1,124,78,19
03,Capital,001,0003 ,0051,345,0,0,0,91,26
03,Capital,001,0003 ,0052,345,35,1,99,86,35
03,Capital,001,0003 ,0053,344,46,0,107,90,20
03,Capital,001,0003 ,0054,344,51,2,128,69,31
03,Capital,001,0003 ,0055,344,1,2,99,101,27
03,Capital,001,0003 ,0056,344,162,1,77,15,7
03,Capital,001,0003 ,0057,344,3,2,120,72,28
03,Capital,001,0003 ,0058,344,56,4,110,74,25
03,Capital,001,0003 ,0059,344,3,0,99,71,33
03,Capital,001,0003 ,0060,344,1,0,92,94,30
03,Capital,001,0003 ,0061,344,1,0,115,68,34
03,Capital,001,0003 ,0062,344,0,0,101,80,19
03,Capital,001,0003 ,0063,344,58,3,103,58,36
03,Capital,001,0003 ,0064,343,0,0,87,84,40
03,Capital,001,0003 ,0065,344,2,7,108,77,29
03,Capital,001,0003 ,0066,344,1,0,99,91,25
03,Capital,001,0003 ,0067,344,0,0,114,73,28
03,Capital,001,0003 ,0068,344,0,0,104,73,21
03,Capital,001,0003 ,0069,344,2,0,96,73,26
03,Capital,001,0003 ,0070,343,0,0,114,61,43
03,Capital,001,0003 ,0071,344,0,0,94,93,26
03,Capital,001,0003 ,0072,344,0,0,29,81,29
03,Capital,001,0003 ,0073,344,0,0,112,77,24
03,Capital,001,0003 ,0074,345,0,8,96,77,38
03,Capital,001,0003 ,0075,344,0,0,99,84,35
03,Capital,001,0003 ,0076,344,0,0,106,81,27
03,Capital,001,0003 ,0077,344,46,3,95,92,26
03,Capital,001,0003 ,0078,344,4,2,106,70,33
03,Capital,001,0003 ,0079,344,39,3,95,0,36
03,Capital,001,0003 ,0080,344,50,2,92,77,32
03,Capital,001,0003 ,0081,344,0,0,89,89,32
03,Capital,001,0003 ,0082,344,72,3,95,77,24
03,Capital,001,0003 ,0083,344,0,0,102,73,41
03,Capital,001,0003 ,0084,344,0,0,135,72,29
03,Capital,001,0003 ,0085,344,0,0,91,84,35
03,Capital,001,0003 ,0086,344,0,0,109,75,29
03,Capital,001,0003 ,0087,344,49,0,90,91,29
03,Capital,001,0003 ,0088,345,6,0,120,66,24
03,Capital,001,0003 ,0089,344,5,4,84,74,40
03,Capital,001,0003 ,0090,344,55,0,84,98,26
03,Capital,001,0003 ,0091,344,49,2,103,74,30
03,Capital,001,0003 ,0092,344,0,0,98,84,24
03,Capital,001,0003 ,0093,344,0,0,96,85,26
03,Capital,001,0003 ,0094,344,64,0,100,87,27
03,Capital,001,0003 ,0095,344,3,2,115,63,38
03,Capital,001,0003 ,0096,345,0,0,90,95,30
03,Capital,001,0003 ,0097,344,7,5,97,74,37
03,Capital,001,0003 ,0098,344,51,5,96,81,41
03,Capital,001,0003 ,0099,344,65,0,98,80,22
03,Capital,001,0003 ,0100,344,0,0,102,84,22
03,Capital,001,0003 ,0101,344,50,0,119,74,25
03,Capital,001,0003 ,0102,344,5,5,109,59,41
03,Capital,001,0003 ,0103,344,58,1,95,80,39
03,Capital,001,0003 ,0104,344,0,0,106,83,33
03,Capital,001,0003 ,0105,344,59,9,102,77,25
03,Capital,001,0003 ,0106,344,0,0,108,70,21
03,Capital,001,0003 ,0107,344,1,0,119,71,25
03,Capital,001,0003 ,0108,344,0,40,116,66,32
03,Capital,001,0003 ,0109,344,0,0,0,0,0
03,Capital,001,0003 ,0110,343,42,1,142,54,17
03,Capital,001,0003 ,0111,344,142,7,105,0,45
03,Capital,001,0003 ,0112,343,0,0,114,75,28
03,Capital,001,0003 ,0113,344,56,0,115,74,33
03,Capital,001,0003 ,0114,344,51,5,96,93,36
03,Capital,001,0003 ,0115,345,0,0,121,67,19
03,Capital,001,0003 ,0116,344,5,2,94,87,26
03,Capital,001,0003 ,0117,344,0,0,92,85,31
