codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0047,0131,0134,0137,0176
06,San Fernando,001,0001 ,0001,350,25,0,40,45,52,87,24
06,San Fernando,001,0001 ,0002,351,24,2,45,44,43,76,27
06,San Fernando,001,0001 ,0003,351,28,0,32,51,51,82,13
06,San Fernando,001,0001 ,0004,350,24,3,41,59,46,72,36
06,San Fernando,001,0001 ,0005,350,19,2,44,50,54,73,19
06,San Fernando,001,0001 ,0006,352,30,0,35,53,52,77,13
06,San Fernando,001,0001 ,0007,350,23,0,36,49,45,85,18
06,San Fernando,001,0001 ,0008,351,19,2,37,58,44,59,21
06,San Fernando,001,0001 ,0009,350,31,0,33,61,48,65,17
06,San Fernando,001,0001 ,0010,350,22,1,38,55,48,88,14
06,San Fernando,001,0001 ,0011,350,25,1,35,49,61,83,28
06,San Fernando,001,0001 ,0012,349,2,5,32,45,50,74,17
06,San Fernando,001,0001 ,0013,349,32,1,32,39,50,91,20
06,San Fernando,001,0001 ,0014,349,31,2,42,52,41,70,23
06,San Fernando,001,0001 ,0015,349,22,2,28,50,42,98,18
06,San Fernando,001,0002 ,0016,346,0,1,22,56,45,93,16
06,San Fernando,001,0002 ,0017,346,21,1,31,50,57,72,17
06,San Fernando,001,0002 ,0018,347,28,1,27,64,34,87,29
06,San Fernando,001,0002 ,0019,345,27,2,27,70,47,79,13
06,San Fernando,001,0002 ,0020,345,23,0,46,44,43,93,18
06,San Fernando,001,0002 ,0021,345,1,1,30,47,46,83,25
06,San Fernando,001,0002 ,0022,345,17,0,29,43,45,84,15
06,San Fernando,001,0002 ,0023,346,15,2,33,48,49,96,18
06,San Fernando,001,0002 ,0024,346,21,1,40,51,42,92,19
06,San Fernando,001,0002 ,0025,346,25,0,26,68,54,83,19
06,San Fernando,001,0002 ,0026,346,27,2,34,51,38,86,26
06,San Fernando,001,0002 ,0027,345,23,1,28,47,62,68,23
06,San Fernando,001,0002 ,0028,346,0,1,26,49,60,84,18
06,San Fernando,001,0002 ,0029,346,17,1,38,46,42,92,15
06,San Fernando,001,0003 ,0030,330,23,1,18,44,40,84,19
06,San Fernando,001,0003 ,0031,329,16,1,32,51,39,107,19
06,San Fernando,001,0003 ,0032,329,20,5,32,63,44,82,19
06,San Fernando,001,0003 ,0033,329,22,0,35,42,45,79,19
06,San Fernando,001,0003 ,0034,329,21,0,29,44,44,88,18
06,San Fernando,001,0003 ,0035,330,27,1,28,64,35,77,18
06,San Fernando,001,0003 ,0036,328,22,3,35,42,35,87,16
06,San Fernando,001,0003 ,0037,328,18,3,34,46,55,72,22
06,San Fernando,001,0003 ,0038,329,17,3,28,45,51,81,18
06,San Fernando,001,0003 ,0039,329,25,4,24,68,43,81,13
06,San Fernando,001,0003 ,0040,329,28,2,21,60,33,80,17
06,San Fernando,001,0003 ,0041,328,20,1,31,47,47,88,18
06,San Fernando,001,0003 ,0042,329,19,0,31,41,36,84,34
06,San Fernando,001,0003 ,0043,330,22,1,26,45,38,71,31
06,San Fernando,001,0003 ,0044,329,17,1,40,49,44,77,19
06,San Fernando,001,0004 ,0045,344,34,0,34,57,35,82,18
06,San Fernando,001,0004 ,0046,343,27,3,29,13,39,84,69
06,San Fernando,001,0004 ,0047,344,24,2,33,54,44,67,26
06,San Fernando,001,0004 ,0048,344,33,0,25,58,31,83,26
06,San Fernando,001,0004 ,0049,344,18,2,30,56,50,71,29
06,San Fernando,001,0004 ,0050,343,16,3,20,62,47,63,27
06,San Fernando,001,0004 ,0051,343,22,0,32,60,35,82,25
06,San Fernando,001,0004 ,0052,342,17,1,19,49,60,86,12
06,San Fernando,001,0004 ,0053,343,30,0,26,59,35,87,21
06,San Fernando,001,0004 ,0054,342,25,0,43,60,34,76,23
06,San Fernando,001,0004 ,0055,342,24,3,36,65,33,79,15
06,San Fernando,001,0004 ,0056,342,19,0,25,60,45,92,14
06,San Fernando,001,0004 ,0057,342,26,0,29,36,58,71,20
06,San Fernando,001,0004 ,0058,343,30,0,26,62,50,81,17
06,San Fernando,001,0004 ,0059,342,21,1,28,52,44,73,22
06,San Fernando,001,0004 ,0060,342,16,3,29,47,53,88,16
06,San Fernando,001,0005A,0061,341,0,0,18,99,35,68,20
06,San Fernando,001,0005A,0062,342,28,0,14,105,21,80,18
06,San Fernando,001,0005A,0063,341,0,0,20,85,29,59,18
06,San Fernando,001,0005A,0064,341,29,2,28,84,39,69,19
06,San Fernando,001,0005A,0065,341,35,1,23,84,26,75,21
06,San Fernando,001,0005A,0066,341,0,0,9,107,42,68,15
06,San Fernando,001,0005A,0067,341,31,3,22,67,40,77,27
06,San Fernando,001,0005A,0068,341,0,0,10,88,31,75,19
06,San Fernando,001,0005A,0069,341,31,0,15,96,33,61,34
06,San Fernando,001,0005A,0070,341,41,6,22,88,23,69,25
