codprov,coddepto,depto,circuito,mesa,electores,blancos,nulos,00004,00037,00050,00024
06,001,San Fernando,00001,000001,347,8,0,6,46,194,15
06,001,San Fernando,00001,000010,345,11,0,7,58,191,12
06,001,San Fernando,00001,000011,346,10,0,8,60,205,4
06,001,San Fernando,00001,000012,344,11,0,6,58,177,13
06,001,San Fernando,00001,000013,345,7,0,2,49,192,14
06,001,San Fernando,00001,000014,346,14,1,5,69,176,7
06,001,San Fernando,00001,000015,349,7,1,4,64,184,10
06,001,San Fernando,00001,000002,347,6,2,1,69,183,7
06,001,San Fernando,00001,000003,345,11,1,1,59,193,10
06,001,San Fernando,00001,000004,347,6,0,6,53,190,11
06,001,San Fernando,00001,000005,346,13,0,6,77,177,14
06,001,San Fernando,00001,000006,346,17,0,2,50,172,16
06,001,San Fernando,00001,000007,345,6,0,8,55,190,16
06,001,San Fernando,00001,000008,348,6,1,2,66,175,12
06,001,San Fernando,00001,000009,346,12,0,7,66,185,11
06,001,San Fernando,00002,000016,340,6,2,3,66,193,11
06,001,San Fernando,00002,000017,340,2,0,2,66,185,13
06,001,San Fernando,00002,000018,338,5,2,4,61,180,11
06,001,San Fernando,00002,000019,340,14,2,5,48,190,5
06,001,San Fernando,00002,000020,340,3,0,3,54,208,7
06,001,San Fernando,00002,000021,339,11,0,4,71,181,14
06,001,San Fernando,00002,000022,338,5,0,2,58,195,11
06,001,San Fernando,00002,000023,339,10,1,8,56,179,11
06,001,San Fernando,00002,000024,340,13,0,9,60,179,13
06,001,San Fernando,00002,000025,339,12,1,5,75,174,11
06,001,San Fernando,00002,000026,338,18,0,1,58,176,10
06,001,San Fernando,00002,000027,338,12,2,5,64,163,14
06,001,San Fernando,00002,000028,340,7,1,6,50,193,7
06,001,San Fernando,00002,000029,347,8,2,4,52,202,9
06,001,San Fernando,00003,000030,332,14,0,4,62,169,11
06,001,San Fernando,00003,000031,333,14,2,5,51,181,17
06,001,San Fernando,00003,000032,332,11,0,6,71,166,9
