codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0033,0047,0060,0131,0134,0156,0176,0504
06,San Fernando,001,0001 ,0001,350,27,2,8,39,2,42,24,17,18,100
06,San Fernando,001,0001 ,0002,351,17,6,10,35,2,43,27,14,24,90
06,San Fernando,001,0001 ,0003,351,25,6,10,39,5,47,20,11,16,77
06,San Fernando,001,0001 ,0004,350,23,3,10,49,3,52,17,14,27,87
06,San Fernando,001,0001 ,0005,350,15,2,12,34,4,56,21,9,13,102
06,San Fernando,001,0001 ,0006,352,13,4,12,33,0,45,37,16,16,85
06,San Fernando,001,0001 ,0007,350,16,5,11,45,1,47,25,9,14,93
06,San Fernando,001,0001 ,0008,351,17,0,0,45,1,67,0,0,16,74
06,San Fernando,001,0001 ,0009,350,3,3,11,43,6,60,19,14,10,67
06,San Fernando,001,0001 ,0010,350,28,2,7,41,1,54,24,20,13,89
06,San Fernando,001,0001 ,0011,350,28,0,12,50,2,41,25,12,28,75
06,San Fernando,001,0001 ,0012,349,1,3,20,37,1,41,18,22,12,81
06,San Fernando,001,0001 ,0013,349,26,4,13,42,4,46,16,22,13,78
06,San Fernando,001,0001 ,0014,349,26,5,8,48,4,51,20,6,22,75
06,San Fernando,001,0001 ,0015,349,15,0,11,36,3,53,23,17,12,99
06,San Fernando,001,0002 ,0016,346,14,6,6,36,3,57,22,13,14,90
06,San Fernando,001,0002 ,0017,346,0,5,10,30,2,45,25,16,23,93
06,San Fernando,001,0002 ,0018,347,20,4,4,38,2,63,24,15,21,84
06,San Fernando,001,0002 ,0019,345,14,3,6,33,3,48,26,10,18,94
06,San Fernando,001,0002 ,0020,345,15,6,14,39,5,42,19,19,15,92
06,San Fernando,001,0002 ,0021,345,0,0,9,33,21,60,21,8,23,83
06,San Fernando,001,0002 ,0022,345,19,3,6,30,0,49,29,0,18,86
06,San Fernando,001,0002 ,0023,346,0,1,5,33,3,42,28,11,18,102
06,San Fernando,001,0002 ,0024,346,18,5,10,39,1,46,16,13,16,94
06,San Fernando,001,0002 ,0025,346,0,0,16,40,4,62,25,12,11,87
06,San Fernando,001,0002 ,0026,346,25,6,6,33,3,55,14,8,18,99
06,San Fernando,001,0002 ,0027,345,17,6,8,40,2,54,22,10,16,92
06,San Fernando,001,0002 ,0028,346,0,0,1,0,11,0,23,13,11,91
06,San Fernando,001,0002 ,0029,346,9,1,7,42,3,47,17,25,9,77
06,San Fernando,001,0003 ,0030,330,17,3,13,28,1,52,10,11,23,86
06,San Fernando,001,0003 ,0031,329,18,3,13,46,3,46,22,11,18,84
06,San Fernando,001,0003 ,0032,329,18,3,10,39,3,60,24,12,15,76
06,San Fernando,001,0003 ,0033,329,14,3,6,37,4,41,29,11,21,89
06,San Fernando,001,0003 ,0034,329,13,0,17,26,2,43,16,13,12,99
06,San Fernando,001,0003 ,0035,330,17,4,11,44,5,52,24,13,14,71
06,San Fernando,001,0003 ,0036,328,8,6,4,42,1,42,15,15,15,102
06,San Fernando,001,0003 ,0037,328,18,2,4,44,4,42,25,9,27,79
06,San Fernando,001,0003 ,0038,329,8,8,11,39,2,39,19,18,14,87
06,San Fernando,001,0003 ,0039,329,15,4,11,37,7,64,29,7,16,77
06,San Fernando,001,0003 ,0040,329,20,1,11,11,58,35,16,4,11,83
06,San Fernando,001,0003 ,0041,328,19,4,9,30,3,47,24,14,10,94
06,San Fernando,001,0003 ,0042,329,15,4,14,30,6,50,14,9,20,94
06,San Fernando,001,0003 ,0043,330,12,5,5,33,4,50,20,15,16,92
06,San Fernando,001,0003 ,0044,329,23,4,0,38,4,48,25,0,25,82
06,San Fernando,001,0004 ,0045,344,16,3,20,38,2,63,19,10,14,82
06,San Fernando,001,0004 ,0046,343,35,4,9,36,2,60,22,6,20,80
06,San Fernando,001,0004 ,0047,344,17,6,12,40,2,55,15,10,26,82
06,San Fernando,001,0004 ,0048,344,0,3,18,32,6,58,20,12,23,69
06,San Fernando,001,0004 ,0049,344,21,1,10,33,2,56,17,20,17,76
06,San Fernando,001,0004 ,0050,343,2,6,13,22,3,61,31,13,23,75
06,San Fernando,001,0004 ,0051,343,19,0,7,40,4,51,25,9,21,87
06,San Fernando,001,0004 ,0052,342,22,4,9,28,2,44,36,5,10,94
06,San Fernando,001,0004 ,0053,343,21,4,8,26,6,56,20,11,17,93
06,San Fernando,001,0004 ,0054,342,20,0,6,30,7,65,23,18,21,82
06,San Fernando,001,0004 ,0055,342,21,5,10,42,1,68,18,5,11,94
06,San Fernando,001,0004 ,0056,342,18,2,10,36,2,57,23,16,19,85
06,San Fernando,001,0004 ,0057,342,30,5,10,37,8,34,18,7,22,82
06,San Fernando,001,0004 ,0058,343,16,7,14,26,3,59,26,15,10,79
06,San Fernando,001,0004 ,0059,342,0,3,9,27,3,64,16,10,18,80
06,San Fernando,001,0004 ,0060,342,16,5,8,42,2,49,26,15,18,85
06,San Fernando,001,0005A,0061,341,37,0,8,0,5,97,13,15,11,75
06,San Fernando,001,0005A,0062,342,42,2,3,18,3,108,11,7,14,67
06,San Fernando,001,0005A,0063,341,35,0,5,31,4,88,13,3,14,54
06,San Fernando,001,0005A,0064,341,22,6,13,33,6,86,14,7,14,68
06,San Fernando,001,0005A,0065,341,25,1,7,35,4,102,19,4,18,63
06,San Fernando,001,0005A,0066,341,31,4,10,20,5,99,18,10,9,68
06,San Fernando,001,0005A,0067,341,37,2,6,25,3,68,24,9,17,82
06,San Fernando,001,0005A,0068,341,31,0,7,20,3,107,6,5,20,61
06,San Fernando,001,0005A,0069,341,2,5,13,22,0,91,17,9,24,65
06,San Fernando,001,0005A,0070,341,28,8,6,20,3,94,13,0,9,88
06,San Fernando,001,0005A,0071,341,0,0,14,22,1,0,4,100,13,77
