codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00068,00069,00001,00005,00009,00066,00072,00070,00071
06,001,SAN FERNANDO,02200,056860,0,0,10,10,0,11,67,145,3,1,3,2
06,001,SAN FERNANDO,02200,056861,0,0,17,5,1,4,84,134,4,4,1,0
06,001,SAN FERNANDO,02200,056862,0,0,12,4,0,4,63,144,4,9,3,4
06,001,SAN FERNANDO,02200,056863,0,0,11,3,2,13,69,132,3,2,1,3
06,001,SAN FERNANDO,02200,056864,0,0,19,5,2,13,85,135,1,3,0,3
06,001,SAN FERNANDO,02200,056865,0,0,13,12,0,9,53,117,9,6,2,6
06,001,SAN FERNANDO,02200,056866,0,0,20,12,3,10,67,133,3,2,0,1
06,001,SAN FERNANDO,02200,056867,0,0,20,2,0,9,66,133,2,5,2,4
06,001,SAN FERNANDO,02200,056868,0,0,17,9,1,8,78,134,3,5,0,3
06,001,SAN FERNANDO,02200,056869,0,0,10,5,1,11,74,134,5,1,2,2
06,001,SAN FERNANDO,02200,056870,0,0,15,5,0,9,59,151,6,6,3,4
06,001,SAN FERNANDO,02200,056871,0,0,18,4,2,13,57,145,3,5,0,4
06,001,SAN FERNANDO,02200,056872,0,0,10,5,1,17,61,130,2,4,2,6
06,001,SAN FERNANDO,02200,056873,0,0,12,5,0,5,81,128,4,9,0,3
06,001,SAN FERNANDO,02200,056874,0,0,13,4,3,3,77,130,2,5,1,4
06,001,SAN FERNANDO,02201,056875,0,0,6,3,1,7,75,140,8,5,0,5
06,001,SAN FERNANDO,02201,056876,0,0,8,6,3,12,78,134,3,3,1,2
06,001,SAN FERNANDO,02201,056877,0,0,12,1,0,9,75,120,9,5,2,9
06,001,SAN FERNANDO,02201,056878,0,0,13,4,2,13,60,150,3,4,0,0
06,001,SAN FERNANDO,02201,056879,0,0,19,2,2,6,55,152,3,2,2,4
06,001,SAN FERNANDO,02201,056880,0,0,14,6,0,13,78,123,3,8,0,3
06,001,SAN FERNANDO,02201,056881,0,0,9,7,2,7,58,143,2,6,0,2
06,001,SAN FERNANDO,02201,056882,0,0,22,6,1,6,62,128,5,5,1,3
06,001,SAN FERNANDO,02201,056883,0,0,15,3,0,13,69,127,3,6,1,3
06,001,SAN FERNANDO,02201,056884,0,0,12,5,2,7,72,118,5,6,6,2
06,001,SAN FERNANDO,02201,056885,0,0,16,6,1,9,74,125,2,7,3,4
06,001,SAN FERNANDO,02201,056886,0,0,15,4,1,12,74,129,1,2,0,3
06,001,SAN FERNANDO,02201,056887,0,0,0,6,1,9,57,142,5,4,0,2
06,001,SAN FERNANDO,02201,056888,0,0,12,7,0,7,58,155,4,8,2,1
