codprov,coddepto,depto,circuito,mesa,electores,blancos,nulos,00004,00037,00050,00024
06,001,San Fernando,00001,000001,347,6,2,6,46,196,13
06,001,San Fernando,00001,000010,345,11,0,7,59,190,12
06,001,San Fernando,00001,000011,346,8,0,8,61,205,5
06,001,San Fernando,00001,000012,344,10,1,6,59,177,12
06,001,San Fernando,00001,000013,345,4,14,2,193,2,49
06,001,San Fernando,00001,000014,346,13,1,5,71,176,6
06,001,San Fernando,00001,000015,349,7,1,4,65,183,10
06,001,San Fernando,00001,000002,347,7,1,1,69,183,7
06,001,San Fernando,00001,000003,345,9,1,1,61,193,10
06,001,San Fernando,00001,000004,347,6,0,5,52,191,12
06,001,San Fernando,00001,000005,346,14,0,6,77,177,13
06,001,San Fernando,00001,000006,346,14,0,3,51,172,17
06,001,San Fernando,00001,000007,345,6,0,8,56,191,14
06,001,San Fernando,00001,000008,348,5,1,3,66,176,11
06,001,San Fernando,00001,000009,346,12,0,7,66,186,10
06,001,San Fernando,00002,000016,340,6,2,3,66,193,11
06,001,San Fernando,00002,000017,340,2,1,2,65,185,13
06,001,San Fernando,00002,000018,338,6,1,3,59,183,11
06,001,San Fernando,00002,000019,340,14,2,5,48,190,5
06,001,San Fernando,00002,000020,340,5,0,2,53,208,7
06,001,San Fernando,00002,000021,339,10,1,4,75,178,13
06,001,San Fernando,00002,000022,338,5,0,2,58,195,11
06,001,San Fernando,00002,000023,339,11,1,6,58,179,10
06,001,San Fernando,00002,000024,340,15,0,8,60,179,12
06,001,San Fernando,00002,000025,339,10,1,5,75,176,11
06,001,San Fernando,00002,000026,338,18,0,1,58,176,10
06,001,San Fernando,00002,000027,338,12,2,5,64,162,15
06,001,San Fernando,00002,000028,340,7,1,6,50,193,7
06,001,San Fernando,00002,000029,347,8,2,4,52,203,8
06,001,San Fernando,00003,000030,332,13,0,4,61,171,11
06,001,San Fernando,00003,000031,333,15,2,5,51,180,17
06,001,San Fernando,00003,000032,332,7,0,7,76,164,9
06,001,San Fernando,00003,000033,331,14,0,6,63,165,11
06,001,San Fernando,00003,000034,333,13,1,11,64,173,11
06,001,San Fernando,00003,000035,333,11,1,4,43,190,15
06,001,San Fernando,00003,000036,336,15,2,5,66,179,11
06,001,San Fernando,00003,000037,332,10,1,2,52,181,13
06,001,San Fernando,00003,000038,333,11,3,5,55,180,14
06,001,San Fernando,00003,000039,332,11,1,3,70,177,11
06,001,San Fernando,00003,000040,332,9,3,8,62,176,4
06,001,San Fernando,00003,000041,332,11,0,3,53,172,13
06,001,San Fernando,00003,000042,331,17,0,7,64,169,6
06,001,San Fernando,00003,000043,336,4,0,9,59,172,12
06,001,San Fernando,00004,000044,337,15,2,7,59,175,11
06,001,San Fernando,00004,000045,335,7,2,10,66,169,10
06,001,San Fernando,00004,000046,338,7,2,5,62,169,14
06,001,San Fernando,00004,000047,336,9,1,4,61,171,10
06,001,San Fernando,00004,000048,337,4,0,7,64,172,13
06,001,San Fernando,00004,000049,338,13,0,7,51,193,6
06,001,San Fernando,00004,000050,338,10,0,10,72,178,11
