codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0014,0060,0179,0182,0501,0518,0519
06,San Fernando,001,0001 ,0001,345,7,0,19,0,3,15,48,19,139
06,San Fernando,001,0001 ,0002,344,18,6,7,1,3,13,52,10,136
06,San Fernando,001,0001 ,0003,344,19,0,9,1,7,15,60,7,134
06,San Fernando,001,0001 ,0004,345,19,1,15,2,3,20,57,14,139
06,San Fernando,001,0001 ,0005,345,1,15,19,5,4,15,49,9,126
06,San Fernando,001,0001 ,0006,345,19,2,8,2,2,9,50,16,132
06,San Fernando,001,0001 ,0007,345,15,3,12,1,3,9,65,17,117
06,San Fernando,001,0001 ,0008,345,0,0,17,1,3,10,69,13,128
06,San Fernando,001,0001 ,0009,344,21,4,12,2,4,17,70,7,124
06,San Fernando,001,0001 ,0010,344,22,3,11,4,7,9,53,14,139
06,San Fernando,001,0001 ,0011,344,2,5,18,0,3,12,52,12,143
06,San Fernando,001,0001 ,0012,344,18,7,8,1,2,12,59,19,124
06,San Fernando,001,0001 ,0013,344,15,2,10,0,1,15,66,14,131
06,San Fernando,001,0001 ,0014,344,14,2,16,3,5,12,59,12,120
06,San Fernando,001,0002 ,0015,336,9,5,15,3,8,16,45,16,120
06,San Fernando,001,0002 ,0016,336,10,2,15,3,4,12,61,17,117
06,San Fernando,001,0002 ,0017,335,10,4,20,2,3,10,65,15,122
06,San Fernando,001,0002 ,0018,334,14,2,12,1,4,10,51,10,144
06,San Fernando,001,0002 ,0019,335,1,2,11,1,5,12,57,11,148
06,San Fernando,001,0002 ,0020,335,2,3,12,1,0,10,53,13,141
06,San Fernando,001,0002 ,0021,335,9,6,10,0,1,11,61,14,136
06,San Fernando,001,0002 ,0022,335,11,2,12,1,0,5,49,20,149
06,San Fernando,001,0002 ,0023,335,3,6,19,0,1,10,55,15,128
06,San Fernando,001,0002 ,0024,335,13,6,15,1,4,10,55,15,128
06,San Fernando,001,0002 ,0025,335,15,2,9,2,4,12,59,18,124
06,San Fernando,001,0002 ,0026,333,3,3,16,1,4,13,52,13,124
06,San Fernando,001,0002 ,0027,334,4,3,10,3,4,7,54,14,145
06,San Fernando,001,0003 ,0028,343,16,5,9,1,7,3,56,19,131
06,San Fernando,001,0003 ,0029,343,3,5,16,7,2,7,57,13,141
06,San Fernando,001,0003 ,0030,343,8,4,8,1,4,14,62,9,144
06,San Fernando,001,0003 ,0031,342,12,0,11,2,3,8,46,11,148
06,San Fernando,001,0003 ,0032,343,13,4,15,0,6,8,69,5,149
06,San Fernando,001,0003 ,0033,343,17,1,16,1,4,15,65,17,129
06,San Fernando,001,0003 ,0034,343,13,6,16,2,9,21,44,10,126
06,San Fernando,001,0003 ,0035,343,13,2,19,4,3,7,36,11,151
06,San Fernando,001,0003 ,0036,342,20,6,22,4,6,13,55,9,119
06,San Fernando,001,0003 ,0037,341,9,7,19,3,2,10,70,9,121
06,San Fernando,001,0003 ,0038,342,9,4,19,3,6,8,60,16,134
06,San Fernando,001,0003 ,0039,342,12,3,17,6,7,11,53,13,126
06,San Fernando,001,0003 ,0040,342,13,5,22,3,3,5,62,11,128
06,San Fernando,001,0003 ,0041,342,12,3,10,0,1,10,61,11,140
06,San Fernando,001,0004 ,0042,338,17,5,10,3,8,9,64,19,125
06,San Fernando,001,0004 ,0043,338,15,3,13,2,6,11,67,13,129
06,San Fernando,001,0004 ,0044,338,9,8,13,6,5,9,49,18,131
06,San Fernando,001,0004 ,0045,338,5,2,14,1,8,8,65,10,121
06,San Fernando,001,0004 ,0046,338,14,1,14,5,4,6,57,0,142
