codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00068,00069,00001,00005,00009,00066,00072,00070,00071
06,001,SAN FERNANDO,02200,056860,0,0,7,10,0,11,68,145,3,1,3,3
06,001,SAN FERNANDO,02200,056861,0,0,11,5,1,5,86,138,3,4,0,1
06,001,SAN FERNANDO,02200,056862,0,0,9,4,0,4,68,147,4,8,1,4
06,001,SAN FERNANDO,02200,056863,0,0,4,5,1,15,71,134,2,2,1,4
06,001,SAN FERNANDO,02200,056864,0,0,17,5,2,12,87,136,2,4,0,3
06,001,SAN FERNANDO,02200,056865,0,0,13,12,0,9,54,118,8,6,2,6
06,001,SAN FERNANDO,02200,056866,0,0,23,12,3,10,64,134,2,2,0,1
06,001,SAN FERNANDO,02200,056867,0,0,17,2,0,9,64,137,2,5,2,4
06,001,SAN FERNANDO,02200,056868,0,0,16,9,1,8,80,133,3,5,0,3
06,001,SAN FERNANDO,02200,056869,0,0,9,5,2,11,74,135,5,1,2,2
06,001,SAN FERNANDO,02200,056870,0,0,15,5,0,9,58,154,4,5,3,4
06,001,SAN FERNANDO,02200,056871,0,0,18,4,3,12,57,144,3,5,0,4
06,001,SAN FERNANDO,02200,056872,0,0,9,5,1,17,61,132,2,3,2,6
06,001,SAN FERNANDO,02200,056873,0,0,9,5,1,5,86,129,2,7,0,3
06,001,SAN FERNANDO,02200,056874,0,0,11,4,2,3,77,132,1,5,1,4
06,001,SAN FERNANDO,02201,056875,0,0,8,3,1,7,76,139,6,5,0,5
06,001,SAN FERNANDO,02201,056876,0,0,4,5,3,12,81,140,2,4,1,2
06,001,SAN FERNANDO,02201,056877,0,0,10,1,0,9,74,124,4,6,5,9
06,001,SAN FERNANDO,02201,056878,0,0,11,4,2,13,63,148,2,5,0,1
06,001,SAN FERNANDO,02201,056879,0,0,9,2,2,6,58,149,3,2,2,4
06,001,SAN FERNANDO,02201,056880,0,0,12,6,0,10,84,122,3,7,1,3
06,001,SAN FERNANDO,02201,056881,0,0,8,7,2,8,58,144,2,5,0,2
06,001,SAN FERNANDO,02201,056882,0,0,18,6,1,5,68,131,5,4,1,2
06,001,SAN FERNANDO,02201,056883,0,0,12,3,0,13,74,127,3,5,1,1
06,001,SAN FERNANDO,02201,056884,0,0,10,5,2,6,75,118,4,0,6,2
06,001,SAN FERNANDO,02201,056885,0,0,11,6,1,9,80,128,2,7,3,4
06,001,SAN FERNANDO,02201,056886,0,0,14,2,0,13,79,127,1,2,0,3
06,001,SAN FERNANDO,02201,056887,0,0,0,6,1,9,58,142,2,3,0,2
06,001,SAN FERNANDO,02201,056888,0,0,11,7,0,7,64,154,2,7,2,1
06,001,SAN FERNANDO,02202,056889,0,0,11,8,0,11,80,116,3,5,1,2
06,001,SAN FERNANDO,02202,056890,0,0,15,7,1,10,73,122,2,12,1,5
06,001,SAN FERNANDO,02202,056891,0,0,14,5,0,13,82,113,3,3,0,3
06,001,SAN FERNANDO,02202,056892,0,0,13,4,1,12,74,107,3,11,1,5
06,001,SAN FERNANDO,02202,056893,0,0,12,7,2,10,84,121,4,10,0,4
06,001,SAN FERNANDO,02202,056894,0,0,22,6,2,10,52,137,4,3,3,4
06,001,SAN FERNANDO,02202,056895,0,0,23,12,2,8,74,120,4,6,1,2
06,001,SAN FERNANDO,02202,056896,0,0,14,5,1,11,66,123,3,6,0,2
06,001,SAN FERNANDO,02202,056897,0,0,13,8,0,12,68,137,2,4,2,2
06,001,SAN FERNANDO,02202,056898,0,0,12,7,1,17,80,126,0,6,0,2
06,001,SAN FERNANDO,02202,056899,0,0,13,9,0,7,74,126,2,9,2,4
06,001,SAN FERNANDO,02202,056900,0,0,9,4,9,12,71,125,4,5,2,5
06,001,SAN FERNANDO,02202,056901,0,0,15,9,0,4,69,128,0,12,0,1
06,001,SAN FERNANDO,02202,056902,0,0,21,5,0,8,65,117,4,1,0,5
06,001,SAN FERNANDO,02203,056903,0,0,15,11,3,6,82,113,4,6,0,1
06,001,SAN FERNANDO,02203,056904,0,0,11,8,3,11,81,124,3,5,0,4
06,001,SAN FERNANDO,02203,056905,0,0,31,7,2,13,74,121,0,8,0,0
06,001,SAN FERNANDO,02203,056906,0,0,0,9,2,8,75,126,4,2,0,4
06,001,SAN FERNANDO,02203,056907,0,0,9,7,1,9,89,118,2,3,2,3
06,001,SAN FERNANDO,02203,056908,0,0,11,11,0,6,76,141,4,2,1,2
06,001,SAN FERNANDO,02203,056909,0,0,11,6,3,10,84,124,0,3,0,1
06,001,SAN FERNANDO,02203,056910,0,0,9,3,0,12,68,126,1,6,0,2
06,001,SAN FERNANDO,02203,056911,0,0,23,2,1,14,73,146,4,5,2,3
