codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0002,0003,0022,0038,0047,0173,0174,0251
07,Rawson                                  ,001,0001 ,0001,341,12,0,155,23,5,0,47,4,3,4
07,Rawson                                  ,001,0001 ,0002,341,2,16,172,29,1,0,38,3,3,0
07,Rawson                                  ,001,0001 ,0003,341,1,3,167,32,1,0,33,3,0,3
07,Rawson                                  ,001,0001 ,0004,341,1,3,134,43,1,0,30,3,3,18
07,Rawson                                  ,001,0001 ,0700,307,15,1,129,34,2,0,38,4,4,27
07,Rawson                                  ,001,0001 ,0701,307,11,2,129,37,1,0,45,1,0,13
07,Rawson                                  ,001,0001 ,0702,307,13,2,111,25,0,0,36,2,4,54
07,Rawson                                  ,001,0001 ,0703,306,10,1,132,22,2,0,36,3,1,28
07,Rawson                                  ,001,0002 ,0005,330,14,4,129,37,1,0,34,0,4,22
07,Rawson                                  ,001,0002 ,0006,330,24,0,93,41,3,0,39,2,8,29
07,Rawson                                  ,001,0002 ,0007,330,28,3,151,26,0,0,32,3,3,8
07,Rawson                                  ,001,0002 ,0008,330,20,3,111,35,4,0,28,5,5,29
07,Rawson                                  ,001,0002 ,0009,330,1,7,110,35,1,0,35,3,0,21
07,Rawson                                  ,001,0002 ,0704,387,2,11,159,45,3,0,57,4,3,30
07,Rawson                                  ,001,0002 ,0705,387,21,4,129,47,0,0,57,3,3,34
07,Rawson                                  ,001,0002 ,0706,386,24,4,158,38,3,0,49,2,4,18
07,Rawson                                  ,001,0002 ,0707,386,0,5,168,55,3,1,47,0,3,18
07,Rawson                                  ,001,0003 ,0010,398,30,6,180,36,3,0,58,5,5,0
07,Rawson                                  ,001,0003 ,0011,398,34,1,153,33,3,0,55,4,0,31
07,Rawson                                  ,001,0003 ,0012,398,3,4,173,35,4,0,51,1,2,4
07,Rawson                                  ,001,0003 ,0013,398,30,5,143,30,4,0,51,5,3,23
07,Rawson                                  ,001,0003 ,0014,398,15,11,141,48,0,0,59,2,1,24
07,Rawson                                  ,001,0003 ,0015,398,28,7,168,45,1,0,49,1,5,14
07,Rawson                                  ,001,0003 ,0016,398,8,4,152,27,2,0,51,3,9,24
07,Rawson                                  ,001,0003 ,0017,398,25,4,174,44,2,0,44,4,2,17
07,Rawson                                  ,001,0003 ,0018,398,20,4,204,32,5,0,50,2,5,1
07,Rawson                                  ,001,0003 ,0019,398,21,0,160,50,4,0,46,4,11,27
07,Rawson                                  ,001,0003 ,0020,397,20,5,190,26,2,0,48,2,3,11
07,Rawson                                  ,001,0003 ,0021,397,25,6,173,43,1,0,47,3,5,13
07,Rawson                                  ,001,0003 ,0022,397,26,3,187,47,1,0,43,5,0,8
07,Rawson                                  ,001,0003 ,0708,385,33,3,178,39,4,0,55,2,6,0
07,Rawson                                  ,001,0003 ,0709,384,28,6,154,34,4,0,67,6,3,16
07,Rawson                                  ,001,0003 ,0710,384,20,7,162,48,1,0,53,2,3,36
07,Rawson                                  ,001,0003 ,0711,384,6,9,120,48,3,0,69,1,1,58
07,Rawson                                  ,001,0003 ,0712,384,26,4,97,43,0,0,55,4,5,70
07,Rawson                                  ,001,0003 ,0713,384,28,4,125,31,1,0,56,9,0,48
07,Rawson                                  ,001,0003 ,0714,384,29,4,141,41,7,0,67,5,2,18
07,Rawson                                  ,001,0003 ,0715,384,12,2,150,37,3,0,56,3,4,45
07,Rawson                                  ,001,0003 ,0716,384,16,4,134,52,2,0,46,3,5,64
07,Rawson                                  ,001,0003 ,0717,384,0,2,155,44,2,0,48,7,4,17
07,Rawson                                  ,001,0003 ,0718,384,14,2,184,43,0,0,51,3,3,27
07,Rawson                                  ,001,0003 ,0719,384,2,5,174,40,1,0,51,2,3,5
07,Rawson                                  ,001,0003 ,0720,384,2,5,142,33,0,0,57,3,3,40
07,Rawson                                  ,001,0003 ,0721,384,0,12,174,54,0,0,61,3,4,0
07,Rawson                                  ,001,0004 ,0023,378,33,2,176,31,6,0,43,2,4,3
07,Rawson                                  ,001,0004 ,0024,377,23,9,199,37,1,0,50,4,4,19
07,Rawson                                  ,001,0004 ,0722,371,25,11,159,31,3,0,43,1,5,25
07,Rawson                                  ,001,0004 ,0723,370,22,7,103,30,2,0,48,2,5,89
07,Rawson                                  ,001,0005 ,0025,366,14,0,100,56,7,0,67,4,8,38
07,Rawson                                  ,001,0005 ,0026,366,11,3,92,53,2,0,71,2,8,37
07,Rawson                                  ,001,0005 ,0027,366,22,4,106,50,1,0,59,3,5,23
07,Rawson                                  ,001,0005 ,0028,366,25,4,101,58,3,1,44,2,5,27
07,Rawson                                  ,001,0005 ,0724,377,26,3,124,69,4,0,61,6,3,14
07,Rawson                                  ,001,0005 ,0725,377,29,3,119,59,1,0,54,3,10,5
07,Rawson                                  ,001,0005 ,0726,376,19,3,118,63,3,0,64,3,9,19
07,Rawson                                  ,001,0005 ,0727,376,14,5,114,58,3,0,73,2,5,17
07,Rawson                                  ,001,0006 ,0029,326,2,5,179,17,2,0,28,4,3,15
07,Rawson                                  ,001,0006 ,0030,326,19,8,135,29,3,2,23,3,1,25
07,Rawson                                  ,001,0006 ,0031,325,23,1,124,7,0,5,38,1,3,31
07,Rawson                                  ,001,0006 ,0032,325,0,0,161,23,4,5,22,4,6,8
07,Rawson                                  ,001,0006 ,0033,325,18,9,148,27,2,4,33,2,4,24
07,Rawson                                  ,001,0006 ,0728,355,15,5,126,20,2,2,56,2,3,79
07,Rawson                                  ,001,0006 ,0729,355,38,8,146,27,2,2,51,5,2,28
07,Rawson                                  ,001,0006 ,0730,354,26,14,136,13,0,4,39,3,0,47
07,Rawson                                  ,001,0006 ,0731,354,26,10,133,22,2,7,32,7,4,57
07,Rawson                                  ,001,0006 ,0732,354,31,5,176,19,1,3,40,0,6,37
07,Rawson                                  ,001,0007 ,0034,344,26,12,197,23,2,3,28,4,3,3
07,Rawson                                  ,001,0007 ,0035,343,42,0,159,18,2,3,24,1,5,0
07,Rawson                                  ,001,0007 ,0036,343,3,4,152,16,2,3,28,0,4,52
07,Rawson                                  ,001,0007 ,0037,343,19,1,148,10,3,1,25,4,6,36
07,Rawson                                  ,001,0007 ,0038,343,22,5,163,18,2,3,22,3,3,19
07,Rawson                                  ,001,0007 ,0733,356,37,5,183,12,0,3,35,4,8,8
07,Rawson                                  ,001,0007 ,0734,356,0,0,155,21,0,1,42,0,8,37
07,Rawson                                  ,001,0007 ,0735,356,41,2,128,19,0,0,49,1,0,56
07,Rawson                                  ,001,0007 ,0736,356,5,13,177,17,0,1,31,2,2,0
