codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0003,0038,0047,0105,0109,0513,0529
07,Rawson,001,0001 ,0001,329,11,6,54,6,13,13,9,8,108
07,Rawson,001,0001 ,0002,329,6,9,44,12,25,8,13,10,111
07,Rawson,001,0001 ,0003,329,10,7,28,11,11,6,15,3,145
07,Rawson,001,0001 ,0004,328,7,5,54,7,15,4,15,10,121
07,Rawson,001,0001 ,0600,303,14,7,48,11,18,9,5,5,130
07,Rawson,001,0001 ,0601,302,8,6,44,11,27,9,14,5,102
07,Rawson,001,0001 ,0602,302,1,10,46,7,17,3,11,2,129
07,Rawson,001,0001 ,0603,302,5,7,35,5,13,7,9,8,137
07,Rawson,001,0002 ,0005,341,5,0,48,3,14,7,16,19,110
07,Rawson,001,0002 ,0006,340,0,0,52,6,19,8,16,7,104
07,Rawson,001,0002 ,0007,340,8,8,54,4,18,7,17,11,113
07,Rawson,001,0002 ,0008,340,7,8,53,8,17,11,14,13,119
07,Rawson,001,0002 ,0009,340,34,0,51,6,14,6,17,12,125
07,Rawson,001,0002 ,0604,308,2,11,61,7,19,10,16,7,118
07,Rawson,001,0002 ,0605,308,8,9,59,9,11,10,16,8,96
07,Rawson,001,0002 ,0606,308,13,0,56,6,19,11,11,7,110
07,Rawson,001,0002 ,0607,307,0,0,0,0,0,0,0,0,0
07,Rawson,001,0002 ,0608,307,9,6,47,2,7,9,17,9,137
07,Rawson,001,0003 ,0010,340,2,15,76,11,13,11,14,3,125
07,Rawson,001,0003 ,0011,340,2,6,63,11,19,13,12,18,130
07,Rawson,001,0003 ,0012,339,8,4,63,9,15,15,10,10,134
07,Rawson,001,0003 ,0013,339,8,10,60,8,15,9,9,11,142
07,Rawson,001,0003 ,0014,339,0,0,50,8,19,8,19,11,127
07,Rawson,001,0003 ,0015,339,13,13,52,15,19,10,16,8,120
07,Rawson,001,0003 ,0016,339,10,8,55,8,12,12,11,12,130
07,Rawson,001,0003 ,0017,339,6,12,59,3,7,9,16,18,122
07,Rawson,001,0003 ,0018,339,13,8,53,8,20,11,18,10,116
07,Rawson,001,0003 ,0019,339,11,13,55,10,9,9,11,24,132
07,Rawson,001,0003 ,0020,339,4,5,41,14,15,10,24,10,137
07,Rawson,001,0003 ,0021,339,3,8,54,10,20,6,10,4,139
07,Rawson,001,0003 ,0022,339,9,6,56,5,16,6,21,8,140
07,Rawson,001,0003 ,0023,339,4,10,71,8,13,4,19,11,124
07,Rawson,001,0003 ,0024,339,4,10,54,12,16,9,15,13,138
07,Rawson,001,0003 ,0025,339,5,1,51,13,17,12,11,13,130
07,Rawson,001,0003 ,0609,353,7,9,59,10,19,6,13,11,146
07,Rawson,001,0003 ,0610,353,10,9,60,8,26,6,16,14,143
07,Rawson,001,0003 ,0611,353,7,7,65,3,3,3,15,13,153
07,Rawson,001,0003 ,0612,353,3,17,68,8,16,8,17,7,149
07,Rawson,001,0003 ,0613,353,0,0,70,4,18,9,18,6,153
07,Rawson,001,0003 ,0614,353,5,16,78,4,16,10,16,9,128
07,Rawson,001,0003 ,0615,353,12,11,53,5,15,7,15,11,155
07,Rawson,001,0003 ,0616,352,7,0,56,6,19,13,23,7,131
07,Rawson,001,0003 ,0617,352,0,0,65,9,23,8,15,13,135
07,Rawson,001,0003 ,0618,352,10,6,65,6,22,6,19,4,159
07,Rawson,001,0003 ,0619,352,8,13,72,9,17,5,14,17,134
07,Rawson,001,0003 ,0620,352,3,3,71,7,18,9,19,4,155
07,Rawson,001,0003 ,0621,352,10,12,66,7,13,11,17,11,148
07,Rawson,001,0003 ,0622,352,5,21,56,0,19,13,16,15,137
07,Rawson,001,0003 ,0623,352,4,23,60,7,15,5,16,7,139
07,Rawson,001,0003 ,0624,352,3,11,70,11,18,10,26,9,136
07,Rawson,001,0004 ,0026,253,6,9,37,10,14,6,11,7,105
07,Rawson,001,0004 ,0027,253,6,8,41,14,10,12,12,7,81
07,Rawson,001,0004 ,0028,253,6,0,48,3,10,6,14,10,89
07,Rawson,001,0004 ,0625,251,7,8,35,6,12,11,10,1,104
07,Rawson,001,0004 ,0626,251,6,5,41,12,17,6,7,3,105
07,Rawson,001,0004 ,0627,250,7,9,38,6,18,8,12,7,99
07,Rawson,001,0005 ,0029,343,10,0,54,14,24,11,17,11,111
07,Rawson,001,0005 ,0030,342,8,10,56,6,25,8,17,11,104
07,Rawson,001,0005 ,0031,342,5,1,75,13,17,17,12,8,99
07,Rawson,001,0005 ,0032,342,8,5,61,8,23,16,9,13,100
07,Rawson,001,0005 ,0033,342,3,10,71,8,15,15,17,16,116
07,Rawson,001,0005 ,0628,301,9,3,77,10,21,13,15,7,92
07,Rawson,001,0005 ,0629,301,4,1,57,10,21,13,14,8,97
07,Rawson,001,0005 ,0630,300,0,0,53,8,24,9,18,7,83
07,Rawson,001,0005 ,0631,300,5,7,51,7,22,13,14,3,108
07,Rawson,001,0005 ,0632,300,5,11,54,7,29,7,12,5,102
07,Rawson,001,0005 ,0633,300,7,7,57,9,22,7,20,9,104
07,Rawson,001,0006 ,0034,332,6,12,28,4,7,4,23,7,170
07,Rawson,001,0006 ,0035,332,3,10,30,3,12,7,12,13,160
07,Rawson,001,0006 ,0036,332,11,8,30,8,17,10,6,15,155
07,Rawson,001,0006 ,0037,332,3,4,30,14,12,14,14,9,160
07,Rawson,001,0006 ,0038,331,5,13,41,12,12,7,11,9,157
07,Rawson,001,0006 ,0634,356,2,11,37,5,19,11,19,8,187
07,Rawson,001,0006 ,0635,355,4,9,38,3,17,10,15,11,185
07,Rawson,001,0006 ,0636,355,8,24,29,7,14,15,14,9,169
07,Rawson,001,0006 ,0637,355,8,6,46,10,15,9,13,12,192
07,Rawson,001,0006 ,0638,355,4,13,36,11,14,15,13,11,169
07,Rawson,001,0007 ,0039,342,13,6,36,11,12,11,14,7,143
07,Rawson,001,0007 ,0040,342,7,11,26,12,13,12,10,13,13
07,Rawson,001,0007 ,0041,341,14,6,29,4,0,14,14,0,158
07,Rawson,001,0007 ,0042,341,22,7,28,11,15,10,14,9,144
07,Rawson,001,0007 ,0043,341,2,5,26,9,12,6,15,8,176
07,Rawson,001,0007 ,0639,303,10,6,24,9,16,7,16,8,149
07,Rawson,001,0007 ,0640,303,7,7,26,3,16,6,16,5,163
07,Rawson,001,0007 ,0641,303,4,8,30,5,19,11,12,5,145
07,Rawson,001,0007 ,0642,302,10,8,27,8,17,3,12,5,156
07,Rawson,001,0007 ,0643,302,6,9,25,9,8,4,11,7,157
07,Rawson,001,0007 ,0644,302,2,20,36,4,14,8,14,9,144
07,Rawson,001,0008 ,0044,305,6,3,26,12,8,7,13,9,154
07,Rawson,001,0008 ,0045,305,18,6,30,8,11,13,14,6,145
07,Rawson,001,0008 ,0046,305,8,8,24,4,15,11,15,4,161
07,Rawson,001,0008 ,0047,305,0,0,33,8,5,6,6,8,155
07,Rawson,001,0008 ,0048,305,5,2,25,6,14,7,9,2,173
07,Rawson,001,0008 ,0645,302,3,15,42,6,17,6,13,6,158
07,Rawson,001,0008 ,0646,302,4,8,36,12,14,10,11,9,146
07,Rawson,001,0008 ,0647,302,19,0,34,5,25,17,10,3,149
07,Rawson,001,0008 ,0648,301,8,9,28,5,23,13,17,6,162
07,Rawson,001,0008 ,0649,301,5,3,40,6,14,13,12,7,172
07,Rawson,001,0009 ,0049,344,13,9,26,3,15,7,9,8,175
07,Rawson,001,0009 ,0050,343,0,0,35,5,15,11,14,10,168
07,Rawson,001,0009 ,0051,343,10,7,27,7,18,17,13,16,168
07,Rawson,001,0009 ,0052,343,6,9,27,6,13,4,11,6,204
07,Rawson,001,0009 ,0053,343,4,12,26,4,21,8,15,2,170
07,Rawson,001,0009 ,0054,343,0,0,37,5,17,13,9,11,160
07,Rawson,001,0009 ,0055,343,4,12,38,7,13,10,13,8,173
07,Rawson,001,0009 ,0056,343,4,13,37,4,15,11,10,14,166
07,Rawson,001,0009 ,0057,343,8,12,26,5,12,7,9,8,179
07,Rawson,001,0009 ,0058,343,5,12,26,9,11,10,13,6,181
07,Rawson,001,0009 ,0059,343,4,6,23,6,20,5,6,7,183
07,Rawson,001,0009 ,0060,343,10,9,31,9,11,11,11,12,161
07,Rawson,001,0009 ,0061,343,1,4,31,9,13,4,11,6,180
07,Rawson,001,0009 ,0062,343,6,3,32,8,8,13,19,12,161
07,Rawson,001,0009 ,0063,343,5,10,27,9,18,5,12,13,176
07,Rawson,001,0009 ,0064,343,8,7,23,10,11,10,16,8,153
07,Rawson,001,0009 ,0065,343,10,5,32,6,22,11,17,10,172
07,Rawson,001,0009 ,0650,355,6,14,39,7,14,5,18,11,195
07,Rawson,001,0009 ,0651,355,9,3,34,9,30,6,11,6,183
07,Rawson,001,0009 ,0652,355,12,9,36,4,17,8,11,9,178
07,Rawson,001,0009 ,0653,354,12,17,31,9,13,7,14,9,188
07,Rawson,001,0009 ,0654,354,5,9,35,9,18,11,11,10,196
07,Rawson,001,0009 ,0655,354,8,12,32,10,28,9,13,5,183
07,Rawson,001,0009 ,0656,354,9,5,35,9,19,15,12,8,190
07,Rawson,001,0009 ,0657,354,2,9,42,5,17,11,9,8,204
07,Rawson,001,0009 ,0658,354,0,0,0,0,0,0,0,0,0
07,Rawson,001,0009 ,0659,354,4,10,35,4,12,6,2,10,204
07,Rawson,001,0009 ,0660,354,0,12,28,8,21,13,13,10,190
07,Rawson,001,0009 ,0661,354,3,19,39,7,14,13,13,13,179
07,Rawson,001,0009 ,0662,354,3,0,46,8,12,11,11,5,179
07,Rawson,001,0009 ,0663,354,0,0,46,4,25,10,15,7,179
07,Rawson,001,0009 ,0664,354,0,0,42,6,13,7,16,6,193
07,Rawson,001,0009 ,0665,354,15,11,31,6,16,14,13,11,191
07,Rawson,001,0009 ,0666,354,8,10,42,4,21,9,13,7,193
07,Rawson,001,0010 ,0066,320,0,0,34,15,24,16,10,7,146
07,Rawson,001,0010 ,0067,320,0,0,22,0,0,0,0,0,0
07,Rawson,001,0010 ,0068,320,0,12,32,8,17,12,15,6,154
07,Rawson,001,0010 ,0069,320,4,10,38,13,22,14,12,6,150
07,Rawson,001,0010 ,0070,320,9,10,11,8,20,17,9,4,131
07,Rawson,001,0010 ,0071,320,9,4,34,12,21,13,8,9,148
07,Rawson,001,0010 ,0072,320,8,11,24,12,23,11,13,10,142
07,Rawson,001,0010 ,0667,312,12,9,40,5,14,9,19,6,151
07,Rawson,001,0010 ,0668,312,9,9,35,8,25,11,9,9,151
07,Rawson,001,0010 ,0669,311,6,10,27,8,9,9,10,7,177
07,Rawson,001,0010 ,0670,311,10,10,38,13,16,12,13,8,138
07,Rawson,001,0010 ,0671,311,16,8,27,3,14,10,10,6,167
07,Rawson,001,0010 ,0672,311,7,9,28,8,27,15,6,8,150
07,Rawson,001,0010 ,0673,311,8,8,39,4,16,7,13,9,157
07,Rawson,001,0011 ,0073,314,3,4,46,14,15,11,12,10,137
07,Rawson,001,0011 ,0074,314,8,14,26,10,25,13,15,11,120
07,Rawson,001,0011 ,0075,314,7,2,41,8,17,13,12,7,149
07,Rawson,001,0011 ,0076,314,8,6,31,11,17,6,12,11,143
07,Rawson,001,0011 ,0077,313,8,9,50,5,12,12,11,6,119
07,Rawson,001,0011 ,0078,313,17,2,29,5,17,12,14,3,147
07,Rawson,001,0011 ,0674,334,4,6,52,9,20,9,22,6,150
07,Rawson,001,0011 ,0675,334,3,9,36,9,22,8,14,8,159
07,Rawson,001,0011 ,0676,333,4,7,44,4,22,15,14,8,145
07,Rawson,001,0011 ,0677,333,9,4,35,6,17,6,11,6,161
07,Rawson,001,0011 ,0678,333,9,7,48,3,21,7,17,6,138
07,Rawson,001,0011 ,0679,333,10,10,45,6,24,9,19,6,138
07,Rawson,001,0012 ,0079,342,0,5,54,7,21,10,16,6,107
07,Rawson,001,0012 ,0080,342,11,5,54,5,11,11,13,8,119
07,Rawson,001,0012 ,0081,342,5,4,53,4,27,15,14,10,104
07,Rawson,001,0012 ,0082,342,7,2,50,4,20,20,19,5,117
07,Rawson,001,0012 ,0083,342,4,4,50,9,29,10,17,6,119
07,Rawson,001,0012 ,0084,341,9,7,56,10,26,8,15,8,126
07,Rawson,001,0012 ,0680,334,8,4,53,9,27,7,18,2,114
07,Rawson,001,0012 ,0681,334,10,5,48,7,24,9,20,11,100
07,Rawson,001,0012 ,0682,334,4,5,44,3,35,10,15,4,115
07,Rawson,001,0012 ,0683,334,0,0,53,7,37,6,15,6,115
07,Rawson,001,0012 ,0684,334,5,4,50,5,30,11,19,5,130
07,Rawson,001,0012 ,0685,333,8,3,75,8,30,16,12,10,86
07,Rawson,001,0012 ,0686,333,4,11,53,4,36,9,20,5,96
07,Rawson,001,0013 ,0085,330,7,4,57,5,34,14,15,5,109
07,Rawson,001,0013 ,0086,330,13,1,54,8,36,8,10,6,93
07,Rawson,001,0013 ,0087,329,13,0,61,6,24,8,16,1,94
07,Rawson,001,0013 ,0687,302,8,0,55,2,29,9,17,7,91
07,Rawson,001,0013 ,0688,302,2,5,56,5,35,6,14,8,73
07,Rawson,001,0013 ,0689,301,0,0,52,6,17,5,14,3,85
07,Rawson,001,0013 ,0690,301,2,3,50,2,25,11,16,8,77
07,Rawson,001,0014 ,0088,323,4,9,37,6,17,12,13,9,117
07,Rawson,001,0014 ,0089,322,11,3,41,6,20,9,7,5,117
07,Rawson,001,0014 ,0090,322,6,2,49,8,18,9,18,3,106
07,Rawson,001,0014 ,0091,322,7,6,29,5,19,16,17,11,116
07,Rawson,001,0014 ,0092,322,4,6,52,7,20,8,13,4,115
07,Rawson,001,0014 ,0691,351,4,9,54,7,34,10,12,9,123
07,Rawson,001,0014 ,0692,351,19,5,65,3,21,12,12,6,109
07,Rawson,001,0014 ,0693,351,13,5,47,11,24,13,13,10,140
07,Rawson,001,0014 ,0694,351,7,6,63,6,27,8,15,6,121
07,Rawson,001,0014 ,0695,350,11,7,47,11,27,16,23,8,113
07,Rawson,001,0015 ,0093,353,0,0,42,11,26,15,26,11,149
07,Rawson,001,0015 ,0094,353,6,12,33,10,13,10,11,12,167
07,Rawson,001,0015 ,0696,258,5,14,28,5,16,7,11,5,124
07,Rawson,001,0015 ,0697,258,3,6,24,9,19,9,13,9,118
07,Rawson,001,0015 ,0698,257,6,9,26,5,18,10,17,4,114
07,Rawson,001,0016 ,0095,319,7,8,44,9,18,13,11,12,123
07,Rawson,001,0016 ,0096,319,9,10,36,6,22,13,21,4,120
07,Rawson,001,0016 ,0097,319,4,4,53,17,12,14,18,8,112
07,Rawson,001,0016 ,0098,319,0,0,37,7,15,18,16,6,122
07,Rawson,001,0016 ,0099,319,2,4,34,9,19,13,21,13,138
07,Rawson,001,0016 ,0100,319,4,8,55,7,20,8,19,7,119
07,Rawson,001,0016 ,0101,319,7,11,58,6,15,11,12,11,128
07,Rawson,001,0016 ,0699,341,8,7,48,9,30,11,20,3,146
07,Rawson,001,0016 ,0700,341,4,11,55,6,28,23,17,8,130
07,Rawson,001,0016 ,0701,341,5,9,50,5,30,18,13,4,123
07,Rawson,001,0016 ,0702,341,7,11,46,3,31,9,24,8,133
07,Rawson,001,0016 ,0703,341,2,7,46,16,26,14,32,15,124
07,Rawson,001,0016 ,0704,341,13,10,49,3,24,8,14,5,150
07,Rawson,001,0016 ,0705,341,8,12,46,7,33,11,13,4,135
07,Rawson,001,0017 ,0102,309,4,8,51,6,26,13,16,9,89
07,Rawson,001,0017 ,0103,308,2,6,65,6,23,9,14,7,82
07,Rawson,001,0017 ,0104,308,3,5,56,7,30,11,17,7,76
07,Rawson,001,0017 ,0105,308,6,4,48,6,28,11,16,3,89
07,Rawson,001,0017 ,0706,347,9,4,62,6,36,10,18,4,101
07,Rawson,001,0017 ,0707,346,0,0,63,1,39,9,17,6,97
07,Rawson,001,0017 ,0708,346,11,5,59,7,40,9,21,4,97
07,Rawson,001,0017 ,0709,346,7,4,73,5,35,12,15,5,103
07,Rawson,001,0018 ,0106,322,6,4,51,7,18,12,21,8,115
07,Rawson,001,0018 ,0107,322,14,4,55,1,21,10,11,8,119
07,Rawson,001,0018 ,0108,322,2,10,42,3,19,12,21,8,113
07,Rawson,001,0018 ,0109,322,8,8,51,7,22,11,13,6,109
07,Rawson,001,0018 ,0110,321,8,12,52,0,22,10,18,13,109
07,Rawson,001,0018 ,0111,321,3,13,66,4,34,8,22,6,84
07,Rawson,001,0018 ,0710,315,6,11,46,6,31,11,22,5,100
07,Rawson,001,0018 ,0711,314,11,6,46,7,23,11,19,7,97
07,Rawson,001,0018 ,0712,314,18,4,58,3,32,15,16,5,99
07,Rawson,001,0018 ,0713,314,8,8,48,4,29,9,14,8,112
