codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0003,0038,0047,0152,0157,0501
07,Rawson,001,0001 ,0001,313,1,3,31,7,4,6,140,47
07,Rawson,001,0001 ,0002,316,1,7,34,10,2,11,131,40
07,Rawson,001,0001 ,0003,313,3,6,35,5,2,7,116,55
07,Rawson,001,0001 ,0004,312,1,0,19,5,2,8,145,50
07,Rawson,001,0001 ,0005,312,3,3,33,6,5,5,155,37
07,Rawson,001,0001 ,0006,313,2,2,26,7,4,6,142,59
07,Rawson,001,0001 ,0007,310,0,2,23,3,3,6,133,54
07,Rawson,001,0001 ,0008,311,3,2,32,5,1,5,139,57
07,Rawson,001,0002 ,0009,344,1,1,41,7,6,7,150,43
07,Rawson,001,0002 ,0010,348,6,10,29,3,3,9,130,57
07,Rawson,001,0002 ,0011,349,24,8,38,8,1,7,145,42
07,Rawson,001,0002 ,0012,345,5,2,34,10,5,13,133,40
07,Rawson,001,0002 ,0013,346,2,7,37,7,2,5,153,44
07,Rawson,001,0002 ,0014,345,0,5,44,12,2,7,136,44
07,Rawson,001,0002 ,0015,343,0,11,34,6,3,5,149,56
07,Rawson,001,0002 ,0016,342,2,5,27,9,5,11,135,55
07,Rawson,001,0002 ,0017,344,3,11,31,6,6,7,145,47
07,Rawson,001,0002 ,0018,343,3,10,33,7,4,14,148,42
07,Rawson,001,0002 ,0019,343,5,4,37,4,2,14,146,46
07,Rawson,001,0003 ,0020,346,5,10,37,5,5,11,167,57
07,Rawson,001,0003 ,0021,348,3,7,33,9,4,4,167,50
07,Rawson,001,0003 ,0022,349,2,9,37,7,0,13,169,46
07,Rawson,001,0003 ,0023,346,1,2,30,5,7,6,154,60
07,Rawson,001,0003 ,0024,345,1,7,56,13,2,10,138,56
07,Rawson,001,0003 ,0025,346,1,4,34,5,5,8,169,50
07,Rawson,001,0003 ,0026,349,0,0,41,8,5,5,173,40
07,Rawson,001,0003 ,0027,345,1,7,42,7,2,6,156,63
07,Rawson,001,0003 ,0028,347,3,2,43,14,5,8,152,59
07,Rawson,001,0003 ,0029,349,1,7,55,8,6,6,137,58
07,Rawson,001,0003 ,0030,346,3,6,42,6,3,6,157,55
07,Rawson,001,0003 ,0031,348,1,2,41,10,7,6,152,64
07,Rawson,001,0003 ,0032,346,1,3,49,10,4,4,159,49
07,Rawson,001,0003 ,0033,343,1,8,37,9,3,10,155,43
07,Rawson,001,0003 ,0034,350,3,5,32,7,4,6,166,57
07,Rawson,001,0003 ,0035,349,1,4,56,7,7,5,159,46
07,Rawson,001,0003 ,0036,347,1,8,45,3,4,14,158,56
07,Rawson,001,0003 ,0037,345,2,2,49,7,2,16,133,52
07,Rawson,001,0003 ,0038,350,1,3,31,8,6,5,160,66
07,Rawson,001,0003 ,0039,341,1,7,39,10,5,5,147,64
07,Rawson,001,0003 ,0040,346,1,4,49,12,2,4,147,49
07,Rawson,001,0003 ,0041,345,2,3,39,9,2,8,158,63
07,Rawson,001,0003 ,0042,345,2,2,42,6,5,12,138,60
07,Rawson,001,0003 ,0043,345,4,4,22,10,1,8,169,62
07,Rawson,001,0003 ,0044,352,2,4,47,10,10,10,155,46
07,Rawson,001,0003 ,0045,343,2,3,30,9,3,9,146,61
07,Rawson,001,0003 ,0046,346,4,5,31,11,4,6,149,55
07,Rawson,001,0003 ,0047,345,0,8,38,5,4,9,161,53
07,Rawson,001,0003 ,0048,344,2,10,45,5,3,8,163,41
07,Rawson,001,0003 ,0049,348,2,3,31,9,2,12,167,54
07,Rawson,001,0003 ,0050,348,4,5,31,6,4,2,144,71
07,Rawson,001,0003 ,0051,344,4,6,46,10,5,9,161,40
07,Rawson,001,0003 ,0052,345,1,2,48,7,4,5,154,59
07,Rawson,001,0003 ,0053,344,3,6,23,5,5,5,178,53
07,Rawson,001,0003 ,0054,342,0,5,42,7,2,12,166,54
07,Rawson,001,0003 ,0055,347,8,4,45,5,7,6,158,60
07,Rawson,001,0003 ,0056,342,4,5,32,9,4,8,167,40
07,Rawson,001,0004 ,0057,318,2,4,20,7,7,9,140,61
07,Rawson,001,0004 ,0058,313,2,1,21,9,7,10,146,56
07,Rawson,001,0004 ,0059,310,3,4,23,2,4,17,135,54
07,Rawson,001,0004 ,0060,315,3,6,32,2,6,7,151,47
07,Rawson,001,0004 ,0061,314,3,6,21,4,2,8,156,48
