codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0038,0060,0074,0152,0157,0501,0530,0531
07,Rawson,001,0001 ,0001,351,0,0,0,2,0,1,0,75,17,0
07,Rawson,001,0001 ,0002,347,0,0,0,0,0,0,0,0,0,0
07,Rawson,001,0001 ,0003,349,57,2,3,2,0,2,1,107,9,66
07,Rawson,001,0001 ,0004,349,48,4,3,1,1,6,3,84,19,91
07,Rawson,001,0001 ,0005,349,52,4,0,1,0,3,1,91,23,96
07,Rawson,001,0001 ,0006,347,60,3,2,0,2,0,2,82,18,82
07,Rawson,001,0001 ,0007,347,0,0,0,2,1,3,1,0,30,74
07,Rawson,001,0002 ,0008,337,0,0,0,0,0,0,0,0,0,0
07,Rawson,001,0002 ,0009,340,63,3,1,0,1,0,0,64,30,91
07,Rawson,001,0002 ,0010,336,58,5,0,0,0,6,0,63,29,0
07,Rawson,001,0002 ,0011,336,62,3,0,3,0,2,2,57,27,77
07,Rawson,001,0002 ,0012,340,41,8,4,1,1,11,0,55,41,63
07,Rawson,001,0002 ,0013,334,62,6,2,2,1,3,0,67,29,77
07,Rawson,001,0002 ,0014,335,45,5,0,1,1,1,4,78,30,96
07,Rawson,001,0002 ,0015,334,61,0,1,2,0,0,0,82,0,96
07,Rawson,001,0002 ,0016,335,60,7,0,0,0,4,0,65,31,75
07,Rawson,001,0002 ,0017,334,47,0,2,1,2,1,1,67,31,89
07,Rawson,001,0002 ,0018,336,47,0,1,4,3,6,1,66,37,84
07,Rawson,001,0002 ,0019,336,0,0,0,0,0,0,0,0,0,0
07,Rawson,001,0003 ,0020,347,74,6,1,0,2,4,2,77,24,77
07,Rawson,001,0003 ,0021,346,62,1,2,2,0,3,2,72,28,92
07,Rawson,001,0003 ,0022,345,0,0,0,0,2,3,2,92,23,79
07,Rawson,001,0003 ,0023,346,73,2,2,1,3,3,4,78,27,82
07,Rawson,001,0003 ,0024,346,67,0,3,3,3,1,0,86,0,75
07,Rawson,001,0003 ,0025,347,0,0,0,0,0,0,0,0,0,0
07,Rawson,001,0003 ,0026,346,2,0,0,0,0,0,0,0,0,0
07,Rawson,001,0003 ,0027,345,66,0,2,1,2,4,0,86,31,73
07,Rawson,001,0003 ,0028,346,0,2,2,3,1,4,2,48,28,83
07,Rawson,001,0003 ,0029,347,70,1,2,1,0,5,1,70,36,89
07,Rawson,001,0003 ,0030,346,65,0,0,0,4,2,0,71,44,78
07,Rawson,001,0003 ,0031,346,56,6,4,3,2,8,1,86,33,83
