codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0038,0071,0074,0153,0501,0519,0538
07,Rawson,001,0001 ,0001,310,6,11,7,13,7,7,57,45,70
07,Rawson,001,0001 ,0002,310,5,14,5,8,7,5,49,42,70
07,Rawson,001,0001 ,0003,310,8,20,3,8,5,7,48,48,56
07,Rawson,001,0001 ,0004,309,4,14,6,2,2,5,63,50,68
07,Rawson,001,0001 ,0005,309,1,7,2,4,0,6,58,49,81
07,Rawson,001,0001 ,0006,309,6,6,1,7,2,1,97,53,65
07,Rawson,001,0001 ,0007,309,3,16,4,10,5,4,59,44,62
07,Rawson,001,0001 ,0008,310,5,12,6,7,6,6,65,43,59
07,Rawson,001,0002 ,0009,329,6,10,7,6,5,8,48,67,51
07,Rawson,001,0002 ,0010,329,9,7,8,10,4,5,55,59,71
07,Rawson,001,0002 ,0011,329,5,8,5,4,4,13,56,58,71
07,Rawson,001,0002 ,0012,328,3,12,5,10,7,1,46,69,62
07,Rawson,001,0002 ,0013,328,5,7,3,12,5,6,40,76,53
07,Rawson,001,0002 ,0014,328,3,20,6,10,4,7,56,53,66
07,Rawson,001,0002 ,0015,328,4,7,8,9,3,10,36,60,78
07,Rawson,001,0002 ,0016,329,3,5,10,8,4,9,52,59,68
07,Rawson,001,0002 ,0017,328,1,16,6,8,3,12,53,63,74
07,Rawson,001,0002 ,0018,328,7,16,5,11,2,5,49,52,70
07,Rawson,001,0002 ,0019,328,8,20,2,7,4,3,42,67,73
07,Rawson,001,0002 ,0020,328,5,13,5,6,4,6,54,62,67
07,Rawson,001,0002 ,0021,329,5,19,2,5,2,4,52,59,59
07,Rawson,001,0003 ,0022,350,4,18,3,16,2,8,53,52,82
07,Rawson,001,0003 ,0023,349,10,11,7,12,4,4,64,60,77
07,Rawson,001,0003 ,0024,349,5,25,6,6,3,4,61,53,81
07,Rawson,001,0003 ,0025,350,3,13,4,10,9,10,75,59,78
07,Rawson,001,0003 ,0026,349,6,20,7,6,7,10,49,80,77
07,Rawson,001,0003 ,0027,349,5,9,8,8,6,9,77,62,73
07,Rawson,001,0003 ,0028,349,4,12,5,7,6,11,53,65,83
07,Rawson,001,0003 ,0029,349,6,23,7,6,5,5,58,53,75
07,Rawson,001,0003 ,0030,349,9,17,2,4,6,6,64,62,76
07,Rawson,001,0003 ,0031,349,10,4,6,3,4,7,55,95,73
07,Rawson,001,0003 ,0032,349,5,17,4,7,4,4,54,60,84
07,Rawson,001,0003 ,0033,349,7,5,10,13,5,6,67,70,66
07,Rawson,001,0003 ,0034,349,0,0,0,0,0,0,0,0,0
07,Rawson,001,0003 ,0035,349,0,0,0,0,0,0,0,0,0
07,Rawson,001,0003 ,0036,349,0,0,0,0,0,0,0,0,0
07,Rawson,001,0003 ,0037,350,9,8,7,6,4,3,75,68,79
07,Rawson,001,0003 ,0038,349,4,12,6,12,8,1,67,63,75
07,Rawson,001,0003 ,0039,349,5,19,3,10,8,17,65,61,72
07,Rawson,001,0003 ,0040,349,5,17,7,5,3,10,43,84,75
07,Rawson,001,0003 ,0041,349,4,10,10,13,5,10,74,66,68
07,Rawson,001,0003 ,0042,349,5,21,3,9,3,5,49,61,89
07,Rawson,001,0003 ,0043,349,3,8,8,4,6,12,41,70,88
07,Rawson,001,0003 ,0044,349,11,11,9,9,4,11,64,55,74
07,Rawson,001,0003 ,0045,349,2,11,10,9,5,3,85,52,66
07,Rawson,001,0003 ,0046,349,5,14,4,5,6,7,68,55,99
07,Rawson,001,0003 ,0047,349,1,14,4,11,7,9,66,65,80
07,Rawson,001,0003 ,0048,349,3,4,8,12,4,9,68,63,79
07,Rawson,001,0003 ,0049,349,2,12,8,6,3,9,63,63,76
07,Rawson,001,0003 ,0050,349,5,19,9,9,1,11,62,75,73
07,Rawson,001,0003 ,0051,349,6,23,10,7,1,10,46,63,93
07,Rawson,001,0003 ,0052,349,6,19,4,8,6,8,71,66,76
07,Rawson,001,0003 ,0053,349,3,10,10,12,3,11,67,45,101
07,Rawson,001,0003 ,0054,349,6,17,12,3,5,5,59,51,94
07,Rawson,001,0003 ,0055,349,5,9,6,5,6,6,76,60,87
