codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0038,0060,0074,0152,0157,0501,0530,0531
07,Rawson,001,0001 ,0001,351,0,0,0,3,0,0,0,75,16,0
07,Rawson,001,0001 ,0002,347,0,0,0,0,0,0,0,0,0,0
07,Rawson,001,0001 ,0003,349,56,2,3,2,0,2,1,107,9,67
07,Rawson,001,0001 ,0004,349,59,4,3,1,1,5,3,84,19,91
07,Rawson,001,0001 ,0005,349,48,4,0,1,0,2,1,91,28,96
07,Rawson,001,0001 ,0006,347,55,2,2,0,2,0,2,85,18,85
07,Rawson,001,0001 ,0007,347,0,0,0,2,2,1,1,0,30,73
07,Rawson,001,0002 ,0008,337,0,0,0,0,0,0,0,0,0,0
07,Rawson,001,0002 ,0009,340,61,3,1,0,1,0,0,63,32,92
07,Rawson,001,0002 ,0010,336,57,5,0,0,0,6,0,63,29,0
07,Rawson,001,0002 ,0011,336,59,3,0,3,0,2,2,59,28,77
07,Rawson,001,0002 ,0012,340,41,8,3,1,1,11,0,55,43,63
07,Rawson,001,0002 ,0013,334,58,6,3,3,1,3,0,67,31,77
07,Rawson,001,0002 ,0014,335,45,5,0,1,1,1,0,77,31,96
07,Rawson,001,0002 ,0015,334,62,0,0,2,0,0,0,83,28,94
07,Rawson,001,0002 ,0016,335,58,7,0,0,0,3,0,68,31,75
07,Rawson,001,0002 ,0017,334,49,0,2,1,2,2,1,65,30,89
07,Rawson,001,0002 ,0018,336,48,0,1,4,3,5,1,67,36,84
07,Rawson,001,0002 ,0019,336,0,0,0,0,0,0,0,0,0,0
07,Rawson,001,0003 ,0020,347,71,6,1,0,2,3,2,79,26,77
07,Rawson,001,0003 ,0021,346,64,2,2,2,0,3,2,72,26,91
07,Rawson,001,0003 ,0022,345,0,0,0,0,2,3,2,92,24,77
07,Rawson,001,0003 ,0023,346,75,2,2,1,3,3,4,78,26,80
07,Rawson,001,0003 ,0024,346,66,0,3,3,4,1,0,86,40,74
07,Rawson,001,0003 ,0025,347,0,0,0,0,0,0,0,0,0,0
07,Rawson,001,0003 ,0026,346,2,0,0,0,0,0,0,0,0,0
07,Rawson,001,0003 ,0027,345,64,0,2,1,2,4,0,87,33,72
07,Rawson,001,0003 ,0028,346,0,2,3,2,1,4,2,50,19,83
07,Rawson,001,0003 ,0029,347,68,1,2,1,0,5,2,75,35,86
07,Rawson,001,0003 ,0030,346,65,0,0,0,4,3,1,70,45,75
07,Rawson,001,0003 ,0031,346,55,6,4,3,2,8,1,87,33,83
07,Rawson,001,0003 ,0032,347,55,4,1,0,2,3,1,86,35,81
07,Rawson,001,0003 ,0033,344,0,8,0,0,0,5,0,79,19,0
07,Rawson,001,0003 ,0034,345,0,0,0,4,0,4,1,61,27,2
07,Rawson,001,0003 ,0035,347,76,10,2,0,2,0,2,69,32,89
07,Rawson,001,0003 ,0036,346,70,0,0,1,0,3,2,72,38,85
07,Rawson,001,0003 ,0037,345,0,0,0,0,0,0,0,0,0,0
07,Rawson,001,0003 ,0038,345,53,2,0,0,4,3,1,77,35,87
07,Rawson,001,0003 ,0039,346,55,1,1,0,1,3,3,86,26,79
07,Rawson,001,0003 ,0040,346,0,0,3,3,1,6,3,67,40,78
07,Rawson,001,0003 ,0041,347,55,5,2,2,2,3,1,85,29,81
07,Rawson,001,0003 ,0042,348,0,0,0,0,0,0,0,0,0,0
07,Rawson,001,0003 ,0043,348,64,4,1,2,6,7,0,93,28,68
07,Rawson,001,0003 ,0044,349,1,1,0,2,0,1,3,77,22,95
07,Rawson,001,0003 ,0045,346,69,5,2,3,1,1,0,77,24,83
07,Rawson,001,0003 ,0046,347,0,0,0,0,0,4,1,66,25,0
07,Rawson,001,0003 ,0047,347,0,3,3,0,3,2,1,77,32,75
07,Rawson,001,0003 ,0048,346,0,0,1,0,2,3,2,77,31,96
07,Rawson,001,0003 ,0049,348,0,0,0,0,0,0,2,79,0,79
07,Rawson,001,0003 ,0050,346,65,3,1,1,1,7,1,63,22,97
07,Rawson,001,0003 ,0051,347,68,3,2,1,1,6,0,91,23,77
07,Rawson,001,0003 ,0052,345,0,2,0,0,0,4,1,81,37,84
07,Rawson,001,0003 ,0053,346,52,0,4,1,0,5,1,109,26,72
07,Rawson,001,0003 ,0054,349,149,5,1,2,1,6,4,69,37,0
07,Rawson,001,0003 ,0055,347,56,18,2,0,0,4,3,84,36,84
07,Rawson,001,0003 ,0056,346,0,0,1,1,3,1,0,176,28,89
07,Rawson,001,0003 ,0057,345,0,0,0,0,0,0,0,2,0,0
07,Rawson,001,0004 ,0058,300,58,2,0,4,2,2,1,74,20,75
07,Rawson,001,0004 ,0059,300,51,0,2,1,0,3,0,85,13,85
07,Rawson,001,0004 ,0060,298,52,2,1,1,2,2,1,68,26,90
07,Rawson,001,0004 ,0061,300,176,3,1,0,0,0,0,77,20,78
07,Rawson,001,0004 ,0062,298,0,0,1,2,0,2,2,57,19,80
07,Rawson,001,0004 ,0063,299,1,11,2,0,1,4,0,78,28,0
07,Rawson,001,0005 ,0064,351,0,0,0,0,0,0,0,0,0,0
07,Rawson,001,0005 ,0065,352,48,10,3,0,0,6,1,72,53,74
07,Rawson,001,0005 ,0066,352,61,9,2,2,0,12,4,76,53,61
07,Rawson,001,0005 ,0067,354,68,3,1,0,3,8,1,79,44,57
07,Rawson,001,0005 ,0068,354,1,4,3,1,1,7,0,74,61,76
07,Rawson,001,0005 ,0069,352,51,2,3,0,1,7,3,63,47,68
07,Rawson,001,0005 ,0070,352,64,7,0,0,0,0,1,77,52,66
07,Rawson,001,0005 ,0071,349,54,4,1,0,2,3,1,63,47,78
07,Rawson,001,0005 ,0072,352,72,0,4,2,1,4,3,69,7,75
07,Rawson,001,0005 ,0073,351,0,0,2,0,0,0,0,0,0,0
07,Rawson,001,0005 ,0074,349,76,2,2,2,3,2,1,80,35,66
07,Rawson,001,0005 ,0075,352,58,1,3,1,0,8,0,81,42,74
07,Rawson,001,0005 ,0076,352,80,5,1,1,1,7,2,39,55,77
07,Rawson,001,0005 ,0077,352,55,0,7,3,2,11,2,60,52,80
07,Rawson,001,0005 ,0078,353,64,0,0,4,1,8,1,118,48,89
07,Rawson,001,0005 ,0079,350,72,4,4,1,1,8,3,62,48,89
07,Rawson,001,0005 ,0080,350,50,4,5,0,0,5,3,62,53,79
07,Rawson,001,0006 ,0081,326,63,11,0,7,0,5,2,50,13,119
07,Rawson,001,0006 ,0082,323,0,0,0,0,0,0,0,0,0,0
07,Rawson,001,0006 ,0083,323,67,2,2,0,0,6,0,61,0,130
07,Rawson,001,0006 ,0084,326,0,0,2,3,0,0,0,48,14,0
07,Rawson,001,0006 ,0085,324,0,7,3,2,1,1,0,54,9,111
07,Rawson,001,0006 ,0086,322,62,4,2,2,0,5,1,51,11,119
07,Rawson,001,0006 ,0087,323,0,0,4,2,1,3,0,50,17,133
07,Rawson,001,0006 ,0088,322,0,0,2,0,0,0,3,0,12,123
07,Rawson,001,0006 ,0089,323,0,0,0,0,0,0,0,0,0,0
07,Rawson,001,0006 ,0090,323,50,29,4,0,0,1,2,48,9,122
07,Rawson,001,0006 ,0091,323,70,13,4,2,0,2,4,57,14,105
07,Rawson,001,0006 ,0092,322,0,0,0,0,1,2,1,46,8,129
07,Rawson,001,0007 ,0093,335,63,4,2,1,0,4,3,50,14,120
07,Rawson,001,0007 ,0094,334,0,2,4,0,0,5,4,41,16,121
07,Rawson,001,0007 ,0095,331,0,3,2,0,2,0,1,52,15,117
07,Rawson,001,0007 ,0096,331,53,0,2,3,1,1,5,56,14,119
07,Rawson,001,0007 ,0097,331,88,0,4,1,1,0,0,0,96,96
07,Rawson,001,0007 ,0098,334,64,6,2,1,0,1,0,59,17,123
07,Rawson,001,0007 ,0099,332,44,10,1,1,0,3,1,50,11,123
07,Rawson,001,0007 ,0100,333,55,11,3,2,0,0,2,45,11,144
07,Rawson,001,0007 ,0101,331,66,11,2,1,1,1,1,49,15,111
07,Rawson,001,0007 ,0102,335,75,1,0,5,1,0,2,55,13,110
07,Rawson,001,0007 ,0103,332,61,3,0,2,2,2,3,47,15,130
07,Rawson,001,0008 ,0104,335,54,8,6,2,0,0,1,47,19,149
07,Rawson,001,0008 ,0105,332,177,5,2,4,0,3,1,57,16,121
07,Rawson,001,0008 ,0106,335,0,0,2,1,2,1,126,59,13,0
07,Rawson,001,0008 ,0107,334,0,0,1,2,1,2,2,65,18,128
