codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0003,0047,0131,0132,0132,0134,0135
04,Capital,001,0001 ,0001,344,6,2,52,9,40,8,8,67,19
04,Capital,001,0001 ,0002,345,3,4,48,23,46,20,20,62,18
04,Capital,001,0001 ,0003,343,28,3,54,16,29,16,16,65,9
04,Capital,001,0001 ,0004,341,8,0,50,6,45,20,20,65,20
04,Capital,001,0001 ,0005,343,13,0,62,15,40,12,12,64,12
04,Capital,001,0001 ,0006,346,2,1,54,15,32,14,14,95,11
04,Capital,001,0001 ,0007,343,5,0,62,15,33,12,12,76,12
04,Capital,001,0001 ,0008,343,8,0,52,12,46,17,17,66,14
04,Capital,001,0001 ,0009,343,7,2,47,13,35,15,15,62,14
04,Capital,001,0001 ,0010,343,5,3,44,11,51,14,14,81,16
04,Capital,001,0001 ,0011,342,8,0,55,11,38,28,28,60,13
04,Capital,001,0001 ,0012,342,5,3,66,14,29,18,18,47,18
04,Capital,001,0001 ,0013,341,5,1,60,8,33,21,21,74,9
04,Capital,001,0001 ,0014,343,4,1,54,9,30,11,11,73,10
04,Capital,001,0001 ,0015,343,6,0,53,14,40,25,25,73,6
04,Capital,001,0001 ,0016,344,6,3,49,9,47,9,9,75,15
04,Capital,001,0001 ,0017,342,5,4,44,15,45,11,11,63,14
04,Capital,001,0001 ,0018,342,4,4,63,20,38,16,16,56,11
04,Capital,001,0001 ,0019,343,8,0,54,14,52,19,19,61,12
04,Capital,001,0001 ,0020,343,12,3,51,20,29,20,20,55,16
04,Capital,001,0001 ,0021,342,5,2,60,12,35,22,22,74,16
04,Capital,001,0001 ,0022,342,5,2,50,10,34,12,12,59,15
04,Capital,001,0001 ,0023,344,7,1,52,12,28,12,12,56,9
04,Capital,001,0001 ,0024,343,5,4,53,10,34,20,20,59,16
04,Capital,001,0001 ,0025,342,0,0,57,20,53,20,20,54,9
04,Capital,001,0001 ,0026,342,7,6,52,13,29,20,20,64,10
04,Capital,001,0001 ,0027,342,6,1,66,29,42,15,15,58,11
04,Capital,001,0001 ,0028,342,2,2,49,19,38,14,14,70,15
04,Capital,001,0001 ,0029,342,9,1,60,11,33,25,25,56,13
04,Capital,001,0001 ,0030,343,4,2,52,10,36,26,26,82,12
04,Capital,001,0001 ,0031,344,12,0,53,14,45,24,24,63,18
04,Capital,001,0001 ,0032,344,0,0,0,0,0,0,0,0,0
04,Capital,001,0001 ,0033,342,12,1,52,8,38,15,15,66,15
04,Capital,001,0001 ,0034,341,6,4,63,11,38,22,22,63,18
04,Capital,001,0001 ,0035,342,7,1,51,10,33,19,19,76,15
04,Capital,001,0001 ,0036,342,4,3,61,9,42,17,17,64,15
