codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0003,0047,0191,0217,0501,0503,0505,0512,0514
04,Capital,001,0001 ,0001,345,3,2,52,10,12,11,37,40,35,16,10
04,Capital,001,0001 ,0002,345,0,7,49,21,18,14,31,50,27,21,8
04,Capital,001,0001 ,0003,343,2,6,55,19,16,8,16,43,30,13,15
04,Capital,001,0001 ,0004,341,3,4,48,9,11,8,37,55,30,25,12
04,Capital,001,0001 ,0005,344,4,1,59,11,11,10,36,41,31,28,11
04,Capital,001,0001 ,0006,344,4,2,59,11,11,11,21,43,35,26,6
04,Capital,001,0001 ,0007,343,1,4,67,14,12,5,28,43,37,27,6
04,Capital,001,0001 ,0008,344,0,1,52,15,12,11,32,42,28,31,10
04,Capital,001,0001 ,0009,342,3,4,50,13,6,13,32,41,31,28,8
04,Capital,001,0001 ,0010,345,1,4,53,12,19,8,31,41,35,31,11
04,Capital,001,0001 ,0011,344,0,1,54,16,9,5,28,36,34,30,10
04,Capital,001,0001 ,0012,346,2,2,49,18,13,4,34,52,36,28,11
04,Capital,001,0001 ,0013,342,3,3,62,21,16,10,34,44,25,23,7
04,Capital,001,0001 ,0014,341,2,2,60,12,17,7,31,37,24,23,10
04,Capital,001,0001 ,0015,345,3,4,61,10,4,8,26,52,27,25,7
04,Capital,001,0001 ,0016,342,2,1,59,13,13,9,27,47,27,22,4
04,Capital,001,0001 ,0017,343,2,6,56,12,8,7,45,40,25,27,9
04,Capital,001,0001 ,0018,341,3,3,55,18,6,14,35,51,21,26,9
04,Capital,001,0001 ,0019,345,2,3,66,16,7,12,31,39,25,31,5
04,Capital,001,0001 ,0020,345,3,4,51,17,16,12,36,33,33,26,7
04,Capital,001,0001 ,0021,343,2,4,57,12,10,9,29,39,25,29,11
04,Capital,001,0001 ,0022,344,2,1,44,10,16,12,28,60,33,35,5
04,Capital,001,0001 ,0023,343,1,4,59,12,12,4,22,40,23,24,15
