codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0063,0131,0132,0135,0137,0510
04,Capital,001,0001 ,0001,343,11,1,1,35,10,136,35,17
04,Capital,001,0001 ,0002,344,5,2,2,32,21,140,31,23
04,Capital,001,0001 ,0003,344,13,1,3,39,13,141,23,23
04,Capital,001,0001 ,0004,345,2,2,2,37,15,153,26,25
04,Capital,001,0001 ,0005,344,9,0,3,32,16,136,27,29
04,Capital,001,0001 ,0006,346,4,1,4,21,24,140,20,21
04,Capital,001,0001 ,0007,344,6,2,2,29,18,148,26,24
04,Capital,001,0001 ,0008,344,4,1,2,34,13,144,25,28
04,Capital,001,0001 ,0009,344,5,4,3,29,26,116,27,36
04,Capital,001,0001 ,0010,346,15,0,4,38,10,130,32,28
04,Capital,001,0001 ,0011,344,4,1,1,25,12,150,23,25
04,Capital,001,0001 ,0012,344,6,2,3,32,19,131,24,35
04,Capital,001,0001 ,0013,342,5,0,5,29,16,134,29,25
04,Capital,001,0001 ,0014,345,4,0,3,37,14,142,24,25
04,Capital,001,0001 ,0015,343,6,0,4,31,15,133,22,27
04,Capital,001,0001 ,0016,343,4,0,3,30,20,146,22,19
04,Capital,001,0001 ,0017,342,8,1,4,27,16,133,21,30
04,Capital,001,0001 ,0018,344,5,3,1,30,16,155,26,21
04,Capital,001,0001 ,0019,343,9,1,2,33,17,143,25,24
04,Capital,001,0001 ,0020,344,7,1,4,37,17,140,26,29
04,Capital,001,0001 ,0021,343,11,0,5,34,19,136,23,25
04,Capital,001,0001 ,0022,343,6,2,2,22,9,176,23,29
04,Capital,001,0001 ,0023,345,2,1,3,27,15,139,16,23
04,Capital,001,0001 ,0024,343,0,0,3,35,14,141,25,21
04,Capital,001,0001 ,0025,345,4,2,6,35,12,139,25,31
04,Capital,001,0001 ,0026,345,10,1,1,37,6,147,28,23
04,Capital,001,0001 ,0027,343,1,2,1,31,15,154,19,19
04,Capital,001,0001 ,0028,346,2,1,2,26,13,159,28,27
04,Capital,001,0001 ,0029,344,7,2,3,31,16,157,25,22
04,Capital,001,0001 ,0030,344,0,3,3,25,10,153,27,17
04,Capital,001,0001 ,0031,344,11,2,4,39,19,136,20,22
04,Capital,001,0001 ,0032,343,5,1,1,35,15,131,32,27
04,Capital,001,0001 ,0033,344,0,0,3,32,14,127,32,29
04,Capital,001,0001 ,0034,344,2,0,2,40,18,124,22,38
04,Capital,001,0001 ,0035,342,2,2,6,40,15,143,18,25
04,Capital,001,0001 ,0036,343,1,2,2,25,14,155,17,35
04,Capital,001,0001 ,0037,343,7,3,7,32,17,127,21,30
04,Capital,001,0001 ,0038,343,6,1,3,32,10,156,0,20
04,Capital,001,0001 ,0039,344,1,1,2,26,14,161,23,27
04,Capital,001,0001 ,0040,343,4,3,7,28,12,141,26,29
04,Capital,001,0001 ,0041,343,3,1,3,30,15,142,22,23
04,Capital,001,0001 ,0042,344,1,1,2,29,15,137,27,30
04,Capital,001,0001 ,0043,344,2,1,3,37,18,131,22,30
04,Capital,001,0001 ,0044,342,4,2,3,32,15,147,18,28
04,Capital,001,0001 ,0045,343,6,1,4,28,15,144,23,32
04,Capital,001,0001 ,0046,343,1,2,4,26,22,155,22,28
04,Capital,001,0002 ,0047,335,5,0,7,31,15,128,21,28
04,Capital,001,0002 ,0048,336,4,1,7,35,9,139,33,19
04,Capital,001,0002 ,0049,336,7,1,2,39,12,126,31,25
04,Capital,001,0002 ,0050,335,7,1,5,31,7,140,25,26
04,Capital,001,0002 ,0051,335,7,1,5,37,14,115,32,24
04,Capital,001,0002 ,0052,336,9,1,4,37,7,124,21,23
04,Capital,001,0002 ,0053,336,12,0,2,37,12,125,15,30
04,Capital,001,0002 ,0054,336,13,2,5,36,12,128,29,26
04,Capital,001,0002 ,0055,335,4,1,5,22,8,133,32,30
04,Capital,001,0002 ,0056,336,4,1,6,30,11,123,30,30
04,Capital,001,0002 ,0057,335,10,0,6,37,8,122,20,26
04,Capital,001,0002 ,0058,339,4,0,3,43,10,118,24,33
04,Capital,001,0002 ,0059,335,8,0,6,32,9,131,26,29
04,Capital,001,0002 ,0060,336,6,4,2,44,6,117,30,30
04,Capital,001,0002 ,0061,335,9,4,2,30,14,116,26,30
04,Capital,001,0002 ,0062,335,8,0,5,36,14,140,15,28
04,Capital,001,0002 ,0063,335,2,1,2,25,8,138,31,19
04,Capital,001,0003 ,0064,345,6,2,2,49,12,134,42,30
04,Capital,001,0003 ,0065,346,12,3,1,29,16,134,46,34
04,Capital,001,0003 ,0066,345,7,0,1,41,14,145,28,27
04,Capital,001,0003 ,0067,346,2,1,1,38,21,145,35,32
04,Capital,001,0003 ,0068,345,5,1,2,47,15,126,46,26
04,Capital,001,0003 ,0069,345,8,1,0,46,23,133,26,19
04,Capital,001,0003 ,0070,345,9,1,2,29,22,145,37,22
04,Capital,001,0003 ,0071,346,5,2,3,20,25,160,32,12
04,Capital,001,0003 ,0072,346,6,0,3,44,6,162,23,26
04,Capital,001,0003 ,0073,344,7,0,3,34,10,148,36,26
04,Capital,001,0003 ,0074,345,3,2,4,36,19,135,31,25
04,Capital,001,0003 ,0075,345,5,0,6,33,21,136,30,25
04,Capital,001,0003 ,0076,345,8,1,4,26,13,137,35,27
04,Capital,001,0003 ,0077,347,0,2,3,31,15,140,45,27
04,Capital,001,0003 ,0078,345,8,3,1,33,19,132,42,27
04,Capital,001,0003 ,0079,346,10,2,6,42,21,133,35,26
04,Capital,001,0003 ,0080,344,2,2,3,32,20,149,41,26
04,Capital,001,0003 ,0081,347,6,2,4,27,16,156,35,25
04,Capital,001,0003 ,0082,347,0,0,6,35,5,150,39,22
04,Capital,001,0003 ,0083,346,9,1,5,36,13,162,29,21
04,Capital,001,0003 ,0084,345,12,2,4,40,9,141,34,30
04,Capital,001,0003 ,0085,345,10,1,1,36,18,138,31,27
04,Capital,001,0003 ,0086,345,5,3,2,36,18,152,31,19
04,Capital,001,0003 ,0087,344,12,4,3,36,20,123,47,13
04,Capital,001,0003 ,0088,346,5,1,6,35,14,131,42,37
04,Capital,001,0003 ,0089,345,10,2,2,38,18,139,31,34
04,Capital,001,0003 ,0090,345,9,1,3,44,12,155,22,13
04,Capital,001,0003 ,0091,346,4,0,2,45,23,136,37,29
04,Capital,001,0003 ,0092,345,1,4,2,36,6,143,37,26
04,Capital,001,0003 ,0093,343,7,1,2,32,8,136,43,24
04,Capital,001,0003 ,0094,344,7,0,1,35,10,148,36,27
04,Capital,001,0003 ,0095,344,5,0,3,35,10,137,29,36
04,Capital,001,0003 ,0096,345,3,0,4,36,8,143,32,23
04,Capital,001,0003 ,0097,344,10,1,3,36,13,153,22,25
04,Capital,001,0003 ,0098,345,2,2,1,31,18,154,26,29
04,Capital,001,0003 ,0099,344,10,0,5,28,16,144,35,26
04,Capital,001,0003 ,0100,344,9,1,1,40,17,131,30,25
04,Capital,001,0003 ,0101,344,14,1,8,25,9,141,31,33
04,Capital,001,0003 ,0102,344,4,3,6,33,20,140,24,29
04,Capital,001,0003 ,0103,344,6,2,2,35,17,131,42,32
04,Capital,001,0003 ,0104,344,4,3,3,48,21,140,27,20
04,Capital,001,0003 ,0105,344,7,2,2,40,12,143,33,22
04,Capital,001,0003 ,0106,344,6,0,2,32,16,164,32,20
04,Capital,001,0003 ,0107,344,9,3,2,40,14,132,35,27
04,Capital,001,0003 ,0108,344,9,0,6,39,20,131,38,25
04,Capital,001,0003 ,0109,344,15,3,3,35,17,134,34,26
04,Capital,001,0003 ,0110,344,9,1,2,40,20,132,38,34
04,Capital,001,0003 ,0111,344,1,4,4,34,12,125,37,39
04,Capital,001,0003 ,0112,344,6,1,5,27,21,156,42,25
04,Capital,001,0003 ,0113,344,7,0,5,40,16,157,25,27
04,Capital,001,0003 ,0114,346,8,1,2,36,21,145,25,21
04,Capital,001,0003 ,0115,344,4,0,3,27,18,151,35,21
04,Capital,001,0003 ,0116,344,7,0,5,44,18,146,28,24
04,Capital,001,0003 ,0117,344,5,0,5,33,13,135,46,30
04,Capital,001,0003 ,0118,344,7,2,3,52,19,125,33,30
04,Capital,001,0003 ,0119,345,2,0,1,32,17,140,43,29
04,Capital,001,0003 ,0120,344,9,2,5,38,19,143,35,22
04,Capital,001,0003 ,0121,345,6,2,0,30,18,138,32,29
04,Capital,001,0004 ,0122,343,3,0,3,32,14,159,16,29
04,Capital,001,0004 ,0123,343,3,0,3,35,22,160,24,17
04,Capital,001,0004 ,0124,344,6,0,3,25,22,161,28,21
04,Capital,001,0004 ,0125,345,5,1,4,37,16,153,24,25
04,Capital,001,0004 ,0126,345,4,1,4,32,18,146,23,22
04,Capital,001,0004 ,0127,343,5,2,3,43,23,135,27,23
04,Capital,001,0004 ,0128,344,6,1,6,25,22,165,21,17
04,Capital,001,0004 ,0129,344,1,1,4,26,12,176,26,21
04,Capital,001,0004 ,0130,345,3,0,2,35,14,163,25,21
04,Capital,001,0004 ,0131,345,0,0,4,26,18,157,23,25
04,Capital,001,0004 ,0132,344,5,0,3,24,18,160,29,18
04,Capital,001,0004 ,0133,347,5,1,3,24,16,162,31,24
04,Capital,001,0004 ,0134,345,2,1,5,46,15,154,22,20
04,Capital,001,0004 ,0135,345,10,3,4,29,12,156,36,20
04,Capital,001,0004 ,0136,344,8,0,5,32,14,157,29,21
04,Capital,001,0004 ,0137,342,4,2,4,22,18,175,23,14
04,Capital,001,0004 ,0138,344,3,0,0,28,14,182,23,12
04,Capital,001,0004 ,0139,343,5,2,1,30,16,173,23,14
04,Capital,001,0004 ,0140,345,3,0,0,35,22,138,33,24
04,Capital,001,0004 ,0141,344,4,0,1,32,12,172,26,23
04,Capital,001,0004 ,0142,347,3,1,3,29,12,159,21,26
04,Capital,001,0004 ,0143,345,5,0,4,34,23,152,23,22
04,Capital,001,0004 ,0144,344,6,0,2,37,20,149,24,21
04,Capital,001,0004 ,0145,345,3,0,4,40,13,170,21,17
04,Capital,001,0004 ,0146,344,4,1,6,22,21,144,30,24
04,Capital,001,0004 ,0147,346,4,1,0,31,22,141,27,20
04,Capital,001,0004 ,0148,345,6,2,4,34,26,133,26,21
04,Capital,001,0004 ,0149,345,5,1,2,33,15,158,29,14
04,Capital,001,0004 ,0150,345,12,0,1,24,17,150,25,19
04,Capital,001,0004 ,0151,345,1,1,2,34,17,141,27,27
04,Capital,001,0004 ,0152,345,6,1,5,36,23,167,25,15
04,Capital,001,0004 ,0153,343,6,1,2,23,14,149,28,24
04,Capital,001,0004 ,0154,345,5,1,1,30,16,149,34,24
04,Capital,001,0004 ,0155,345,7,0,2,33,21,158,21,22
04,Capital,001,0004 ,0156,345,3,5,4,25,16,170,23,17
04,Capital,001,0004 ,0157,344,11,1,3,35,19,141,29,25
04,Capital,001,0004 ,0158,343,4,2,5,33,20,167,24,14
04,Capital,001,0004 ,0159,345,4,2,5,38,30,162,19,18
04,Capital,001,0004 ,0160,345,7,1,2,38,21,158,23,23
04,Capital,001,0004 ,0161,346,7,1,3,34,18,169,22,17
04,Capital,001,0004 ,0162,345,4,1,4,32,22,147,33,16
04,Capital,001,0004 ,0163,344,8,2,4,31,24,136,32,25
04,Capital,001,0004 ,0164,346,4,0,5,26,12,165,28,27
04,Capital,001,0004 ,0165,346,5,1,1,27,17,170,25,22
04,Capital,001,0004 ,0166,344,5,2,0,30,17,160,18,26
04,Capital,001,0004 ,0167,344,1,0,1,25,17,181,25,15
04,Capital,001,0004 ,0168,344,2,0,3,27,17,173,23,21
04,Capital,001,0004 ,0169,344,1,1,0,40,15,152,32,29
04,Capital,001,0004 ,0170,344,2,0,4,38,19,153,20,20
