codprov,coddepto,depto,circuito,mesa,electores,blancos,nulos,00032,00050,00048,00036,00037,00024,00108
04,001,Capital,00001,000001,345,5,9,7,142,27,12,53,7,2
04,001,Capital,00001,000010,341,6,3,12,128,29,7,57,5,3
04,001,Capital,00001,000011,342,1,1,8,154,28,11,35,9,1
04,001,Capital,00001,000012,342,3,5,10,109,36,16,46,8,8
04,001,Capital,00001,000013,345,3,3,5,134,35,18,38,3,6
04,001,Capital,00001,000014,344,10,4,5,142,24,8,44,8,2
04,001,Capital,00001,000015,341,1,1,4,144,25,17,38,6,5
04,001,Capital,00001,000016,343,5,0,9,144,37,6,46,3,2
04,001,Capital,00001,000017,343,6,7,6,136,29,12,40,4,3
04,001,Capital,00001,000018,344,4,4,8,150,35,8,38,6,4
04,001,Capital,00001,000019,348,2,0,13,146,31,13,53,8,4
04,001,Capital,00001,000002,344,5,2,14,147,22,7,52,9,4
04,001,Capital,00001,000020,344,7,0,3,132,29,16,46,7,0
04,001,Capital,00001,000021,342,4,2,11,133,26,15,48,5,5
04,001,Capital,00001,000022,344,6,1,14,166,18,14,37,4,5
04,001,Capital,00001,000023,345,1,3,5,148,21,8,39,7,4
04,001,Capital,00001,000024,345,6,1,11,138,27,12,44,8,1
04,001,Capital,00001,000025,343,3,1,5,141,22,8,48,8,1
04,001,Capital,00001,000026,344,6,3,6,141,30,12,41,7,3
04,001,Capital,00001,000027,344,0,2,10,140,27,16,53,3,5
04,001,Capital,00001,000028,343,4,3,4,129,26,21,33,10,5
04,001,Capital,00001,000029,344,4,5,7,154,37,11,31,9,5
04,001,Capital,00001,000003,344,4,5,11,141,24,14,46,3,3
04,001,Capital,00001,000030,342,5,4,11,124,28,13,48,12,2
04,001,Capital,00001,000031,345,5,5,7,138,19,10,38,10,1
04,001,Capital,00001,000032,342,2,2,5,133,35,16,39,6,7
04,001,Capital,00001,000033,344,7,7,12,131,35,17,43,5,4
04,001,Capital,00001,000034,341,5,0,14,127,31,19,49,10,9
04,001,Capital,00001,000035,338,4,3,4,134,36,10,45,9,4
04,001,Capital,00001,000036,345,3,2,9,156,34,9,46,5,5
04,001,Capital,00001,000037,345,7,2,18,146,12,11,41,12,4
04,001,Capital,00001,000038,344,9,3,9,155,31,8,40,7,2
04,001,Capital,00001,000039,341,3,2,12,136,24,9,46,2,4
04,001,Capital,00001,000004,346,5,1,4,150,32,11,40,5,7
04,001,Capital,00001,000040,347,7,4,9,157,21,11,37,5,7
04,001,Capital,00001,000041,340,4,1,4,129,33,13,48,8,6
04,001,Capital,00001,000042,343,2,0,3,143,28,11,40,7,7
04,001,Capital,00001,000043,342,4,2,8,137,31,13,41,10,6
04,001,Capital,00001,000044,345,4,0,10,134,33,11,51,10,4
04,001,Capital,00001,000045,343,5,2,8,138,21,16,42,8,4
04,001,Capital,00001,000046,340,4,1,8,134,36,17,43,8,4
04,001,Capital,00001,000047,345,4,2,13,151,29,15,35,7,4
04,001,Capital,00001,000005,344,6,2,10,151,24,9,46,9,6
04,001,Capital,00001,000006,344,3,1,7,149,8,11,28,9,8
04,001,Capital,00001,000007,344,2,0,11,149,20,12,45,7,4
04,001,Capital,00001,000008,342,4,0,8,157,22,14,38,9,5
04,001,Capital,00001,000009,342,6,3,12,140,23,11,44,9,3
04,001,Capital,00002,000048,341,4,1,11,131,27,9,50,8,3
04,001,Capital,00002,000049,341,4,3,5,127,30,16,35,11,2
04,001,Capital,00002,000050,343,14,0,12,118,30,15,44,11,6
04,001,Capital,00002,000051,342,7,2,14,134,25,13,45,5,4
04,001,Capital,00002,000052,341,8,1,4,120,41,15,52,6,2
04,001,Capital,00002,000053,344,10,2,9,126,31,12,39,5,1
04,001,Capital,00002,000054,343,5,1,6,127,37,9,46,4,6
04,001,Capital,00002,000055,343,7,3,9,108,40,13,54,9,3
04,001,Capital,00002,000056,342,9,2,4,127,33,14,46,4,0
04,001,Capital,00002,000057,342,8,2,11,114,32,15,49,11,5
04,001,Capital,00002,000058,345,7,2,6,115,27,14,52,7,3
04,001,Capital,00002,000059,340,2,6,8,134,31,7,41,3,4
04,001,Capital,00002,000060,343,7,1,7,128,26,17,41,8,4
04,001,Capital,00002,000061,343,6,4,10,129,28,13,55,8,3
04,001,Capital,00002,000062,343,5,6,13,105,33,9,58,6,5
04,001,Capital,00002,000063,342,6,3,6,117,34,10,42,8,2
04,001,Capital,00002,000064,339,8,4,7,131,35,6,56,5,5
04,001,Capital,00002,000065,344,5,6,8,140,21,14,42,4,6
04,001,Capital,00003,000100,346,1,2,10,152,26,10,48,9,5
04,001,Capital,00003,000101,344,1,0,7,144,29,13,47,6,6
04,001,Capital,00003,000102,346,6,3,8,138,32,17,53,5,5
04,001,Capital,00003,000103,345,5,3,9,130,43,21,40,7,4
04,001,Capital,00003,000104,346,9,2,6,151,40,8,41,6,2
04,001,Capital,00003,000105,348,2,4,6,143,29,11,61,12,7
04,001,Capital,00003,000106,344,1,3,18,134,42,7,46,6,5
04,001,Capital,00003,000107,345,5,0,8,131,42,21,40,8,5
04,001,Capital,00003,000108,346,2,3,4,144,25,20,59,4,4
04,001,Capital,00003,000109,345,6,6,13,152,22,8,58,7,3
04,001,Capital,00003,000110,345,8,0,5,142,30,17,46,8,4
04,001,Capital,00003,000111,345,8,2,10,151,33,9,38,9,4
04,001,Capital,00003,000112,350,5,2,26,141,28,15,41,9,2
04,001,Capital,00003,000113,344,5,3,11,123,34,16,52,6,5
04,001,Capital,00003,000114,346,2,2,11,140,37,16,55,8,6
04,001,Capital,00003,000115,345,5,5,5,122,45,13,53,6,3
04,001,Capital,00003,000116,347,13,2,10,129,35,15,59,13,2
04,001,Capital,00003,000117,347,7,1,11,141,35,14,41,5,5
04,001,Capital,00003,000118,345,4,4,12,139,30,12,56,10,5
04,001,Capital,00003,000119,348,6,3,11,144,31,18,44,9,4
04,001,Capital,00003,000120,346,3,3,16,152,34,13,47,3,1
04,001,Capital,00003,000121,346,6,1,13,127,33,15,47,2,4
04,001,Capital,00003,000122,343,6,1,9,129,30,16,49,12,5
04,001,Capital,00003,000123,343,4,1,11,139,27,12,55,4,5
04,001,Capital,00003,000124,347,4,3,7,156,33,13,38,8,2
04,001,Capital,00003,000125,348,8,1,8,138,37,15,55,6,3
04,001,Capital,00003,000066,348,8,4,10,126,27,17,61,9,2
04,001,Capital,00003,000067,348,8,3,12,131,38,18,48,6,4
04,001,Capital,00003,000068,348,2,2,11,156,29,21,42,2,2
04,001,Capital,00003,000069,343,4,3,6,133,38,10,55,7,2
04,001,Capital,00003,000070,347,10,0,2,132,27,17,55,9,1
04,001,Capital,00003,000071,345,7,1,18,132,32,16,53,7,4
04,001,Capital,00003,000072,350,5,1,12,144,27,19,54,2,7
04,001,Capital,00003,000073,346,7,1,8,153,28,13,51,9,1
04,001,Capital,00003,000074,347,5,1,7,140,35,10,56,7,3
04,001,Capital,00003,000075,345,6,0,14,126,30,16,55,7,6
04,001,Capital,00003,000076,346,4,5,5,140,27,13,56,5,3
04,001,Capital,00003,000077,346,10,4,27,124,35,15,44,9,5
04,001,Capital,00003,000078,347,10,1,8,150,31,12,45,7,6
04,001,Capital,00003,000079,345,7,1,9,129,41,20,41,13,4
04,001,Capital,00003,000080,346,9,2,14,122,36,18,42,7,5
04,001,Capital,00003,000081,348,5,1,12,134,30,15,47,11,3
04,001,Capital,00003,000082,345,5,5,15,152,27,22,44,6,4
04,001,Capital,00003,000083,343,2,2,12,128,36,12,61,10,7
04,001,Capital,00003,000084,346,4,0,9,145,35,18,47,6,3
04,001,Capital,00003,000085,342,2,2,9,131,29,13,48,11,5
04,001,Capital,00003,000086,344,0,4,8,128,44,10,54,9,2
04,001,Capital,00003,000087,346,7,1,8,131,38,14,53,7,4
04,001,Capital,00003,000088,346,2,1,16,146,38,16,40,7,6
04,001,Capital,00003,000089,346,4,7,11,130,35,15,47,11,3
04,001,Capital,00003,000090,348,2,1,10,115,37,19,59,11,2
04,001,Capital,00003,000091,350,7,2,4,138,41,15,39,11,5
04,001,Capital,00003,000092,344,5,1,5,155,26,12,47,6,3
04,001,Capital,00003,000093,349,7,1,6,154,29,15,49,6,2
04,001,Capital,00003,000094,347,5,6,5,131,30,21,46,6,5
04,001,Capital,00003,000095,347,6,3,5,147,34,10,40,12,4
04,001,Capital,00003,000096,347,3,3,6,142,36,15,51,5,4
04,001,Capital,00003,000097,347,6,2,10,144,29,17,53,8,2
04,001,Capital,00003,000098,347,2,1,6,135,38,17,47,9,6
04,001,Capital,00003,000099,348,3,4,9,139,22,17,48,5,3
04,001,Capital,00004,000126,348,5,5,16,132,27,14,42,7,7
04,001,Capital,00004,000127,350,4,1,20,146,24,15,37,10,2
04,001,Capital,00004,000128,348,4,1,15,146,37,18,30,12,4
04,001,Capital,00004,000129,348,3,0,5,144,27,15,58,5,7
04,001,Capital,00004,000130,350,1,3,4,155,30,20,45,9,1
04,001,Capital,00004,000131,347,2,0,2,146,32,19,50,10,4
04,001,Capital,00004,000132,348,1,2,8,169,17,10,48,4,5
04,001,Capital,00004,000133,353,4,2,6,191,24,10,38,5,4
04,001,Capital,00004,000134,349,2,0,10,140,26,7,51,9,5
04,001,Capital,00004,000135,350,4,2,8,129,36,20,53,2,6
04,001,Capital,00004,000136,353,5,3,9,182,18,9,37,8,6
04,001,Capital,00004,000137,348,2,1,5,164,24,18,28,12,4
04,001,Capital,00004,000138,349,4,2,13,152,23,16,37,7,6
04,001,Capital,00004,000139,347,6,3,9,134,34,16,44,7,5
04,001,Capital,00004,000140,349,6,2,17,154,31,18,36,12,4
04,001,Capital,00004,000141,349,11,2,9,143,33,19,43,11,4
04,001,Capital,00004,000142,348,4,1,9,160,20,16,43,6,3
04,001,Capital,00004,000143,351,1,0,8,154,31,19,46,7,3
04,001,Capital,00004,000144,349,2,1,18,141,34,12,46,6,5
04,001,Capital,00004,000145,353,3,3,10,140,25,13,51,10,4
04,001,Capital,00004,000146,346,2,1,8,166,21,10,48,6,5
04,001,Capital,00004,000147,348,4,0,14,154,27,17,46,3,4
04,001,Capital,00004,000148,346,6,1,8,146,22,15,41,7,8
04,001,Capital,00004,000149,350,2,0,11,137,15,18,58,9,4
04,001,Capital,00004,000150,347,6,0,10,157,29,18,45,3,2
04,001,Capital,00004,000151,349,3,3,5,148,31,15,22,10,7
04,001,Capital,00004,000152,346,0,0,17,140,28,13,42,8,3
04,001,Capital,00004,000153,351,2,3,4,139,33,24,46,5,7
04,001,Capital,00004,000154,344,3,1,8,142,24,15,43,8,8
04,001,Capital,00004,000155,347,4,1,7,154,19,16,41,8,3
04,001,Capital,00004,000156,348,1,3,8,143,27,7,40,4,8
04,001,Capital,00004,000157,347,6,0,8,149,27,12,45,11,9
04,001,Capital,00004,000158,349,9,1,11,147,20,31,41,4,4
04,001,Capital,00004,000159,351,9,1,4,158,33,17,47,6,6
04,001,Capital,00004,000160,346,1,0,12,165,27,16,38,6,8
04,001,Capital,00004,000161,347,3,4,7,171,18,16,44,4,2
04,001,Capital,00004,000162,348,3,2,4,149,28,18,50,7,7
04,001,Capital,00004,000163,350,4,1,11,157,37,13,39,5,5
04,001,Capital,00004,000164,348,2,1,12,142,29,21,43,4,5
04,001,Capital,00004,000165,346,7,1,15,150,25,22,52,11,3
04,001,Capital,00004,000166,347,3,2,10,160,24,11,46,7,5
04,001,Capital,00004,000167,348,3,0,11,151,32,12,43,7,3
04,001,Capital,00004,000168,352,4,4,7,132,29,26,48,8,3
04,001,Capital,00004,000169,348,2,4,10,163,27,20,42,3,7
04,001,Capital,00004,000170,346,3,2,6,155,23,17,41,7,8
04,001,Capital,00004,000171,345,3,1,5,168,24,10,31,9,5
04,001,Capital,00004,000172,346,3,1,6,146,31,13,55,4,5
04,001,Capital,00004,000173,348,5,0,4,169,21,12,43,7,4
04,001,Capital,00004,000174,349,4,4,11,145,39,18,38,8,1
04,001,Capital,00004,000175,347,2,2,4,147,32,10,56,6,3
04,001,Capital,00004,000176,349,2,1,9,140,27,14,40,8,10
04,001,Capital,00004,000177,347,5,0,14,160,32,13,32,3,1
04,001,Capital,00004,000178,354,1,2,12,138,24,17,51,4,3
04,001,Capital,00004,000179,347,4,3,6,154,24,16,53,3,7
04,001,Capital,00004,000180,349,0,0,5,134,32,20,49,3,6
04,001,Capital,00004,000181,345,1,2,5,147,27,12,62,4,2
04,001,Capital,00004,000182,349,0,1,5,145,35,7,53,6,4
04,001,Capital,00004,000183,347,4,2,10,143,22,20,43,6,5
04,001,Capital,00004,000184,345,6,2,7,133,25,16,44,8,5
04,001,Capital,00004,000185,349,9,2,4,145,33,13,52,7,4
04,001,Capital,00004,000186,343,6,1,8,168,26,10,29,4,5
04,001,Capital,00004,000187,349,4,1,6,171,21,17,41,5,3
04,001,Capital,0004A,000188,347,6,1,4,147,55,6,52,10,2
04,001,Capital,0004A,000189,346,6,4,6,156,52,13,31,9,4
04,001,Capital,0004A,000190,346,7,5,8,147,51,10,42,7,7
04,001,Capital,0004A,000191,346,6,4,8,136,42,16,57,3,7
