codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0013,0038,0063,0065,0131,0132,0135,0137,0510
04,Capital,001,0001 ,0001,343,11,0,1,3,5,0,28,9,100,24,30
04,Capital,001,0001 ,0002,344,11,2,1,0,6,2,24,14,113,16,42
04,Capital,001,0001 ,0003,344,16,1,0,3,7,1,33,14,97,20,37
04,Capital,001,0001 ,0004,345,16,1,0,7,7,0,34,10,102,13,44
04,Capital,001,0001 ,0005,344,8,3,2,7,5,1,34,12,121,10,39
04,Capital,001,0001 ,0006,346,7,0,1,5,6,0,22,14,108,18,39
04,Capital,001,0001 ,0007,344,9,1,3,5,4,0,31,10,121,15,39
04,Capital,001,0001 ,0008,345,7,4,0,3,7,1,36,9,87,21,55
04,Capital,001,0001 ,0009,344,4,6,1,1,5,0,25,17,87,17,49
04,Capital,001,0001 ,0010,346,10,3,0,1,4,1,41,10,112,21,44
04,Capital,001,0001 ,0011,344,4,2,0,2,7,0,25,12,107,16,44
04,Capital,001,0001 ,0012,344,4,1,0,1,4,1,30,16,94,23,51
04,Capital,001,0001 ,0013,342,0,0,4,3,6,1,25,14,107,20,33
04,Capital,001,0001 ,0014,345,10,2,2,1,8,0,38,9,92,19,46
04,Capital,001,0001 ,0015,343,10,0,1,4,5,0,23,11,103,19,39
04,Capital,001,0001 ,0016,343,20,0,3,4,8,0,28,11,102,18,31
04,Capital,001,0001 ,0017,342,13,1,0,4,6,0,29,7,95,19,40
04,Capital,001,0001 ,0018,344,16,1,1,4,5,0,27,6,122,13,44
04,Capital,001,0001 ,0019,343,13,2,0,3,4,1,26,10,114,19,39
04,Capital,001,0001 ,0020,344,14,3,1,3,4,1,31,12,108,24,37
04,Capital,001,0001 ,0021,343,10,3,3,6,6,0,29,8,91,19,43
04,Capital,001,0001 ,0022,343,19,5,1,6,1,1,22,8,134,18,43
04,Capital,001,0001 ,0023,345,10,3,2,0,3,1,24,8,93,16,41
04,Capital,001,0001 ,0024,343,9,0,1,5,3,0,28,13,111,20,42
04,Capital,001,0001 ,0025,345,152,3,1,0,3,0,31,7,13,18,1
04,Capital,001,0001 ,0026,345,45,1,3,3,5,2,24,12,114,19,10
04,Capital,001,0001 ,0027,343,52,4,0,0,1,0,39,6,117,5,4
04,Capital,001,0001 ,0028,346,8,5,0,2,1,0,21,15,110,18,51
04,Capital,001,0001 ,0029,344,9,4,0,2,6,2,22,13,110,26,34
04,Capital,001,0001 ,0030,344,15,3,1,3,7,0,33,12,93,16,33
04,Capital,001,0001 ,0031,344,0,0,2,0,0,0,29,16,0,8,0
04,Capital,001,0001 ,0032,343,12,2,0,2,6,2,29,12,79,26,50
04,Capital,001,0001 ,0033,344,21,1,1,7,0,0,33,16,92,19,39
04,Capital,001,0001 ,0034,344,10,0,2,2,4,1,39,14,91,14,58
04,Capital,001,0001 ,0035,342,11,2,1,0,5,0,35,13,112,16,39
04,Capital,001,0001 ,0036,343,6,4,0,4,3,0,16,7,114,16,52
04,Capital,001,0001 ,0037,343,11,2,1,5,10,0,28,14,87,18,49
04,Capital,001,0001 ,0038,343,5,0,0,5,9,0,26,14,110,19,51
04,Capital,001,0001 ,0039,344,14,1,1,3,7,0,24,19,119,18,41
04,Capital,001,0001 ,0040,343,12,9,2,6,9,0,32,15,100,14,44
04,Capital,001,0001 ,0041,343,9,0,0,4,6,1,29,8,99,13,41
04,Capital,001,0001 ,0042,344,13,2,2,3,4,0,29,14,101,16,44
04,Capital,001,0001 ,0043,344,7,3,0,3,4,0,33,14,94,21,44
04,Capital,001,0001 ,0044,342,10,0,0,3,4,0,28,16,94,20,49
04,Capital,001,0001 ,0045,343,13,0,0,2,2,1,30,17,106,16,51
04,Capital,001,0001 ,0046,343,2,0,0,2,3,0,22,27,126,21,34
04,Capital,001,0002 ,0047,335,14,1,0,1,0,0,27,11,87,19,54
04,Capital,001,0002 ,0048,336,16,0,2,6,5,1,21,15,104,18,47
04,Capital,001,0002 ,0049,336,13,4,4,3,4,1,31,8,91,20,46
04,Capital,001,0002 ,0050,335,6,4,0,4,6,0,26,8,83,18,59
04,Capital,001,0002 ,0051,335,10,0,2,4,3,0,30,14,88,23,47
04,Capital,001,0002 ,0052,336,14,3,1,5,4,1,28,4,87,23,43
04,Capital,001,0002 ,0053,336,10,1,0,1,0,1,32,10,81,18,45
04,Capital,001,0002 ,0054,336,15,3,2,4,6,2,35,12,80,22,53
04,Capital,001,0002 ,0055,335,86,1,5,2,9,0,26,4,21,20,47
04,Capital,001,0002 ,0056,336,12,1,5,1,8,0,26,9,76,15,62
04,Capital,001,0002 ,0057,335,10,3,0,3,13,0,38,10,83,10,51
04,Capital,001,0002 ,0058,339,0,0,0,0,0,0,0,0,0,0,0
04,Capital,001,0002 ,0059,335,14,5,0,2,11,3,33,13,87,22,36
04,Capital,001,0002 ,0060,336,12,0,2,3,1,1,37,8,77,17,60
04,Capital,001,0002 ,0061,335,9,4,2,3,6,3,23,9,94,14,46
04,Capital,001,0002 ,0062,335,14,2,1,1,5,3,28,10,89,21,51
04,Capital,001,0002 ,0063,335,0,0,2,4,7,0,26,8,76,26,45
04,Capital,001,0003 ,0064,345,19,1,3,3,7,1,41,11,84,39,49
04,Capital,001,0003 ,0065,346,9,3,0,8,5,1,24,15,99,27,45
04,Capital,001,0003 ,0066,345,13,5,1,4,9,0,31,9,103,24,47
04,Capital,001,0003 ,0067,346,6,1,2,3,8,1,39,16,105,23,56
04,Capital,001,0003 ,0068,345,15,1,0,4,6,0,51,11,85,32,41
04,Capital,001,0003 ,0069,345,15,4,0,6,3,3,42,9,99,25,43
04,Capital,001,0003 ,0070,345,9,2,0,0,3,0,33,15,109,28,56
04,Capital,001,0003 ,0071,346,14,1,1,3,3,1,24,13,117,21,41
04,Capital,001,0003 ,0072,346,13,2,1,2,8,0,47,7,114,18,39
04,Capital,001,0003 ,0073,344,9,1,3,6,7,1,33,8,95,21,52
04,Capital,001,0003 ,0074,345,9,3,2,7,6,1,30,11,103,20,49
04,Capital,001,0003 ,0075,345,0,0,0,4,6,0,27,21,91,28,57
04,Capital,001,0003 ,0076,345,0,1,2,3,7,0,24,13,90,24,63
04,Capital,001,0003 ,0077,347,0,0,3,2,4,0,31,18,86,32,47
04,Capital,001,0003 ,0078,345,23,5,1,0,0,1,28,8,92,34,52
04,Capital,001,0003 ,0079,346,12,2,2,5,3,0,42,14,94,27,54
04,Capital,001,0003 ,0080,344,0,0,0,0,0,0,0,0,0,0,0
04,Capital,001,0003 ,0081,347,19,0,3,3,3,1,27,9,117,31,42
04,Capital,001,0003 ,0082,347,0,0,3,4,5,0,34,6,103,30,38
04,Capital,001,0003 ,0083,346,2,0,1,0,12,1,39,13,127,24,29
04,Capital,001,0003 ,0084,345,4,5,0,4,10,0,31,5,97,22,51
04,Capital,001,0003 ,0085,345,53,2,1,1,0,1,36,2,103,25,2
04,Capital,001,0003 ,0086,345,18,2,2,2,0,0,34,23,100,23,38
04,Capital,001,0003 ,0087,344,8,3,2,1,9,0,38,18,95,37,40
04,Capital,001,0003 ,0088,346,12,0,2,3,6,0,31,8,90,24,63
04,Capital,001,0003 ,0089,345,19,0,2,5,10,1,37,13,97,25,44
04,Capital,001,0003 ,0090,345,11,2,0,2,8,1,34,9,106,26,32
